query_id,tag_id
q0000,7
q0001,54
q0002,42
q0003,73
q0004,42
q0005,54
q0006,37
q0007,33
q0008,21
q0009,42
q0010,20
q0011,78
q0012,0
q0013,42
q0014,42
q0015,65
q0016,73
q0017,21
q0018,77
q0019,0
q0020,57
q0021,42
q0022,9
q0023,57
q0024,73
q0025,94
q0026,20
q0027,7
q0028,9
q0029,9
q0030,39
q0031,9
q0032,9
q0033,58
q0034,8
q0035,2
q0036,54
q0037,42
q0038,33
q0039,2
q0040,71
q0041,6
q0042,42
q0043,7
q0044,6
q0045,20
q0046,37
q0047,9
q0048,2
q0049,20
q0050,8
q0051,21
q0052,42
q0053,9
q0054,42
q0055,70
q0056,42
q0057,37
q0058,9
q0059,42
q0060,42
q0061,18
q0062,37
q0063,94
q0064,20
q0065,9
q0066,8
q0067,21
q0068,32
q0069,37
q0070,7
q0071,33
q0072,85
q0073,37
q0074,78
q0075,73
q0076,21
q0077,42
q0078,18
q0079,8
q0080,37
q0081,7
q0082,73
q0083,77
q0084,6
q0085,18
q0086,33
q0087,42
q0088,43
q0089,31
q0090,20
q0091,0
q0092,42
q0093,54
q0094,60
q0095,37
q0096,21
q0097,54
q0098,58
q0099,9
q0100,20
q0101,1
q0102,58
q0103,57
q0104,37
q0105,21
q0106,77
q0107,75
q0108,9
q0109,20
q0110,33
q0111,43
q0112,6
q0113,6
q0114,42
q0115,42
q0116,42
q0117,78
q0118,6
q0119,30
q0120,42
q0121,33
q0122,42
q0123,42
q0124,6
q0125,42
q0126,18
q0127,18
q0128,9
q0129,7
q0130,7
q0131,21
q0132,42
q0133,75
q0134,65
q0135,42
q0136,9
q0137,36
q0138,7
q0139,11
q0140,6
q0141,73
q0142,73
q0143,15
q0144,7
q0145,21
q0146,21
q0147,51
q0148,6
q0149,42
q0150,87
q0151,52
q0152,54
q0153,42
q0154,37
q0155,73
q0156,42
q0157,39
q0158,70
q0159,42
q0160,42
q0161,73
q0162,37
q0163,11
q0164,42
q0165,7
q0166,77
q0167,42
q0168,21
q0169,0
q0170,47
q0171,7
q0172,8
q0173,21
q0174,24
q0175,36
q0176,42
q0177,64
q0178,42
q0179,94
q0180,11
q0181,43
q0182,21
q0183,9
q0184,42
q0185,38
q0186,68
q0187,69
q0188,95
q0189,11
q0190,21
q0191,18
q0192,31
q0193,42
q0194,7
q0195,1
q0196,42
q0197,95
q0198,86
q0199,56
q0200,54
q0201,1
q0202,42
q0203,33
q0204,42
q0205,54
q0206,1
q0207,42
q0208,64
q0209,16
q0210,21
q0211,60
q0212,42
q0213,58
q0214,8
q0215,64
q0216,38
q0217,6
q0218,8
q0219,54
q0220,7
q0221,47
q0222,56
q0223,20
q0224,37
q0225,9
q0226,42
q0227,43
q0228,9
q0229,33
q0230,42
q0231,73
q0232,42
q0233,64
q0234,70
q0235,21
q0236,65
q0237,18
q0238,38
q0239,47
q0240,74
q0241,11
q0242,42
q0243,43
q0244,33
q0245,7
q0246,6
q0247,37
q0248,42
q0249,7
q0250,33
q0251,8
q0252,2
q0253,60
q0254,73
q0255,20
q0256,42
q0257,2
q0258,6
q0259,69
q0260,42
q0261,42
q0262,21
q0263,78
q0264,7
q0265,18
q0266,11
q0267,64
q0268,42
q0269,21
q0270,42
q0271,33
q0272,42
q0273,21
q0274,69
q0275,21
q0276,21
q0277,21
q0278,58
q0279,58
q0280,58
q0281,42
q0282,24
q0283,31
q0284,20
q0285,20
q0286,20
q0287,57
q0288,82
q0289,82
q0290,70
q0291,36
q0292,70
q0293,42
q0294,42
q0295,42
q0296,73
q0297,73
q0298,57
q0299,43
q0300,43
q0301,75
q0302,42
q0303,31
q0304,16
q0305,7
q0306,7
q0307,7
q0308,77
q0309,77
q0310,77
q0311,31
q0312,42
q0313,31
q0314,32
q0315,32
q0316,91
q0317,31
q0318,31
q0319,42
q0320,73
q0321,18
q0322,73
q0323,73
q0324,73
q0325,73
q0326,67
q0327,67
q0328,32
q0329,77
q0330,77
q0331,77
q0332,70
q0333,21
q0334,70
q0335,78
q0336,78
q0337,78
q0338,42
q0339,42
q0340,42
q0341,47
q0342,9
q0343,9
q0344,20
q0345,20
q0346,20
q0347,78
q0348,78
q0349,78
q0350,69
q0351,69
q0352,58
q0353,75
q0354,69
q0355,75
q0356,11
q0357,11
q0358,11
q0359,21
q0360,75
q0361,75
q0362,71
q0363,1
q0364,71
q0365,78
q0366,78
q0367,78
q0368,37
q0369,37
q0370,37
q0371,78
q0372,78
q0373,78
q0374,1
q0375,42
q0376,77
q0377,42
q0378,42
q0379,18
q0380,9
q0381,42
q0382,0
q0383,94
q0384,88
q0385,21
q0386,58
q0387,6
q0388,14
q0389,6
q0390,6
q0391,77
q0392,58
q0393,43
q0394,73
q0395,68
q0396,9
q0397,75
q0398,18
q0399,6
q0400,42
q0401,78
q0402,57
q0403,57
q0404,39
q0405,58
q0406,1
q0407,42
q0408,21
q0409,18
q0410,51
q0411,20
q0412,73
q0413,33
q0414,42
q0415,21
q0416,68
q0417,58
q0418,57
q0419,37
q0420,9
q0421,54
q0422,6
q0423,33
q0424,9
q0425,6
q0426,40
q0427,63
q0428,22
q0429,48
q0430,40
q0431,31
q0432,47
q0433,91
q0434,40
q0435,42
q0436,22
q0437,40
q0438,71
q0439,13
q0440,6
q0441,40
q0442,93
q0443,80
q0444,12
q0445,40
q0446,31
q0447,47
q0448,91
q0449,40
q0450,31
q0451,22
q0452,40
q0453,98
q0454,47
q0455,6
q0456,40
q0457,63
q0458,80
q0459,48
q0460,40
q0461,31
q0462,47
q0463,91
q0464,40
q0465,42
q0466,55
q0467,40
q0468,71
q0469,22
q0470,6
q0471,40
q0472,63
q0473,7
q0474,12
q0475,18
q0476,42
q0477,47
q0478,91
q0479,40
q0480,42
q0481,22
q0482,40
q0483,48
q0484,13
q0485,6
q0486,40
q0487,42
q0488,22
q0489,12
q0490,40
q0491,31
q0492,47
q0493,91
q0494,40
q0495,42
q0496,26
q0497,40
q0498,48
q0499,80
