tag_id,domain,weight
0,1,1
0,2,1
0,7,10
1,5,19
2,0,1
2,2,36
2,3,3
2,4,7
3,0,3
3,1,6
3,3,4
3,4,2
3,5,3
3,6,2
3,7,1
4,0,6
4,1,6
4,2,2
4,3,4
4,4,8
4,7,11
5,0,8
5,1,6
5,2,3
5,3,3
5,4,5
5,6,7
5,7,2
6,0,11
6,1,4
6,2,2
6,3,5
6,4,1
6,5,2
6,7,3
7,0,2
7,1,8
7,2,4
7,3,6
7,4,4
7,5,1
7,6,2
7,7,6
8,5,32
9,0,7
9,1,11
9,2,7
9,3,5
9,4,6
9,6,4
9,7,3
10,0,3
10,1,5
10,2,1
10,4,5
10,5,2
10,6,4
10,7,1
11,7,35
12,0,3
12,1,7
12,2,5
12,3,6
12,4,1
12,5,7
12,6,3
12,7,2
13,0,9
13,1,8
13,2,2
13,3,5
13,4,6
13,5,4
13,6,7
13,7,5
14,0,3
14,1,12
14,2,1
14,3,1
14,4,2
14,6,3
15,0,6
15,1,7
15,2,3
15,3,3
15,4,2
15,7,1
16,0,2
16,1,4
16,2,3
16,3,1
16,5,4
16,6,3
16,7,3
17,0,2
17,1,1
17,2,2
17,3,5
17,4,6
17,5,5
17,6,5
17,7,5
18,1,28
18,3,2
18,4,21
18,6,1
19,0,3
19,1,5
19,2,3
19,3,4
19,4,4
19,6,11
19,7,8
20,6,61
21,0,1
21,1,34
21,3,4
22,1,1
22,2,1
22,3,2
22,5,5
22,6,1
22,7,1
23,0,3
23,1,2
23,2,2
23,3,7
23,4,2
23,5,1
23,6,9
23,7,10
24,0,2
24,1,7
24,2,3
24,3,3
24,4,5
24,5,4
24,6,2
24,7,4
25,0,1
25,2,5
25,3,4
25,6,14
26,5,23
27,0,2
27,1,4
27,2,4
27,3,2
27,4,2
27,5,4
27,6,5
27,7,3
28,0,2
28,1,1
28,2,1
28,3,3
28,4,3
28,5,2
28,6,5
28,7,10
29,0,4
29,1,8
29,2,4
29,3,5
29,4,2
29,5,6
29,6,6
29,7,3
30,0,6
30,1,3
30,2,2
30,3,6
30,4,5
30,5,1
30,6,2
30,7,6
31,0,3
31,1,4
31,2,2
31,3,1
31,4,7
31,5,5
31,6,1
31,7,8
32,0,3
32,3,1
32,4,2
32,6,13
33,0,48
34,0,3
34,2,1
34,3,1
34,4,2
34,5,2
34,6,3
34,7,1
35,0,6
35,1,5
35,2,4
35,3,4
35,4,4
35,6,9
35,7,5
36,0,6
36,1,5
36,2,4
36,3,4
36,4,4
36,5,5
36,6,2
36,7,3
37,7,39
38,0,2
38,1,4
38,2,1
38,3,3
38,4,1
38,5,1
38,6,4
38,7,5
39,5,30
40,0,2
40,1,5
40,2,4
40,3,5
40,4,4
40,5,5
40,6,5
40,7,9
41,0,3
41,1,10
41,2,3
41,6,2
41,7,4
42,0,8
42,1,3
42,2,7
42,3,3
42,4,2
42,5,6
42,6,4
42,7,6
43,0,5
43,1,8
43,2,6
43,3,1
43,4,2
43,5,1
43,6,3
43,7,5
44,5,16
45,0,2
45,1,5
45,3,3
45,4,7
45,5,2
45,6,5
45,7,3
46,0,2
46,1,2
46,2,2
46,3,5
46,5,4
46,6,2
46,7,3
47,0,11
47,1,2
47,2,1
47,3,3
47,4,8
47,5,1
47,6,2
47,7,3
48,0,6
48,2,1
48,3,1
48,4,4
48,6,7
49,0,15
49,2,1
49,3,2
49,4,1
50,0,1
50,4,11
51,5,43
52,0,9
52,1,2
52,2,4
52,3,6
52,4,4
52,5,1
52,6,5
52,7,2
53,0,1
53,1,13
53,2,3
53,3,1
53,4,1
54,6,18
55,0,7
55,1,1
55,2,2
55,3,5
55,4,4
55,5,2
55,6,8
55,7,4
56,0,8
56,1,8
56,2,10
56,3,6
56,4,3
56,6,3
56,7,6
57,1,37
57,3,5
58,4,14
59,0,5
59,1,3
59,2,1
59,3,1
59,5,2
59,6,3
59,7,3
60,0,3
60,2,3
60,3,7
60,5,4
60,6,3
60,7,1
61,0,4
61,1,3
61,2,4
61,3,8
61,4,6
61,6,3
61,7,6
62,0,7
62,1,6
62,2,2
62,3,2
62,4,2
62,6,1
62,7,9
63,0,4
63,1,3
63,2,3
63,3,3
63,4,5
63,5,2
63,6,4
64,0,8
64,1,1
64,2,1
64,4,3
64,5,3
64,6,1
64,7,10
65,5,24
66,0,1
66,1,8
66,4,1
66,6,7
66,7,8
67,0,2
67,1,4
67,2,3
67,3,4
67,5,1
67,6,4
67,7,7
68,6,16
69,0,7
69,1,9
69,2,5
69,3,9
69,4,3
69,6,5
70,0,4
70,1,7
70,2,6
70,3,8
70,4,2
70,7,2
71,5,31
72,1,19
72,2,1
72,3,7
72,4,1
73,0,1
73,1,5
73,3,19
73,4,2
73,6,2
73,7,3
74,0,1
74,1,2
74,2,5
74,3,3
74,4,1
74,5,1
74,6,3
74,7,2
75,0,7
75,2,14
75,4,1
76,5,8
77,5,21
78,5,19
79,0,7
79,1,3
79,2,4
79,3,2
79,4,5
79,5,3
79,6,1
79,7,3
80,0,6
80,1,2
80,2,5
80,3,3
80,4,6
80,6,4
80,7,4
81,0,1
81,1,9
81,2,1
81,3,1
81,4,3
81,6,1
81,7,3
82,1,19
82,2,1
82,3,9
82,4,5
83,7,42
84,0,1
84,1,6
84,2,2
84,3,1
84,4,1
84,5,2
84,7,1
85,0,1
85,1,9
85,2,3
85,3,5
85,4,1
85,5,1
85,6,1
85,7,6
86,0,3
86,1,5
86,2,7
86,3,4
86,4,1
86,5,2
86,6,2
87,0,4
87,1,4
87,2,1
87,5,7
87,6,2
87,7,1
88,0,9
88,1,12
88,2,5
88,3,1
88,4,4
88,5,2
88,6,2
88,7,2
89,0,6
89,1,5
89,3,1
89,4,4
89,5,2
89,6,4
90,0,5
90,1,3
90,2,2
90,3,3
90,4,3
90,6,1
90,7,3
91,0,5
91,1,4
91,3,1
91,4,3
91,5,1
91,6,9
91,7,8
92,5,17
93,0,3
93,1,1
93,3,4
93,4,2
93,5,1
94,7,47
95,1,2
95,3,4
95,4,1
95,5,2
95,6,1
96,5,31
97,0,5
97,1,2
97,2,1
97,3,1
97,4,1
97,5,6
97,6,1
97,7,3
98,2,2
98,3,2
98,5,1
98,6,1
98,7,3
99,0,4
99,1,2
99,2,1
99,6,4
99,7,3
