entity_type,entity_id,doc_id,domain_id,lat,lon,canonical_name,streetName,landmarkToken,areaServed,lanternModel,locationCategory,powerState,status
streetlight,streetlight_000000,sl_000001,6,56.163076,10.160755,/d6/streetlight/sl_000001,"School St, Old Town Core",Old Town Core Riverside Park,Old Town Core Uptown,LED,facade,on,ok
streetlight,streetlight_000001,sl_000002,6,56.160427,10.172992,/d6/streetlight/sl_000002,"River Rd, Old Town Core",Old Town Core Historic Market,Old Town Core Commercial Strip,HPS,garden,off,defectiveLamp
streetlight,streetlight_000002,sl_000003,2,56.151117,10.20632,/d2/streetlight/sl_000003,"Willow Way, Eastshore Quarter",Eastshore Quarter City Library,Eastshore Quarter Residential Block,MH,park,low,columnIssue
streetlight,streetlight_000003,sl_000004,3,56.185667,10.201731,/d3/streetlight/sl_000004,"Canal St, South Hills",South Hills Botanical Garden,South Hills Transit Hub,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000004,sl_000005,2,56.195342,10.158651,/d2/streetlight/sl_000005,"Pine Rd, Eastshore Quarter",Eastshore Quarter Cultural Center,Eastshore Quarter Industrial Zone,LED,playground,on,ok
streetlight,streetlight_000005,sl_000006,3,56.177709,10.210008,/d3/streetlight/sl_000006,"Cedar Ln, South Hills",South Hills Art Museum,South Hills Industrial Zone,HPS,road,off,defectiveLamp
streetlight,streetlight_000006,sl_000007,2,56.151665,10.201883,/d2/streetlight/sl_000007,"Valley Path, Eastshore Quarter",Eastshore Quarter City Hall,Eastshore Quarter Waterfront,MH,sidewalk,low,columnIssue
streetlight,streetlight_000007,sl_000008,3,56.138117,10.244918,/d3/streetlight/sl_000008,"Cedar Ln, South Hills",South Hills Science Center,South Hills Residential Block,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000008,sl_000009,2,56.168258,10.195577,/d2/streetlight/sl_000009,"Spruce St, Eastshore Quarter",Eastshore Quarter Sports Arena,Eastshore Quarter Financial Row,LED,facade,on,ok
streetlight,streetlight_000009,sl_000010,0,56.138815,10.214912,/d0/streetlight/sl_000010,"Cherry Ln, North Harbor",North Harbor Waterfront Promenade,North Harbor Industrial Zone,HPS,garden,off,defectiveLamp
streetlight,streetlight_000010,sl_000011,0,56.12092,10.213882,/d0/streetlight/sl_000011,"River Rd, North Harbor",North Harbor Science Center,North Harbor Downtown,MH,park,low,columnIssue
streetlight,streetlight_000011,sl_000012,3,56.188517,10.186233,/d3/streetlight/sl_000012,"Ash Ct, South Hills",South Hills Historic Market,South Hills Downtown,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000012,sl_000013,2,56.146555,10.222912,/d2/streetlight/sl_000013,"Summit Way, Eastshore Quarter",Eastshore Quarter Shopping Mall,Eastshore Quarter Downtown,LED,playground,on,ok
streetlight,streetlight_000013,sl_000014,4,56.191663,10.228161,/d4/streetlight/sl_000014,"Station Rd, Midtown Center",Midtown Center Cultural Center,Midtown Center Financial Row,HPS,road,off,defectiveLamp
streetlight,streetlight_000014,sl_000015,4,56.137168,10.155857,/d4/streetlight/sl_000015,"Queen Ave, Midtown Center",Midtown Center Sports Arena,Midtown Center Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000015,sl_000016,6,56.156804,10.158469,/d6/streetlight/sl_000016,"Cedar Ln, Old Town Core",Old Town Core Science Center,Old Town Core Commercial Strip,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000016,sl_000017,4,56.199638,10.206709,/d4/streetlight/sl_000017,"Gate St, Midtown Center",Midtown Center Waterfront Promenade,Midtown Center Transit Hub,LED,facade,on,ok
streetlight,streetlight_000017,sl_000018,3,56.199104,10.246954,/d3/streetlight/sl_000018,"Castle Rd, South Hills",South Hills Cathedral,South Hills Arts Quarter,HPS,garden,off,defectiveLamp
streetlight,streetlight_000018,sl_000019,3,56.150945,10.224723,/d3/streetlight/sl_000019,"Willow Way, South Hills",South Hills Cultural Center,South Hills Waterfront,MH,park,low,columnIssue
