qid	object_id	relevance
q0000	pol_000279	1
q0000	pol_000303	1
q0000	pol_000585	1
q0001	traf_000059	1
q0001	traf_000159	1
q0001	traf_000169	1
q0001	traf_000174	1
q0001	traf_000199	1
q0001	traf_000209	1
q0001	traf_000224	1
q0001	traf_000314	1
q0001	traf_000464	1
q0001	traf_000474	1
q0001	traf_000489	1
q0001	traf_000559	1
q0001	traf_000584	1
q0001	traf_000599	1
q0002	sl_000101	1
q0002	sl_000109	1
q0002	sl_000213	1
q0002	sl_000269	1
q0002	sl_000293	1
q0002	sl_000333	1
q0002	sl_000429	1
q0002	sl_000461	1
q0002	sl_000501	1
q0002	sl_000549	1
q0003	p_000062	1
q0003	p_000122	1
q0003	p_000236	1
q0003	p_000338	1
q0003	p_000386	1
q0003	p_000404	1
q0003	p_000464	1
q0003	p_000554	1
q0003	p_000560	1
q0004	sl_000101	1
q0004	sl_000109	1
q0004	sl_000213	1
q0004	sl_000269	1
q0004	sl_000293	1
q0004	sl_000333	1
q0004	sl_000429	1
q0004	sl_000461	1
q0004	sl_000501	1
q0004	sl_000549	1
q0005	traf_000118	1
q0005	traf_000160	1
q0005	traf_000172	1
q0005	traf_000292	1
q0005	traf_000340	1
q0005	traf_000406	1
q0005	traf_000412	1
q0005	traf_000430	1
q0005	traf_000490	1
q0005	traf_000562	1
q0006	traf_000277	1
q0006	traf_000286	1
q0007	p_000009	1
q0007	p_000025	1
q0007	p_000033	1
q0007	p_000085	1
q0007	p_000105	1
q0007	p_000113	1
q0007	p_000129	1
q0007	p_000161	1
q0007	p_000165	1
q0007	p_000193	1
q0007	p_000237	1
q0007	p_000261	1
q0007	p_000329	1
q0007	p_000349	1
q0007	p_000429	1
q0007	p_000437	1
q0007	p_000461	1
q0008	traf_000026	1
q0008	traf_000116	1
q0008	traf_000156	1
q0008	traf_000206	1
q0008	traf_000346	1
q0008	traf_000361	1
q0008	traf_000471	1
q0008	traf_000586	1
q0009	sl_000092	1
q0010	p_000003	1
q0010	p_000051	1
q0010	p_000087	1
q0010	p_000159	1
q0010	p_000231	1
q0010	p_000351	1
q0010	p_000357	1
q0010	p_000441	1
q0010	p_000501	1
q0010	p_000531	1
q0010	p_000585	1
q0011	pol_000135	1
q0011	pol_000213	1
q0011	pol_000225	1
q0011	pol_000231	1
q0011	pol_000243	1
q0011	pol_000249	1
q0011	pol_000291	1
q0011	pol_000297	1
q0011	pol_000315	1
q0011	pol_000339	1
q0011	pol_000393	1
q0011	pol_000441	1
q0011	pol_000453	1
q0011	pol_000531	1
q0011	pol_000537	1
q0012	pol_000093	1
q0012	pol_000125	1
