run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir
iroute_M1_s42,iroute,42,M,1,0,0,11707.040000,0.741200,0.475294,0.724706,0.842353,0.244706,0.244706,0.244706,14.286300,16.343500,2.000000,500,425,25.315294,37,500,0.000000,117,ns-3/results/debug_simple_20260223/accuracy/iroute_M1_s42
iroute_M2_s42,iroute,42,M,2,0,0,13554.420000,0.724700,0.517647,0.710588,0.835294,0.249412,0.249412,0.249412,14.758500,16.343500,2.000000,500,425,25.315294,37,500,0.000000,116,ns-3/results/debug_simple_20260223/accuracy/iroute_M2_s42
iroute_M4_s42,iroute,42,M,4,1,0,14162.880000,0.832900,0.736471,0.936471,0.976471,0.291765,0.291765,0.291765,14.846200,16.343500,2.000000,500,425,25.315294,37,500,0.000000,97,ns-3/results/debug_simple_20260223/accuracy/iroute_M4_s42
iroute_M8_s42,iroute,42,M,8,0,0,14162.880000,0.832900,0.736471,0.936471,0.976471,0.291765,0.291765,0.291765,14.846200,16.343500,2.000000,500,425,25.315294,37,500,0.000000,97,ns-3/results/debug_simple_20260223/accuracy/iroute_M8_s42
flood_budget2_s42,flood,42,budget,2,0,0,6903.330000,0.251800,0.251765,0.261176,0.261176,0.072941,0.072941,0.072941,14.412400,16.343500,2.000000,500,425,25.315294,37,396,0.000000,41,ns-3/results/debug_simple_20260223/accuracy/flood_budget2_s42
flood_budget4_s42,flood,42,budget,4,1,0,13802.110000,0.475300,0.475294,0.510588,0.520000,0.164706,0.164706,0.164706,14.768200,16.348300,2.000000,500,425,25.315294,37,433,0.000000,52,ns-3/results/debug_simple_20260223/accuracy/flood_budget4_s42
flood_budget6_s42,flood,42,budget,6,0,0,20699.780000,0.630600,0.630588,0.696471,0.708235,0.209412,0.209412,0.209412,14.841200,16.353400,2.000000,500,425,25.315294,37,457,0.000000,71,ns-3/results/debug_simple_20260223/accuracy/flood_budget6_s42
flood_budget8_s42,flood,42,budget,8,0,0,27597.800000,0.814100,0.814118,0.922353,0.941176,0.284706,0.284706,0.284706,14.856000,16.368100,2.000000,500,425,25.315294,37,466,0.000000,17,ns-3/results/debug_simple_20260223/accuracy/flood_budget8_s42
tag_tagK8_s42,tag,42,tagK,8,0,0,27779.280000,0.484700,0.484706,0.505882,0.510588,0.150588,0.150588,0.150588,14.850800,16.367800,2.000000,500,425,25.315294,37,500,0.000000,64,ns-3/results/debug_simple_20260223/accuracy/tag_tagK8_s42
tag_tagK16_s42,tag,42,tagK,16,0,0,55561.210000,0.616500,0.616471,0.661176,0.680000,0.209412,0.209412,0.209412,15.842200,16.412000,2.000000,500,425,25.315294,37,500,0.000000,67,ns-3/results/debug_simple_20260223/accuracy/tag_tagK16_s42
