qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns
0,flood,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain2=0.7272;/domain0=0.7234;/domain7=0.7205;/domain6=0.7171;/domain3=0.6829;/domain4=0.6332;/domain5=0.6332,0,1,0.633186,20200.0000,20208.1934,20208.1934,20215.4301,15.4301,-1,2,-1,8,1,4824,1360,42,1107,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1934,7.2367,20200000000,20208193360,20208193360,20215430096
1,flood,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=0.7031,0,1,0.703099,20400.0000,20408.1927,20408.1927,20415.8075,15.8075,-1,2,-1,8,1,4824,1088,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1927,7.6148,20400000000,20408192736,20408192736,20415807504
2,flood,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain2=0.6689;/domain0=0.6451;/domain1=0.6448;/domain4=0.6445;/domain5=0.6384;/domain7=0.6376;/domain3=0.6293;/domain6=0.6186,0,0,0.638397,20600.0000,20608.1933,20608.1933,20616.2900,16.2900,-1,2,-1,8,1,4824,1356,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1933,8.0967,20600000000,20608193344,20608193344,20616290048
3,flood,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain3=0.6355,0,1,0.635494,20800.0000,20808.1927,20808.1927,20814.7174,14.7174,-1,2,-1,8,1,4824,1085,40,1105,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1927,6.5247,20800000000,20808192736,20808192736,20814717408
4,flood,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=0.7488;/domain7=0.7333;/domain3=0.6686;/domain2=0.6430;/domain5=0.6381;/domain0=0.6305,1,1,0.638108,21000.0000,21008.1933,21008.1933,21015.4300,15.4300,-1,2,-1,8,1,4824,1276,41,1106,0,0,1,1,0,,none,,redundant,8.1933,7.2367,21000000000,21008193344,21008193344,21015430048
5,flood,Give me traffic information near Old Town Core Cultural Center,6,traf_000118;traf_000160;traf_000172;traf_000292;traf_000340;traf_000406;traf_000412;traf_000430;traf_000490;traf_000562,/domain6,/domain6/data/doc/traf_000375,/domain6=0.7670;/domain7=0.6796;/domain4=0.6567;/domain3=0.6124,0,1,0.766963,21200.0000,21208.1927,21208.1927,21215.8075,15.8075,-1,2,-1,8,1,4824,1208,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1927,7.6148,21200000000,21208192736,21208192736,21215807504
6,flood,What traffic readings are reported in Greenfield Park?,7,traf_000277;traf_000286,/domain7,/domain7/data/doc/traf_000548,/domain7=0.7499;/domain6=0.6755;/domain0=0.6753;/domain1=0.6386;/domain3=0.6232;/domain2=0.6115,0,1,0.611480,21400.0000,21408.1927,21408.1927,21414.8555,14.8555,-1,2,-1,8,1,4824,1288,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1927,6.6628,21400000000,21408192736,21408192736,21414855504
7,flood,Give me parking information near North Harbor Main Station,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000420,/domain0=0.7914;/domain2=0.7082;/domain4=0.6831;/domain6=0.6712;/domain7=0.6616;/domain3=0.6543;/domain1=0.6419;/domain5=0.6279,0,1,0.627905,21600.0000,21608.1933,21608.1933,21615.9440,15.9440,-1,2,-1,8,1,4824,1344,40,1105,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1933,7.7507,21600000000,21608193328,21608193328,21615944000
8,flood,List traffic data around South Hills Waterfront Promenade,3,traf_000026;traf_000116;traf_000156;traf_000206;traf_000346;traf_000361;traf_000471;traf_000586,/domain3,/domain3/data/doc/traf_000198,/domain3=0.6328;/domain4=0.6125;/domain1=0.6093;/domain2=0.6011,0,1,0.601125,21800.0000,21808.1927,21808.1927,21814.7175,14.7175,-1,2,-1,8,1,4824,1208,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1927,6.5248,21800000000,21808192736,21808192736,21814717504
9,flood,Give me streetlight information near Old Town Core City Hall,6,sl_000092,/domain6,/domain6/data/doc/sl_000092,/domain6=0.8583;/domain2=0.7602;/domain7=0.7584;/domain0=0.7357;/domain5=0.7151;/domain1=0.7053;/domain3=0.6548;/domain4=0.6538,1,1,0.715090,22000.0000,22008.1933,22008.1933,22015.8080,15.8080,-1,2,-1,8,1,4824,1352,41,1106,0,0,1,1,0,,none,,redundant,8.1933,7.6147,22000000000,22008193344,22008193344,22015808048
