qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=2.90599(0.74122);/domain7=2.3017(0.625752);/domain6=2.04665(0.61234);/domain3=1.97487(0.639303);/domain4=1.91845(0.598174),0,1,0.839392,20200.0000,20207.2307,20207.6186,20214.8553,14.8553,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.2307,7.2368,20200000000,20207230720,20207618576,20214855344
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain7=1.39336(0.418719);/domain6=1.38297(0.452758);/domain4=0.656721(0.286101);/domain2=0.587457(0.275219);/domain1=0.198388(0.151985),0,1,0.703099,20400.0000,20407.6137,20407.6137,20415.2285,15.2285,-1,2,-1,2,1,1206,171,45,1108,0,0,1,1,0,,none,,redundant,7.6137,7.6148,20400000000,20407613664,20407613664,20415228464
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain1=2.5723(0.670082);/domain6=1.73409(0.502873);/domain5=1.70271(0.479359);/domain0=1.47111(0.455144);/domain3=1.45281(0.496668),0,0,0.645059,20600.0000,20607.7595,20608.1786,20615.9293,15.9293,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.7595,7.7507,20600000000,20607759488,20608178560,20615929296
3,iroute,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain7,/domain7/data/doc/p_000568,/domain7=1.6263(0.470234);/domain2=1.21066(0.435079);/domain5=1.1359(0.356797);/domain0=1.05572(0.362601);/domain1=1.01003(0.328616),0,0,0.544948,20800.0000,20806.6567,20808.1785,20814.8412,14.8412,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,6.6567,6.6627,20800000000,20806656688,20808178544,20814841248
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.71631(0.70149);/domain3=1.72863(0.566817);/domain5=1.62839(0.463184);/domain0=1.54032(0.471125);/domain6=1.52235(0.455212),1,1,0.748806,21000.0000,21007.2307,21008.1786,21015.4153,15.4153,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.2307,7.2367,21000000000,21007230704,21008178560,21015415296
5,iroute,Give me traffic information near Old Town Core Cultural Center,6,traf_000118;traf_000160;traf_000172;traf_000292;traf_000340;traf_000406;traf_000412;traf_000430;traf_000490;traf_000562,/domain6,/domain6/data/doc/traf_000375,/domain7=1.99941(0.552747);/domain6=1.775(0.547021);/domain2=1.60773(0.533435);/domain4=1.39977(0.469885);/domain1=1.21736(0.373736),0,1,0.766963,21200.0000,21207.6137,21208.1006,21215.7154,15.7154,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.6137,7.6148,21200000000,21207613664,21208100592,21215715392
6,iroute,What traffic readings are reported in Greenfield Park?,7,traf_000277;traf_000286,/domain7,/domain7/data/doc/traf_000548,/domain7=3.08211(0.792189);/domain1=2.05107(0.55517);/domain2=1.77447(0.575633);/domain4=1.7722(0.562002);/domain6=1.73421(0.537214),0,1,0.749900,21400.0000,21406.6567,21408.1006,21414.7634,14.7634,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,6.6567,6.6628,21400000000,21406656736,21408100592,21414763392
7,iroute,Give me parking information near North Harbor Main Station,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000420,/domain0=3.17745(0.857123);/domain2=2.22159(0.692196);/domain5=1.88055(0.519207);/domain7=1.7759(0.503319);/domain1=1.37313(0.407635),0,1,0.791370,21600.0000,21607.7447,21608.1785,21615.9292,15.9292,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.7447,7.7507,21600000000,21607744688,21608178544,21615929248
8,iroute,List traffic data around South Hills Waterfront Promenade,3,traf_000026;traf_000116;traf_000156;traf_000206;traf_000346;traf_000361;traf_000471;traf_000586,/domain3,/domain3/data/doc/traf_000198,/domain7=1.69381(0.485164);/domain2=1.63698(0.540839);/domain1=1.24715(0.380218);/domain3=1.22511(0.445627);/domain6=1.08575(0.381293),0,1,0.632751,21800.0000,21806.5335,21808.0957,21814.6205,14.6205,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,6.5335,6.5248,21800000000,21806533520,21808095664,21814620464
9,iroute,Give me streetlight information near Old Town Core City Hall,6,sl_000092,/domain6,/domain6/data/doc/sl_000092,/domain6=2.92989(0.772036);/domain1=2.42371(0.637673);/domain0=2.15649(0.613404);/domain4=1.9393(0.620399);/domain3=1.84734(0.597011),1,1,0.858270,22000.0000,22007.6087,22007.7546,22015.3693,15.3693,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.6087,7.6147,22000000000,22007608704,22007754560,22015369296
