qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain2,/domain2/data/doc/pol_000075,/domain2=0.7272;/domain7=0.7205;/domain6=0.7171;/domain3=0.6829;/domain4=0.6332;/domain5=0.6332,0,0,0.633186,20200.0000,20208.2370,20208.2370,20216.3338,16.3338,-1,2,-1,16,1,9581,2589,42,1107,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.2370,8.0967,20200000000,20208237048,20208237048,20216333784
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=0.7031;/domain4=0.5571;/domain2=0.4563;/domain3=0.4252;/domain5=0.3986,0,1,0.398582,20400.0000,20408.2322,20408.2322,20415.8470,15.8470,-1,2,-1,16,1,9584,2608,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.2322,7.6148,20400000000,20408232192,20408232192,20415846960
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain2=0.6689;/domain4=0.6445;/domain5=0.6384;/domain3=0.6293;/domain6=0.6186,0,0,0.638397,20600.0000,20608.2371,20608.2371,20616.3338,16.3338,-1,2,-1,16,1,9584,2578,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.2371,8.0967,20600000000,20608237056,20608237056,20616333760
3,tag,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain7,/domain7/data/doc/p_000568,/domain7=0.5449;/domain4=0.4687;/domain2=0.4599;/domain5=0.4560,0,0,0.455976,20800.0000,20808.1881,20808.1881,20814.8508,14.8508,-1,2,-1,16,1,9584,2560,40,1105,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1881,6.6627,20800000000,20808188080,20808188080,20814850752
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain3,/domain3/data/doc/sl_000288,/domain3=0.6686;/domain2=0.6430;/domain5=0.6381;/domain6=0.5999;/domain4=0.5898,0,0,0.638108,21000.0000,21008.2371,21008.2371,21014.7618,14.7618,-1,2,-1,16,1,9584,2576,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.2371,6.5247,21000000000,21008237056,21008237056,21014761760
5,tag,Give me traffic information near Old Town Core Cultural Center,6,traf_000118;traf_000160;traf_000172;traf_000292;traf_000340;traf_000406;traf_000412;traf_000430;traf_000490;traf_000562,/domain6,/domain6/data/doc/traf_000375,/domain6=0.7670;/domain4=0.6567;/domain3=0.6124;/domain2=0.5779;/domain5=0.5165,0,1,0.516514,21200.0000,21208.2322,21208.2322,21215.8470,15.8470,-1,2,-1,16,1,9584,2608,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.2322,7.6148,21200000000,21208232192,21208232192,21215846960
6,tag,What traffic readings are reported in Greenfield Park?,7,traf_000277;traf_000286,/domain7,/domain7/data/doc/traf_000548,/domain7=0.7499;/domain6=0.6755;/domain3=0.6232;/domain2=0.6115;/domain4=0.5967;/domain5=0.5795,0,1,0.579475,21400.0000,21408.2077,21408.2077,21414.8705,14.8705,-1,2,-1,16,1,9584,2608,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.2077,6.6628,21400000000,21408207712,21408207712,21414870480
7,tag,Give me parking information near North Harbor Main Station,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000420,/domain0=0.7914;/domain4=0.6831;/domain6=0.6712;/domain7=0.6616;/domain3=0.6543;/domain5=0.6279,0,1,0.627905,21600.0000,21608.2175,21608.2175,21615.9681,15.9681,-1,2,-1,16,1,9584,2560,40,1105,0,0,1,1,0,DOC_WRONG,none,,redundant,8.2175,7.7507,21600000000,21608217456,21608217456,21615968128
8,tag,List traffic data around South Hills Waterfront Promenade,3,traf_000026;traf_000116;traf_000156;traf_000206;traf_000346;traf_000361;traf_000471;traf_000586,/domain3,/domain3/data/doc/traf_000198,/domain3=0.6328;/domain4=0.6125;/domain2=0.6011;/domain5=0.5682;/domain7=0.5615;/domain0=0.5593,0,1,0.568159,21800.0000,21808.2224,21808.2224,21814.7472,14.7472,-1,2,-1,16,1,9584,2608,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.2224,6.5248,21800000000,21808222400,21808222400,21814747168
9,tag,Give me streetlight information near Old Town Core City Hall,6,sl_000092,/domain6,/domain6/data/doc/sl_000092,/domain6=0.8583;/domain2=0.7602;/domain5=0.7151;/domain3=0.6548;/domain4=0.6538,1,1,0.715090,22000.0000,22008.2371,22008.2371,22015.8518,15.8518,-1,2,-1,16,1,9584,2576,41,1106,0,0,1,1,0,,none,,redundant,8.2371,7.6147,22000000000,22008237056,22008237056,22015851760
