run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir
iroute_M1_s42,iroute,42,M,1,0,0,12721.240000,0.864000,0.600000,0.816000,0.912000,0.112000,0.112000,0.112000,27.622300,50.952900,5.040000,500,500,10.288000,48,500,0.000000,285,results/sanr_baseline/accuracy_comparison/iroute_M1_s42
iroute_M2_s42,iroute,42,M,2,0,0,14146.440000,0.888000,0.640000,0.840000,0.920000,0.112000,0.112000,0.112000,27.622300,51.055900,5.040000,500,500,10.288000,48,500,0.000000,285,results/sanr_baseline/accuracy_comparison/iroute_M2_s42
iroute_M4_s42,iroute,42,M,4,1,0,14343.780000,0.944000,0.896000,0.992000,1.000000,0.120000,0.120000,0.120000,27.250700,50.903900,5.170000,500,500,10.288000,48,500,0.000000,305,results/sanr_baseline/accuracy_comparison/iroute_M4_s42
iroute_M8_s42,iroute,42,M,8,0,0,14343.780000,0.944000,0.896000,0.992000,1.000000,0.120000,0.120000,0.120000,27.250700,50.903900,5.170000,500,500,10.288000,48,500,0.000000,305,results/sanr_baseline/accuracy_comparison/iroute_M8_s42
iroute_M1_s43,iroute,43,M,1,0,0,12721.240000,0.864000,0.600000,0.816000,0.912000,0.112000,0.112000,0.112000,37.809100,57.976900,5.040000,500,500,10.288000,48,500,0.000000,267,results/sanr_baseline/accuracy_comparison/iroute_M1_s43
iroute_M2_s43,iroute,43,M,2,0,0,14146.440000,0.888000,0.640000,0.840000,0.920000,0.112000,0.112000,0.112000,37.809100,58.096900,5.040000,500,500,10.288000,48,500,0.000000,281,results/sanr_baseline/accuracy_comparison/iroute_M2_s43
iroute_M4_s43,iroute,43,M,4,1,0,14343.780000,0.944000,0.896000,0.992000,1.000000,0.120000,0.120000,0.120000,37.809100,66.555800,5.170000,500,500,10.288000,48,500,0.000000,264,results/sanr_baseline/accuracy_comparison/iroute_M4_s43
iroute_M8_s43,iroute,43,M,8,0,0,14343.780000,0.944000,0.896000,0.992000,1.000000,0.120000,0.120000,0.120000,37.809100,66.555800,5.170000,500,500,10.288000,48,500,0.000000,264,results/sanr_baseline/accuracy_comparison/iroute_M8_s43
iroute_M1_s44,iroute,44,M,1,0,0,12721.240000,0.864000,0.600000,0.816000,0.912000,0.112000,0.112000,0.112000,25.064100,44.748600,5.040000,500,500,10.288000,48,500,0.000000,293,results/sanr_baseline/accuracy_comparison/iroute_M1_s44
iroute_M2_s44,iroute,44,M,2,0,0,14146.440000,0.888000,0.640000,0.840000,0.920000,0.112000,0.112000,0.112000,25.365100,44.748600,5.040000,500,500,10.288000,48,500,0.000000,300,results/sanr_baseline/accuracy_comparison/iroute_M2_s44
iroute_M4_s44,iroute,44,M,4,1,0,14343.780000,0.944000,0.896000,0.992000,1.000000,0.120000,0.120000,0.120000,25.411200,44.776600,5.170000,500,500,10.288000,48,500,0.000000,294,results/sanr_baseline/accuracy_comparison/iroute_M4_s44
iroute_M8_s44,iroute,44,M,8,0,0,14343.780000,0.944000,0.896000,0.992000,1.000000,0.120000,0.120000,0.120000,25.411200,44.776600,5.170000,500,500,10.288000,48,500,0.000000,294,results/sanr_baseline/accuracy_comparison/iroute_M8_s44
flood_budget2_s42,flood,42,budget,2,0,0,6902.800000,0.288000,0.288000,0.288000,0.288000,0.024000,0.024000,0.024000,25.781500,50.904300,5.060000,500,500,10.288000,48,416,0.168000,274,results/sanr_baseline/accuracy_comparison/flood_budget2_s42
