run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir
iroute_M4_s42,iroute,42,M,4.0,1,0,14343.78,0.944,0.896,0.992,1.0,0.12,0.12,0.12,27.2507,50.9039,5.17,500,500,10.288,48,500,0.0,305,results/sanr_baseline/accuracy_comparison/iroute_M4_s42
iroute_M4_s43,iroute,43,M,4.0,1,0,14343.78,0.944,0.896,0.992,1.0,0.12,0.12,0.12,37.8091,66.5558,5.17,500,500,10.288,48,500,0.0,264,results/sanr_baseline/accuracy_comparison/iroute_M4_s43
iroute_M4_s44,iroute,44,M,4.0,1,0,14343.78,0.944,0.896,0.992,1.0,0.12,0.12,0.12,25.4112,44.7766,5.17,500,500,10.288,48,500,0.0,294,results/sanr_baseline/accuracy_comparison/iroute_M4_s44
flood_budget8_s42,flood,42,budget,8.0,1,0,27575.53,0.928,0.928,0.984,0.992,0.12,0.12,0.12,28.2075,53.0743,5.18,500,500,10.288,48,496,0.008,287,results/sanr_baseline/accuracy_comparison/flood_budget8_s42
flood_budget8_s43,flood,43,budget,8.0,1,0,27575.53,0.928,0.928,0.984,0.992,0.12,0.12,0.12,38.4291,66.5558,5.18,500,500,10.288,48,496,0.008,278,results/sanr_baseline/accuracy_comparison/flood_budget8_s43
flood_budget8_s44,flood,44,budget,8.0,1,0,27575.53,0.928,0.928,0.984,0.992,0.12,0.12,0.12,26.2257,47.9304,5.18,500,500,10.288,48,496,0.008,279,results/sanr_baseline/accuracy_comparison/flood_budget8_s44
tag_tagK32_s42,tag,42,tagK,32.0,1,0,110802.8,0.696,0.696,0.72,0.72,0.088,0.088,0.088,27.0731,50.943,5.18,500,500,10.288,48,500,0.0,441,results/sanr_baseline/accuracy_comparison/tag_tagK32_s42
tag_tagK32_s43,tag,43,tagK,32.0,1,0,110802.8,0.696,0.696,0.72,0.72,0.088,0.088,0.088,40.6858,70.7492,5.18,500,500,10.288,48,500,0.0,392,results/sanr_baseline/accuracy_comparison/tag_tagK32_s43
tag_tagK32_s44,tag,44,tagK,32.0,1,0,110802.8,0.696,0.696,0.72,0.72,0.088,0.088,0.088,25.2498,46.0745,5.18,500,500,10.288,48,500,0.0,393,results/sanr_baseline/accuracy_comparison/tag_tagK32_s44
sanr-tag_sim0.8_s42,sanr-tag,42,sim,0.8,1,0,110802.8,0.704,0.696,0.72,0.72,0.088,0.088,0.088,27.0481,50.943,5.12,500,500,10.288,48,500,0.0,441,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.8_s42
sanr-tag_sim0.8_s43,sanr-tag,43,sim,0.8,1,0,110802.8,0.704,0.696,0.72,0.72,0.088,0.088,0.088,40.6858,70.7492,5.12,500,500,10.288,48,500,0.0,391,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.8_s43
sanr-tag_sim0.8_s44,sanr-tag,44,sim,0.8,1,0,110802.8,0.704,0.696,0.72,0.72,0.088,0.088,0.088,25.2498,46.0745,5.12,500,500,10.288,48,500,0.0,392,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.8_s44
central_proc2_s42,central,42,proc,2.0,1,1,1784.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7959,13.4371,0.0,500,500,10.288,48,500,0.0,121,results/sanr_baseline/accuracy_comparison/central_proc2_s42
central_proc2_s43,central,43,proc,2.0,1,1,1784.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.872,16.819,0.0,500,500,10.288,48,500,0.0,122,results/sanr_baseline/accuracy_comparison/central_proc2_s43
central_proc2_s44,central,44,proc,2.0,1,1,1784.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.6575,12.621,0.0,500,500,10.288,48,500,0.0,122,results/sanr_baseline/accuracy_comparison/central_proc2_s44
