scenario,scheme,seed,run_id,topology,failure_policy,failure_effective,min_success,t95,baseline,n_success,timeout_rate,hash_success,hash_domain_hit,hash_rtt,result_dir
link-fail,central,42,central-link-fail-s42,redundant,auto-noncut,1,0.900000,50,1.000000,495,0.008016,430c9b180d4bc66e,982bafba3ced3762,db2b2c8e763e7a57,results/sanr_baseline/exp3-failure/central-link-fail-s42
domain-fail,central,42,central-domain-fail-s42,redundant,auto-noncut,1,0.400000,50,1.000000,467,0.060362,9e98e3f5f4fec63d,24c77c2202588c22,69be26a6d7b0c52e,results/sanr_baseline/exp3-failure/central-domain-fail-s42
churn,central,42,central-churn-s42,redundant,auto-noncut,1,0.700000,50,1.000000,485,0.028056,e2dbc98187cc835e,6650f3c88549c804,3daf7859dead193b,results/sanr_baseline/exp3-failure/central-churn-s42
link-fail,iroute,42,iroute-link-fail-s42,redundant,auto-noncut,1,0.750000,50,1.000000,417,0.011848,667f8d62bb954d54,dfe4748d07f5a6bb,eb063da40dcf5293,results/sanr_baseline/exp3-failure/iroute-link-fail-s42
domain-fail,iroute,42,iroute-domain-fail-s42,redundant,auto-noncut,1,0.850000,50,1.000000,267,0.046429,ac7deba39ac2b76c,ad2c93c6a006a1b1,9cd432d7906e5d18,results/sanr_baseline/exp3-failure/iroute-domain-fail-s42
churn,iroute,42,iroute-churn-s42,redundant,auto-noncut,0,1.000000,50,1.000000,499,0.000000,37f6b03e1ebfea20,82efb73721059c66,79e32fc78309af39,results/sanr_baseline/exp3-failure/iroute-churn-s42
link-fail,flood,42,flood-link-fail-s42,redundant,auto-noncut,1,0.600000,50,0.942857,441,0.081250,543d2339afb8ffa5,ca5a3aced9ece64e,0c519ca6149bd78a,results/sanr_baseline/exp3-failure/flood-link-fail-s42
domain-fail,flood,42,flood-domain-fail-s42,redundant,auto-noncut,1,0.600000,50,0.942857,386,0.108545,349331c94653b336,d8944e4664492e99,af85c3e6ab82cec0,results/sanr_baseline/exp3-failure/flood-domain-fail-s42
churn,flood,42,flood-churn-s42,redundant,auto-noncut,1,0.444444,50,0.942857,363,0.112469,cd93567d9fc61f23,68471aea24a5ded5,3f6e76165e0bf227,results/sanr_baseline/exp3-failure/flood-churn-s42
link-fail,tag,42,tag-link-fail-s42,redundant,auto-noncut,1,1.000000,50,1.000000,499,0.000000,37f6b03e1ebfea20,2af39c406608e870,5142774c18f06118,results/sanr_baseline/exp3-failure/tag-link-fail-s42
domain-fail,tag,42,tag-domain-fail-s42,redundant,auto-noncut,1,1.000000,50,1.000000,479,0.000000,15e1ba40eac5f3b0,02068aba49c4ea4a,62ff3367521bae20,results/sanr_baseline/exp3-failure/tag-domain-fail-s42
churn,tag,42,tag-churn-s42,redundant,auto-noncut,0,1.000000,50,1.000000,499,0.000000,37f6b03e1ebfea20,6fbe9ff1bd43726b,16e1ee90cd09633b,results/sanr_baseline/exp3-failure/tag-churn-s42
link-fail,sanr-tag,42,sanr-tag-link-fail-s42,redundant,auto-noncut,1,1.000000,50,1.000000,499,0.000000,37f6b03e1ebfea20,716531136702140e,305950b78b7ae19d,results/sanr_baseline/exp3-failure/sanr-tag-link-fail-s42
domain-fail,sanr-tag,42,sanr-tag-domain-fail-s42,redundant,auto-noncut,1,1.000000,50,1.000000,479,0.000000,15e1ba40eac5f3b0,60f68775387746ba,d1826fa33d043e9c,results/sanr_baseline/exp3-failure/sanr-tag-domain-fail-s42
churn,sanr-tag,42,sanr-tag-churn-s42,redundant,auto-noncut,0,1.000000,50,1.000000,499,0.000000,37f6b03e1ebfea20,c902623d89acfc93,e369e293b32c94ea,results/sanr_baseline/exp3-failure/sanr-tag-churn-s42
link-fail,central,43,central-link-fail-s43,redundant,auto-noncut,1,0.900000,50,1.000000,495,0.008016,430c9b180d4bc66e,982bafba3ced3762,db2b2c8e763e7a57,results/sanr_baseline/exp3-failure/central-link-fail-s43
domain-fail,central,43,central-domain-fail-s43,redundant,auto-noncut,1,0.400000,50,1.000000,467,0.060362,9e98e3f5f4fec63d,24c77c2202588c22,69be26a6d7b0c52e,results/sanr_baseline/exp3-failure/central-domain-fail-s43
churn,central,43,central-churn-s43,redundant,auto-noncut,1,0.700000,50,1.000000,477,0.044088,cbf165cc3e0e79da,917a1e9220bb8b15,8bd84d75846f480d,results/sanr_baseline/exp3-failure/central-churn-s43
