run_id,scheme,seed,frequency,sim_time,topology,mean_hops,unique_hops_values,p50_ms,p95_ms,domain_acc,ctrl_bytes_per_sec,result_dir
central_freq1_s42,central,42,1,180,rocketfuel,0.000000,0,10.052000,11.169700,1.000000,387.750000,results/sanr_baseline/exp4-load/central_freq1_s42
central_freq2_s42,central,42,2,180,rocketfuel,0.000000,0,10.052000,11.169700,1.000000,778.410000,results/sanr_baseline/exp4-load/central_freq2_s42
central_freq5_s42,central,42,5,115,rocketfuel,0.000000,0,9.991600,11.169700,1.000000,1960.250000,results/sanr_baseline/exp4-load/central_freq5_s42
central_freq10_s42,central,42,10,65,rocketfuel,0.000000,0,10.003000,11.169700,1.000000,3929.510000,results/sanr_baseline/exp4-load/central_freq10_s42
central_freq20_s42,central,42,20,40,rocketfuel,0.000000,0,9.991600,11.043000,1.000000,7855.800000,results/sanr_baseline/exp4-load/central_freq20_s42
central_freq1_s43,central,43,1,180,rocketfuel,0.000000,0,10.052000,11.169700,1.000000,387.750000,results/sanr_baseline/exp4-load/central_freq1_s43
central_freq2_s43,central,43,2,180,rocketfuel,0.000000,0,10.052000,11.169700,1.000000,778.410000,results/sanr_baseline/exp4-load/central_freq2_s43
central_freq5_s43,central,43,5,115,rocketfuel,0.000000,0,9.991600,11.169700,1.000000,1960.250000,results/sanr_baseline/exp4-load/central_freq5_s43
central_freq10_s43,central,43,10,65,rocketfuel,0.000000,0,10.003000,11.169700,1.000000,3929.510000,results/sanr_baseline/exp4-load/central_freq10_s43
central_freq20_s43,central,43,20,40,rocketfuel,0.000000,0,9.991600,11.043000,1.000000,7855.800000,results/sanr_baseline/exp4-load/central_freq20_s43
central_freq1_s44,central,44,1,180,rocketfuel,0.000000,0,10.052000,11.169700,1.000000,387.750000,results/sanr_baseline/exp4-load/central_freq1_s44
central_freq2_s44,central,44,2,180,rocketfuel,0.000000,0,10.052000,11.169700,1.000000,778.410000,results/sanr_baseline/exp4-load/central_freq2_s44
central_freq5_s44,central,44,5,115,rocketfuel,0.000000,0,9.991600,11.169700,1.000000,1960.250000,results/sanr_baseline/exp4-load/central_freq5_s44
central_freq10_s44,central,44,10,65,rocketfuel,0.000000,0,10.003000,11.169700,1.000000,3929.510000,results/sanr_baseline/exp4-load/central_freq10_s44
central_freq20_s44,central,44,20,40,rocketfuel,0.000000,0,9.991600,11.043000,1.000000,7855.800000,results/sanr_baseline/exp4-load/central_freq20_s44
iroute_freq1_s42,iroute,42,1,180,rocketfuel,5.140000,4,26.161200,51.461800,0.924500,3164.580000,results/sanr_baseline/exp4-load/iroute_freq1_s42
iroute_freq2_s42,iroute,42,2,180,rocketfuel,5.050000,4,26.098200,50.939800,0.937300,6349.130000,results/sanr_baseline/exp4-load/iroute_freq2_s42
iroute_freq5_s42,iroute,42,5,115,rocketfuel,5.120000,4,26.051700,50.903900,0.940900,15813.220000,results/sanr_baseline/exp4-load/iroute_freq5_s42
iroute_freq10_s42,iroute,42,10,65,rocketfuel,5.050000,4,27.621800,51.255900,0.955500,31614.270000,results/sanr_baseline/exp4-load/iroute_freq10_s42
iroute_freq20_s42,iroute,42,20,40,rocketfuel,4.970000,4,27.622300,51.599900,0.950300,60825.700000,results/sanr_baseline/exp4-load/iroute_freq20_s42
iroute_freq1_s43,iroute,43,1,180,rocketfuel,5.140000,4,37.828100,66.555800,0.924500,3164.580000,results/sanr_baseline/exp4-load/iroute_freq1_s43
iroute_freq2_s43,iroute,43,2,180,rocketfuel,5.050000,4,37.809100,66.555800,0.937300,6349.130000,results/sanr_baseline/exp4-load/iroute_freq2_s43
