qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=3.09349(0.74122);/domain9=3.09349(0.74122);/domain7=2.5517(0.625752);/domain15=2.5517(0.625752);/domain8=2.46172(0.631977),0,1,0.839392,20200.000000,20214.253175,20221.721045,20235.975755,35.975755,-1,5,-1,2,1,3016,170,44,1113,0,0,1,1,0,,none,,rocketfuel,14.253175,14.254710,20200000000,20214253175,20221721045,20235975755,0,0,0.000000,,
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=3.09349(0.74122);/domain9=3.09349(0.74122);/domain7=2.5517(0.625752);/domain15=2.5517(0.625752);/domain8=2.46172(0.631977),0,1,0.839392,20400.000000,20415.075175,20421.435131,20421.435131,21.435131,-1,5,-1,2,1,3016,170,44,1113,0,0,1,1,0,,none,,rocketfuel,15.075175,0.000000,20400000000,20415075175,20421435131,20421435131,0,0,0.000000,,
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=3.09349(0.74122);/domain9=3.09349(0.74122);/domain7=2.5517(0.625752);/domain15=2.5517(0.625752);/domain8=2.46172(0.631977),0,1,0.839392,20600.000000,20614.253175,20621.435131,20621.435131,21.435131,-1,5,-1,2,1,3016,170,44,1113,0,0,1,1,0,,none,,rocketfuel,14.253175,0.000000,20600000000,20614253175,20621435131,20621435131,0,0,0.000000,,
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=3.09349(0.74122);/domain9=3.09349(0.74122);/domain7=2.5517(0.625752);/domain15=2.5517(0.625752);/domain8=2.46172(0.631977),0,1,0.839392,20800.000000,20814.253175,20822.016131,20822.016131,22.016131,-1,5,-1,2,1,3016,170,44,1113,0,0,1,1,0,,none,,rocketfuel,14.253175,0.000000,20800000000,20814253175,20822016131,20822016131,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.76967(0.713879);/domain14=2.64467(0.713879);/domain4=1.66266(0.481744);/domain7=1.64336(0.418719);/domain15=1.64336(0.418719),0,1,0.703099,21000.000000,21028.745180,21028.745180,21057.491900,57.491900,-1,5,-1,3,1,3017,171,45,1114,0,0,1,1,0,,none,,rocketfuel,28.745180,28.746720,21000000000,21028745180,21028745180,21057491900,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.76967(0.713879);/domain14=2.64467(0.713879);/domain4=1.66266(0.481744);/domain7=1.64336(0.418719);/domain15=1.64336(0.418719),0,1,0.703099,21200.000000,21229.633180,21229.633180,21229.633180,29.633180,-1,5,-1,3,1,3017,171,45,1114,0,0,1,1,0,,none,,rocketfuel,29.633180,0.000000,21200000000,21229633180,21229633180,21229633180,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.76967(0.713879);/domain14=2.64467(0.713879);/domain4=1.66266(0.481744);/domain7=1.64336(0.418719);/domain15=1.64336(0.418719),0,1,0.703099,21400.000000,21428.764180,21428.764180,21428.764180,28.764180,-1,5,-1,3,1,3017,171,45,1114,0,0,1,1,0,,none,,rocketfuel,28.764180,0.000000,21400000000,21428764180,21428764180,21428764180,0,0,0.000000,,
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.76967(0.713879);/domain14=2.64467(0.713879);/domain4=1.66266(0.481744);/domain7=1.64336(0.418719);/domain15=1.64336(0.418719),0,1,0.703099,21600.000000,21628.745180,21628.745180,21628.745180,28.745180,-1,5,-1,3,1,3017,171,45,1114,0,0,1,1,0,,none,,rocketfuel,28.745180,0.000000,21600000000,21628745180,21628745180,21628745180,0,0,0.000000,,
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000240,/domain9=2.7598(0.670082);/domain1=2.7598(0.670082);/domain7=2.14617(0.522615);/domain15=2.14617(0.522615);/domain10=2.01306(0.575576),0,1,0.644780,21800.000000,21814.896170,21821.701045,21835.955750,35.955750,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,14.896170,14.254705,21800000000,21814896170,21821701045,21835955750,0,0,0.000000,,
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000240,/domain9=2.7598(0.670082);/domain1=2.7598(0.670082);/domain7=2.14617(0.522615);/domain15=2.14617(0.522615);/domain10=2.01306(0.575576),0,1,0.644780,22000.000000,22014.253170,22021.056045,22021.056045,21.056045,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,14.253170,0.000000,22000000000,22014253170,22021056045,22021056045,0,0,0.000000,,
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000240,/domain9=2.7598(0.670082);/domain1=2.7598(0.670082);/domain7=2.14617(0.522615);/domain15=2.14617(0.522615);/domain10=2.01306(0.575576),0,1,0.644780,22200.000000,22214.253170,22221.314045,22221.314045,21.314045,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,14.253170,0.000000,22200000000,22214253170,22221314045,22221314045,0,0,0.000000,,
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000240,/domain9=2.7598(0.670082);/domain1=2.7598(0.670082);/domain7=2.14617(0.522615);/domain15=2.14617(0.522615);/domain10=2.01306(0.575576),0,1,0.644780,22400.000000,22414.253170,22421.198045,22421.198045,21.198045,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,14.253170,0.000000,22400000000,22414253170,22421198045,22421198045,0,0,0.000000,,
3,iroute,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain11=2.26978(0.624971);/domain3=2.14478(0.624971);/domain9=1.99817(0.501756);/domain1=1.99817(0.501756);/domain7=1.8763(0.470234),0,1,0.635494,22600.000000,22617.729165,22620.947538,22638.678233,38.678233,-1,5,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,17.729165,17.730695,22600000000,22617729165,22620947538,22638678233,0,0,0.000000,,
3,iroute,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain11=2.26978(0.624971);/domain3=2.14478(0.624971);/domain9=1.99817(0.501756);/domain1=1.99817(0.501756);/domain7=1.8763(0.470234),0,1,0.635494,22800.000000,22817.761165,22821.877538,22821.877538,21.877538,-1,5,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,17.761165,0.000000,22800000000,22817761165,22821877538,22821877538,0,0,0.000000,,
3,iroute,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain11=2.26978(0.624971);/domain3=2.14478(0.624971);/domain9=1.99817(0.501756);/domain1=1.99817(0.501756);/domain7=1.8763(0.470234),0,1,0.635494,23000.000000,23017.752165,23020.947538,23020.947538,20.947538,-1,5,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,17.752165,0.000000,23000000000,23017752165,23020947538,23020947538,0,0,0.000000,,
3,iroute,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain11=2.26978(0.624971);/domain3=2.14478(0.624971);/domain9=1.99817(0.501756);/domain1=1.99817(0.501756);/domain7=1.8763(0.470234),0,1,0.635494,23200.000000,23218.201165,23220.947538,23220.947538,20.947538,-1,5,-1,3,1,3016,168,42,1111,0,0,1,1,0,,none,,rocketfuel,18.201165,0.000000,23200000000,23218201165,23220947538,23220947538,0,0,0.000000,,
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.90381(0.70149);/domain9=2.90381(0.70149);/domain7=2.1253(0.518064);/domain15=2.1253(0.518064);/domain11=2.04113(0.566817),1,1,0.748806,23400.000000,23414.253170,23420.947045,23435.201750,35.201750,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,14.253170,14.254705,23400000000,23414253170,23420947045,23435201750,0,0,0.000000,,
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.90381(0.70149);/domain9=2.90381(0.70149);/domain7=2.1253(0.518064);/domain15=2.1253(0.518064);/domain11=2.04113(0.566817),1,1,0.748806,23600.000000,23614.449170,23620.947045,23620.947045,20.947045,-1,5,-1,2,1,3017,169,43,1112,0,0,1,1,0,,none,,rocketfuel,14.449170,0.000000,23600000000,23614449170,23620947045,23620947045,0,0,0.000000,,
