qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain3=0.6829;/domain5=0.6332,0,0,0.723384,20200.000000,20223.889465,20223.889465,20246.900985,46.900985,-1,8,-1,32,1,19165,4533,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.889465,23.011520,20200000000,20223889465,20223889465,20246900985,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain3=0.6829;/domain5=0.6332,0,0,0.723384,20400.000000,20423.905954,20423.905954,20423.905954,23.905954,-1,8,-1,32,1,19165,4533,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.905954,0.000000,20400000000,20423905954,20423905954,20423905954,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain3=0.6829;/domain5=0.6332,0,0,0.723384,20600.000000,20623.713399,20623.713399,20623.713399,23.713399,-1,8,-1,32,1,19165,4533,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.713399,0.000000,20600000000,20623713399,20623713399,20623713399,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain0,/domain0/data/doc/pol_000226,/domain0=0.7234;/domain3=0.6829;/domain5=0.6332,0,0,0.723384,20800.000000,20823.937480,20823.937480,20823.937480,23.937480,-1,8,-1,32,1,19165,4533,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.937480,0.000000,20800000000,20823937480,20823937480,20823937480,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain0,/domain0/data/doc/traf_000296,/domain0=0.5111;/domain2=0.4563;/domain3=0.4252;/domain5=0.3986,0,0,0.456347,21000.000000,21027.870546,21027.870546,21051.184082,51.184082,-1,8,-1,32,1,19166,4562,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.870546,23.313536,21000000000,21027870546,21027870546,21051184082,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain0,/domain0/data/doc/traf_000296,/domain0=0.5111;/domain2=0.4563;/domain3=0.4252;/domain5=0.3986,0,0,0.456347,21200.000000,21227.870546,21227.870546,21227.870546,27.870546,-1,8,-1,32,1,19166,4562,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.870546,0.000000,21200000000,21227870546,21227870546,21227870546,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=0.7031;/domain0=0.5111;/domain2=0.4563;/domain3=0.4252;/domain5=0.3986,0,1,0.456347,21400.000000,21427.870546,21427.870546,21453.386256,53.386256,-1,5,-1,32,1,19166,4888,43,1114,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.870546,25.515710,21400000000,21427870546,21427870546,21453386256,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=0.7031;/domain0=0.5111;/domain2=0.4563;/domain3=0.4252;/domain5=0.3986,0,1,0.456347,21600.000000,21628.053546,21628.053546,21628.053546,28.053546,-1,5,-1,32,1,19166,4888,43,1114,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,28.053546,0.000000,21600000000,21628053546,21628053546,21628053546,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain5=0.6384;/domain3=0.6293;/domain6=0.6186,0,0,0.618556,21800.000000,21826.323081,21826.323081,21849.334601,49.334601,-1,8,-1,32,1,19168,4995,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.323081,23.011520,21800000000,21826323081,21826323081,21849334601,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain5=0.6384;/domain3=0.6293;/domain6=0.6186,0,0,0.618556,22000.000000,22026.113081,22026.113081,22026.113081,26.113081,-1,8,-1,32,1,19168,4995,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.113081,0.000000,22000000000,22026113081,22026113081,22026113081,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain5=0.6384;/domain3=0.6293;/domain6=0.6186,0,0,0.618556,22200.000000,22226.288614,22226.288614,22226.288614,26.288614,-1,8,-1,32,1,19168,4995,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.288614,0.000000,22200000000,22226288614,22226288614,22226288614,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain5=0.6384;/domain3=0.6293;/domain6=0.6186,0,0,0.618556,22400.000000,22426.297614,22426.297614,22426.297614,26.297614,-1,8,-1,32,1,19168,4995,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.297614,0.000000,22400000000,22426297614,22426297614,22426297614,0,0,0.000000,,
3,tag,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain3=0.6355;/domain7=0.5449;/domain6=0.5307;/domain0=0.4709;/domain2=0.4599;/domain5=0.4560,0,1,0.459901,22600.000000,22627.876622,22627.876622,22648.868312,48.868312,-1,5,-1,32,1,19161,5113,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.876622,20.991690,22600000000,22627876622,22627876622,22648868312,0,0,0.000000,,
3,tag,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain3=0.6355;/domain7=0.5449;/domain6=0.5307;/domain0=0.4709;/domain2=0.4599;/domain5=0.4560,0,1,0.459901,22800.000000,22827.866622,22827.866622,22827.866622,27.866622,-1,5,-1,32,1,19161,5113,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.866622,0.000000,22800000000,22827866622,22827866622,22827866622,0,0,0.000000,,
3,tag,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain3=0.6355;/domain7=0.5449;/domain6=0.5307;/domain0=0.4709;/domain2=0.4599;/domain5=0.4560,0,1,0.459901,23000.000000,23028.706622,23028.706622,23028.706622,28.706622,-1,5,-1,32,1,19161,5113,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,28.706622,0.000000,23000000000,23028706622,23028706622,23028706622,0,0,0.000000,,
3,tag,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain3=0.6355;/domain7=0.5449;/domain6=0.5307;/domain0=0.4709;/domain2=0.4599;/domain5=0.4560,0,1,0.459901,23200.000000,23227.866622,23227.866622,23227.866622,27.866622,-1,5,-1,32,1,19161,5113,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.866622,0.000000,23200000000,23227866622,23227866622,23227866622,0,0,0.000000,,
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain3,/domain3/data/doc/sl_000288,/domain3=0.6686;/domain5=0.6381;/domain0=0.6305;/domain6=0.5999,0,0,0.599909,23400.000000,23425.453081,23425.453081,23445.835781,45.835781,-1,5,-1,32,1,19168,4991,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.453081,20.382700,23400000000,23425453081,23425453081,23445835781,0,0,0.000000,,
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain3,/domain3/data/doc/sl_000288,/domain3=0.6686;/domain5=0.6381;/domain0=0.6305;/domain6=0.5999,0,0,0.599909,23600.000000,23625.592081,23625.592081,23625.592081,25.592081,-1,5,-1,32,1,19168,4991,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.592081,0.000000,23600000000,23625592081,23625592081,23625592081,0,0,0.000000,,
