qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,central,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/d1/streetlight/sl_000101,,1,1,1.000000,20200.000000,20205.353744,20205.353744,20210.033064,10.033064,-1,-1,-1,2,2,140,306,36,1107,0,0,1,1,0,,churn,central,redundant,5.353744,4.679320,20200000000,20205353744,20205353744,20210033064,0,0,0.000000,,
24,central,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain3,/d3/parking/p_000078,,1,1,1.000000,20400.000000,20406.118392,20406.118392,20411.098696,11.098696,-1,-1,-1,2,2,126,276,35,1106,0,0,1,1,0,,churn,central,redundant,6.118392,4.980304,20400000000,20406118392,20406118392,20411098696,0,0,0.000000,,
38,central,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/d0/parking/p_000004,,1,1,1.000000,20600.000000,20605.715328,20605.715328,20610.357632,10.357632,-1,-1,-1,2,2,118,276,35,1106,0,0,1,1,0,,churn,central,redundant,5.715328,4.642304,20600000000,20605715328,20605715328,20610357632,0,0,0.000000,,
39,central,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/d2/parking/p_000022,,1,1,1.000000,20800.000000,20805.607376,20805.607376,20810.504680,10.504680,-1,-1,-1,2,2,124,276,35,1106,0,0,1,1,0,,churn,central,redundant,5.607376,4.897304,20800000000,20805607376,20805607376,20810504680,0,0,0.000000,,
47,central,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/d7/pollution/pol_000093,,1,1,1.000000,21000.000000,21005.722720,21005.722720,21009.732056,9.732056,-1,-1,-1,2,2,137,306,37,1108,0,0,1,1,0,,churn,central,redundant,5.722720,4.009336,21000000000,21005722720,21005722720,21009732056,0,0,0.000000,,
53,central,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain4,/d4/pollution/pol_000065,,1,1,1.000000,21200.000000,21205.469712,21205.469712,21209.800048,9.800048,-1,-1,-1,2,2,136,306,37,1108,0,0,1,1,0,,churn,central,redundant,5.469712,4.330336,21200000000,21205469712,21205469712,21209800048,0,0,0.000000,,
64,central,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/d6/parking/p_000032,,1,1,1.000000,21400.000000,21405.714416,21405.714416,21410.146720,10.146720,-1,-1,-1,2,2,129,276,35,1106,0,0,1,1,0,,churn,central,redundant,5.714416,4.432304,21400000000,21405714416,21405714416,21410146720,0,0,0.000000,,
72,central,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain3,/d3/parking/p_000309,,1,1,1.000000,21600.000000,21605.335248,21605.335248,21609.344552,9.344552,-1,-1,-1,2,2,108,276,35,1106,0,0,1,1,0,,churn,central,redundant,5.335248,4.009304,21600000000,21605335248,21605335248,21609344552,0,0,0.000000,,
73,central,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/d7/traffic/traf_000100,,1,1,1.000000,21800.000000,21805.993608,21805.993608,21810.002960,10.002960,-1,-1,-1,2,2,123,306,38,1109,0,0,1,1,0,,churn,central,redundant,5.993608,4.009352,21800000000,21805993608,21805993608,21810002960,0,0,0.000000,,
75,central,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain3,/d3/parking/p_000001,,1,1,1.000000,22000.000000,22005.674352,22005.674352,22009.683656,9.683656,-1,-1,-1,2,2,121,276,35,1106,0,0,1,1,0,,churn,central,redundant,5.674352,4.009304,22000000000,22005674352,22005674352,22009683656,0,0,0.000000,,
82,central,What parking readings are reported in Westside Heights?,1,p_000058;p_000082;p_000136;p_000244;p_000286;p_000298;p_000316;p_000322;p_000328;p_000352;p_000376;p_000484;p_000508;p_000538;p_000544,/domain1,/d1/parking/p_000058,,1,1,1.000000,22200.000000,22206.666376,22206.666376,22210.727680,10.727680,-1,-1,-1,2,2,124,276,35,1106,0,0,1,1,0,,churn,central,redundant,6.666376,4.061304,22200000000,22206666376,22206666376,22210727680,0,0,0.000000,,
89,central,Show streetlight status for the Lakeside District Transit Hub zone,5,sl_000251;sl_000259;sl_000275;sl_000291;sl_000323;sl_000395;sl_000411;sl_000427;sl_000451;sl_000523;sl_000547,/domain5,/d5/streetlight/sl_000251,,1,1,1.000000,22400.000000,22405.240704,22405.240704,22409.551024,9.551024,-1,-1,-1,2,2,135,306,36,1107,0,0,1,1,0,,churn,central,redundant,5.240704,4.310320,22400000000,22405240704,22405240704,22409551024,0,0,0.000000,,
96,central,Search for traffic devices in Westside Heights Commercial Strip,1,traf_000176;traf_000470;traf_000476,/domain1,/d1/traffic/traf_000176,,1,1,1.000000,22600.000000,22605.730992,22605.730992,22609.740344,9.740344,-1,-1,-1,2,2,132,224,38,1109,0,0,1,1,0,,churn,central,redundant,5.730992,4.009352,22600000000,22605730992,22605730992,22609740344,0,0,0.000000,,
104,central,Locate every traffic unit across Greenfield Park,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/d7/traffic/traf_000100,,1,1,1.000000,22800.000000,22805.004560,22805.004560,22805.004560,5.004560,-1,-1,-1,2,2,117,306,38,1109,0,0,1,1,0,,churn,central,redundant,5.004560,0.000000,22800000000,22805004560,22805004560,22805004560,0,0,0.000000,,
105,central,Locate every traffic unit across Westside Heights,1,traf_000027;traf_000039;traf_000099;traf_000105;traf_000111;traf_000135;traf_000201;traf_000237;traf_000291;traf_000351;traf_000357;traf_000363;traf_000429;traf_000465;traf_000501;traf_000513;traf_000549;traf_000591;traf_000597,/domain1,/d1/traffic/traf_000027,,1,1,1.000000,23000.000000,23006.403568,23006.403568,23010.412920,10.412920,-1,-1,-1,2,2,118,306,38,1109,0,0,1,1,0,,churn,central,redundant,6.403568,4.009352,23000000000,23006403568,23006403568,23010412920,0,0,0.000000,,
107,central,Show traffic status for the Eastshore Quarter Industrial Zone zone,2,traf_000016;traf_000034;traf_000040;traf_000046;traf_000052;traf_000166;traf_000226;traf_000298,/domain2,/d2/traffic/traf_000016,,1,1,1.000000,23200.000000,23206.391704,23206.391704,23210.801056,10.801056,-1,-1,-1,2,2,135,306,38,1109,0,0,1,1,0,,churn,central,redundant,6.391704,4.409352,23200000000,23206391704,23206391704,23210801056,0,0,0.000000,,
108,central,Locate every pollution unit across Midtown Center,4,pol_000011;pol_000035;pol_000065;pol_000221;pol_000365;pol_000383;pol_000395;pol_000521,/domain4,/d4/pollution/pol_000011,,1,1,1.000000,23400.000000,23405.638568,23405.638568,23410.088904,10.088904,-1,-1,-1,2,2,118,306,37,1108,0,0,1,1,0,,churn,central,redundant,5.638568,4.450336,23400000000,23405638568,23405638568,23410088904,0,0,0.000000,,
110,central,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/d0/parking/p_000009,,1,1,1.000000,23600.000000,23606.042336,23606.042336,23610.265640,10.265640,-1,-1,-1,2,2,119,276,35,1106,0,0,1,1,0,,churn,central,redundant,6.042336,4.223304,23600000000,23606042336,23606042336,23610265640,0,0,0.000000,,
112,central,Locate every traffic unit across North Harbor,0,traf_000085;traf_000110;traf_000155;traf_000170;traf_000180;traf_000200;traf_000210;traf_000255;traf_000305;traf_000320;traf_000405;traf_000455;traf_000510;traf_000535;traf_000540,/domain0,/d0/traffic/traf_000085,,1,1,1.000000,23800.000000,23806.479536,23806.479536,23810.488888,10.488888,-1,-1,-1,2,2,114,306,38,1109,0,0,1,1,0,,churn,central,redundant,6.479536,4.009352,23800000000,23806479536,23806479536,23810488888,0,0,0.000000,,
121,central,Give me parking information near North Harbor City Library,0,p_000004;p_000008;p_000024;p_000068;p_000096;p_000148;p_000196;p_000204;p_000208;p_000212;p_000220;p_000324;p_000420;p_000456;p_000528;p_000548;p_000572;p_000592;p_000596,/domain0,/d0/parking/p_000004,,1,1,1.000000,24000.000000,24006.434400,24006.434400,24006.434400,6.434400,-1,-1,-1,2,2,127,276,35,1106,0,0,1,1,0,,churn,central,redundant,6.434400,0.000000,24000000000,24006434400,24006434400,24006434400,0,0,0.000000,,
122,central,Query streetlight records from Old Town Core Financial Row,6,sl_000316;sl_000468,/domain6,/d6/streetlight/sl_000316,,1,1,1.000000,24200.000000,24206.814632,24206.814632,24210.879952,10.879952,-1,-1,-1,2,2,127,184,36,1107,0,0,1,1,0,,churn,central,redundant,6.814632,4.065320,24200000000,24206814632,24206814632,24210879952,0,0,0.000000,,
133,central,Locate pollution with source_type set to industrial near Eastshore Quarter Shopping Mall in Eastshore Quarter Arts Quarter,2,pol_000005;pol_000053;pol_000161;pol_000389;pol_000449,/domain2,/d2/pollution/pol_000005,,1,1,1.000000,24400.000000,24405.503152,24405.503152,24410.183488,10.183488,-1,-1,-1,2,2,191,306,37,1108,0,0,1,1,0,,churn,central,redundant,5.503152,4.680336,24400000000,24405503152,24405503152,24410183488,0,0,0.000000,,
135,central,Find streetlight with status defectiveLamp and locationCategory tunnel near Greenfield Park City Hall,7,sl_000030;sl_000414,/domain7,/d7/streetlight/sl_000030,,1,1,1.000000,24600.000000,24605.551976,24605.551976,24609.561296,9.561296,-1,-1,-1,2,2,170,184,36,1107,0,0,1,1,0,,churn,central,redundant,5.551976,4.009320,24600000000,24605551976,24605551976,24609561296,0,0,0.000000,,
138,central,List pollution having pollutantType PM2_5 plus monitoringStation mobile in Old Town Core,6,pol_000081;pol_000129;pol_000171;pol_000183;pol_000201;pol_000237;pol_000357;pol_000375;pol_000417;pol_000459;pol_000495;pol_000573,/domain6,/d6/pollution/pol_000081,,1,1,1.000000,24800.000000,24806.855880,24806.855880,24810.865216,10.865216,-1,-1,-1,2,2,157,306,37,1108,0,0,1,1,0,,churn,central,redundant,6.855880,4.009336,24800000000,24806855880,24806855880,24810865216,0,0,0.000000,,
144,central,Find pollution with pollutantType PM2_5 and airQualityLevel moderate near Westside Heights Historic Market,1,pol_000087;pol_000327;pol_000477,/domain1,/d1/pollution/pol_000087,,1,1,1.000000,25000.000000,25005.715336,25005.715336,25009.724672,9.724672,-1,-1,-1,2,2,175,224,37,1108,0,0,1,1,0,,churn,central,redundant,5.715336,4.009336,25000000000,25005715336,25005715336,25009724672,0,0,0.000000,,
148,central,"Search for traffic devices: laneDirection=outbound, vehicleType=car, near South Hills Shopping Mall",3,traf_000026;traf_000116;traf_000206,/domain3,/d3/traffic/traf_000026,,1,1,1.000000,25200.000000,25206.763280,25206.763280,25210.772632,10.772632,-1,-1,-1,2,2,168,224,38,1109,0,0,1,1,0,,churn,central,redundant,6.763280,4.009352,25200000000,25206763280,25206763280,25210772632,0,0,0.000000,,
149,central,Locate streetlight with locationCategory set to road near Midtown Center Cultural Center in Midtown Center Waterfront,4,sl_000014;sl_000022;sl_000086;sl_000598,/domain4,/d4/streetlight/sl_000014,,1,1,1.000000,25400.000000,25405.982792,25405.982792,25409.992112,9.992112,-1,-1,-1,2,2,186,266,36,1107,0,0,1,1,0,,churn,central,redundant,5.982792,4.009320,25400000000,25405982792,25405982792,25409992112,0,0,0.000000,,
153,central,Find streetlight with status brokenLantern and locationCategory park near South Hills Riverside Park,3,sl_000004;sl_000008;sl_000012;sl_000044;sl_000048;sl_000052;sl_000288;sl_000292;sl_000392;sl_000452;sl_000476;sl_000488;sl_000584,/domain3,/d3/streetlight/sl_000004,,1,1,1.000000,25800.000000,25806.733976,25806.733976,25811.414296,11.414296,-1,-1,-1,2,2,169,306,36,1107,0,0,1,1,0,,churn,central,redundant,6.733976,4.680320,25800000000,25806733976,25806733976,25811414296,0,0,0.000000,,
155,central,Give me parking where facilityType equals metered and occupancyStatus equals few,3,p_000016;p_000064;p_000124;p_000168;p_000236;p_000252;p_000312;p_000348;p_000360;p_000404;p_000424;p_000464;p_000468;p_000560;p_000588,/domain3,/d3/parking/p_000016,,1,1,1.000000,26000.000000,26006.466576,26006.466576,26010.475880,10.475880,-1,-1,-1,2,2,149,276,35,1106,0,0,1,1,0,,churn,central,redundant,6.466576,4.009304,26000000000,26006466576,26006466576,26010475880,0,0,0.000000,,
157,central,List traffic having congestionLevel moderate plus laneDirection inbound in Lakeside District,5,traf_000193;traf_000208;traf_000253;traf_000388;traf_000403;traf_000448;traf_000478,/domain5,/d5/traffic/traf_000193,,1,1,1.000000,26200.000000,26206.661912,26206.661912,26210.769264,10.769264,-1,-1,-1,2,2,161,306,38,1109,0,0,1,1,0,,churn,central,redundant,6.661912,4.107352,26200000000,26206661912,26206661912,26210769264,0,0,0.000000,,
171,central,Give me pollution where airQualityLevel equals moderate and monitoringStation equals fixed,1,pol_000022;pol_000142;pol_000262,/domain1,/d1/pollution/pol_000022,,1,1,1.000000,26600.000000,26605.971208,26605.971208,26610.816544,10.816544,-1,-1,-1,2,2,159,224,37,1108,0,0,1,1,0,,churn,central,redundant,5.971208,4.845336,26600000000,26605971208,26605971208,26610816544,0,0,0.000000,,
172,central,parking with facilityType=covered and category=rooftop close to Lakeside District Cathedral,5,p_000337,/domain5,/d5/parking/p_000337,,1,1,1.000000,26800.000000,26805.202528,26805.202528,26809.327832,9.327832,-1,-1,-1,2,2,160,138,35,1106,0,0,1,1,0,,churn,central,redundant,5.202528,4.125304,26800000000,26805202528,26805202528,26809327832,0,0,0.000000,,
173,central,Give me traffic where vehicleType equals bus and laneDirection equals bidirectional,1,traf_000027;traf_000102;traf_000132;traf_000237;traf_000312;traf_000357;traf_000522;traf_000552;traf_000597,/domain1,/d1/traffic/traf_000027,,1,1,1.000000,27000.000000,27005.897840,27005.897840,27005.897840,5.897840,-1,-1,-1,2,2,152,306,38,1109,0,0,1,1,0,,churn,central,redundant,5.897840,0.000000,27000000000,27005897840,27005897840,27005897840,0,0,0.000000,,
178,central,Find streetlight with locationCategory playground and powerState off near South Hills Harbor Bridge,3,sl_000029;sl_000045;sl_000085;sl_000253;sl_000389;sl_000573,/domain3,/d3/streetlight/sl_000029,,1,1,1.000000,27200.000000,27206.007968,27206.007968,27210.017288,10.017288,-1,-1,-1,2,2,168,306,36,1107,0,0,1,1,0,,churn,central,redundant,6.007968,4.009320,27200000000,27206007968,27206007968,27210017288,0,0,0.000000,,
181,central,"Query pollution: pollutantType SO2, monitoringStation mobile, in Westside Heights",1,pol_000018;pol_000072;pol_000078;pol_000090;pol_000186;pol_000228;pol_000300;pol_000312;pol_000354;pol_000420;pol_000450;pol_000462;pol_000474;pol_000570,/domain1,/d1/pollution/pol_000018,,1,1,1.000000,27400.000000,27405.249824,27405.249824,27409.524160,9.524160,-1,-1,-1,2,2,150,306,37,1108,0,0,1,1,0,,churn,central,redundant,5.249824,4.274336,27400000000,27405249824,27405249824,27409524160,0,0,0.000000,,
182,central,Locate traffic with laneDirection set to outbound near South Hills Lighthouse in South Hills Financial Row,3,traf_000026;traf_000116;traf_000206,/domain3,/d3/traffic/traf_000026,,1,1,1.000000,27600.000000,27606.726336,27606.726336,27606.726336,6.726336,-1,-1,-1,2,2,175,224,38,1109,0,0,1,1,0,,churn,central,redundant,6.726336,0.000000,27600000000,27606726336,27606726336,27606726336,0,0,0.000000,,
187,central,Give me traffic where vehicleType equals bicycle and laneDirection equals outbound,2,traf_000005;traf_000035;traf_000365;traf_000530,/domain2,/d2/traffic/traf_000005,,1,1,1.000000,27800.000000,27805.103512,27805.103512,27809.112864,9.112864,-1,-1,-1,2,2,151,266,38,1109,0,0,1,1,0,,churn,central,redundant,5.103512,4.009352,27800000000,27805103512,27805103512,27809112864,0,0,0.000000,,
195,central,Find traffic with roadType localStreet and vehicleType car near Lakeside District Botanical Garden,5,traf_000191;traf_000311;traf_000431;traf_000461;traf_000581,/domain5,/d5/traffic/traf_000191,,1,1,1.000000,28000.000000,28006.805960,28006.805960,28010.988312,10.988312,-1,-1,-1,2,2,167,306,38,1109,0,0,1,1,0,,churn,central,redundant,6.805960,4.182352,28000000000,28006805960,28006805960,28010988312,0,0,0.000000,,
