qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.71631(0.70149);/domain7=1.8753(0.518064);/domain3=1.72863(0.566817);/domain5=1.62839(0.463184);/domain2=1.55983(0.523887),1,1,0.748806,20200.000000,20208.435704,20208.785488,20216.804320,16.804320,-1,2,-1,5,1,3015,169,43,1112,0,0,1,1,0,,domain-fail,domain1,redundant,8.435704,8.018832,20200000000,20208435704,20208785488,20216804320,0,0,0.000000,,
24,iroute,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain3,/domain3/data/doc/p_000424,/domain3=2.80627(0.8409);/domain1=2.72707(0.700749);/domain6=2.36485(0.651925);/domain7=2.27883(0.603415);/domain0=2.19572(0.628306),0,1,0.777258,20400.000000,20408.550688,20409.003400,20417.022200,17.022200,-1,2,-1,5,1,3015,168,42,1111,0,0,1,1,0,,domain-fail,domain1,redundant,8.550688,8.018800,20400000000,20408550688,20409003400,20417022200,0,0,0.000000,,
38,iroute,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/domain0/data/doc/p_000204,/domain0=2.39988(0.675891);/domain6=2.02118(0.573719);/domain1=1.97393(0.537208);/domain2=1.7553(0.573602);/domain7=1.75(0.488582),0,1,0.712485,20600.000000,20608.012688,20608.804616,20616.823416,16.823416,-1,2,-1,5,1,3015,168,42,1111,0,0,1,1,0,,domain-fail,domain1,redundant,8.012688,8.018800,20600000000,20608012688,20608804616,20616823416,0,0,0.000000,,
39,iroute,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/domain2/data/doc/p_000181,/domain2=2.51118(0.765849);/domain1=2.36701(0.622562);/domain5=2.25805(0.601542);/domain7=2.21008(0.588487);/domain6=2.20448(0.61543),0,1,0.776563,20800.000000,20808.012688,20808.823544,20816.842344,16.842344,-1,2,-1,5,1,3015,168,42,1111,0,0,1,1,0,,domain-fail,domain1,redundant,8.012688,8.018800,20800000000,20808012688,20808823544,20816842344,0,0,0.000000,,
47,iroute,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000038,/domain7=2.70627(0.71611);/domain1=2.6024(0.675152);/domain5=2.23025(0.592865);/domain0=2.13879(0.587882);/domain3=1.97516(0.639378),0,1,0.832777,21000.000000,21008.012720,21008.032432,21016.051296,16.051296,-1,2,-1,5,1,3015,170,44,1113,0,0,1,1,0,,domain-fail,domain1,redundant,8.012720,8.018864,21000000000,21008012720,21008032432,21016051296,0,0,0.000000,,
53,iroute,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain4,/domain4/data/doc/pol_000221,/domain4=2.42678(0.723904);/domain1=2.28271(0.60558);/domain0=1.89488(0.533544);/domain6=1.86885(0.569588);/domain7=1.79972(0.513636),1,1,0.764916,21200.000000,21208.012720,21208.640648,21216.659512,16.659512,-1,2,-1,5,1,3015,170,44,1113,0,0,1,1,0,,domain-fail,domain1,redundant,8.012720,8.018864,21200000000,21208012720,21208640648,21216659512,0,0,0.000000,,
64,iroute,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/domain6/data/doc/p_000005,/domain6=2.79065(0.74882);/domain7=2.21751(0.590099);/domain1=2.20111(0.586539);/domain4=2.07428(0.658044);/domain0=1.99878(0.582403),0,1,0.769151,21400.000000,21408.959688,21408.959688,21416.978488,16.978488,-1,2,-1,5,1,3015,168,42,1111,0,0,1,1,0,,domain-fail,domain1,redundant,8.959688,8.018800,21400000000,21408959688,21408959688,21416978488,0,0,0.000000,,
72,iroute,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/domain1/data/doc/traf_000135,/domain1=2.34745(0.606958);/domain3=2.23452(0.670631);/domain7=2.14491(0.584926);/domain6=1.7275(0.515925);/domain0=1.64159(0.494509),0,0,0.651275,21600.000000,21608.012736,21608.602592,21616.621488,16.621488,-1,2,-1,5,1,3015,171,45,1114,0,0,1,1,0,,domain-fail,domain1,redundant,8.012736,8.018896,21600000000,21608012736,21608602592,21616621488,0,0,0.000000,,
73,iroute,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/domain7/data/doc/traf_000548,/domain7=3.08211(0.792189);/domain1=2.57761(0.656018);/domain0=2.33456(0.654522);/domain3=2.28096(0.682019);/domain6=2.26072(0.639427),0,1,0.749900,21800.000000,21808.012736,21808.692664,21816.711560,16.711560,-1,2,-1,5,1,3015,171,45,1114,0,0,1,1,0,,domain-fail,domain1,redundant,8.012736,8.018896,21800000000,21808012736,21808692664,21816711560,0,0,0.000000,,
75,iroute,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain1,/domain1/data/doc/p_000144,/domain1=2.48276(0.647699);/domain3=2.37887(0.732198);/domain0=2.28212(0.648444);/domain5=2.28006(0.606342);/domain7=2.20382(0.587127),0,0,0.763584,22000.000000,22008.012688,22008.247472,22016.266272,16.266272,-1,2,-1,5,1,3015,168,42,1111,0,0,1,1,0,,domain-fail,domain1,redundant,8.012688,8.018800,22000000000,22008012688,22008247472,22016266272,0,0,0.000000,,
