scenario,scheme,seed,run_id,topology,failure_policy,failure_effective,min_success,t95,baseline,n_success,timeout_rate,hash_success,hash_domain_hit,hash_rtt,result_dir
link-fail,central,42,central-link-fail-s42,redundant,auto-noncut,1,0.875000,26,1.000000,84,0.045455,28cdeb88b387876f,5567d943144401ad,d0c2dd15c8437249,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/central-link-fail-s42
domain-fail,central,42,central-domain-fail-s42,redundant,auto-noncut,1,0.875000,26,1.000000,84,0.045455,28cdeb88b387876f,5567d943144401ad,d0c2dd15c8437249,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/central-domain-fail-s42
churn,central,42,central-churn-s42,redundant,auto-noncut,1,0.625000,-1,1.000000,76,0.136364,0bc2be3703354c06,5567d943144401ad,ff5014b4fd9e3618,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/central-churn-s42
link-fail,iroute,42,iroute-link-fail-s42,redundant,auto-noncut,1,0.000000,26,1.000000,79,0.102273,0d7a0597baff44be,fadb75f014d558a9,51df807375c477c5,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/iroute-link-fail-s42
domain-fail,iroute,42,iroute-domain-fail-s42,redundant,auto-noncut,1,0.000000,26,1.000000,79,0.102273,0d7a0597baff44be,fadb75f014d558a9,51df807375c477c5,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/iroute-domain-fail-s42
churn,iroute,42,iroute-churn-s42,redundant,auto-noncut,0,1.000000,26,1.000000,88,0.000000,5567d943144401ad,d5105276f03e4f9f,00d3f16a05ed0e6a,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/iroute-churn-s42
link-fail,flood,42,flood-link-fail-s42,redundant,auto-noncut,1,0.750000,30,0.950000,80,0.090909,c3408925d4aa93d3,7f584075ad017646,3c1c01df52c7a052,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/flood-link-fail-s42
domain-fail,flood,42,flood-domain-fail-s42,redundant,auto-noncut,1,0.750000,30,0.950000,80,0.090909,c3408925d4aa93d3,7f584075ad017646,3c1c01df52c7a052,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/flood-domain-fail-s42
churn,flood,42,flood-churn-s42,redundant,auto-noncut,1,0.700000,-1,0.950000,74,0.159091,251fe78bcea23eb4,9159aff996f2d0e3,a221f77138e8860a,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/flood-churn-s42
link-fail,tag,42,tag-link-fail-s42,redundant,auto-noncut,1,1.000000,26,1.000000,88,0.000000,5567d943144401ad,d968199c51f85f41,c9d4d545ab4790f0,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/tag-link-fail-s42
domain-fail,tag,42,tag-domain-fail-s42,redundant,auto-noncut,1,1.000000,26,1.000000,88,0.000000,5567d943144401ad,d968199c51f85f41,c9d4d545ab4790f0,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/tag-domain-fail-s42
churn,tag,42,tag-churn-s42,redundant,auto-noncut,1,1.000000,26,1.000000,88,0.000000,5567d943144401ad,6a5e5ffa17a25c08,328a91421f1fe1a0,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/tag-churn-s42
link-fail,sanr-tag,42,sanr-tag-link-fail-s42,redundant,auto-noncut,1,1.000000,26,1.000000,88,0.000000,5567d943144401ad,96f1df859df7bccd,70cae1d0468194f4,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/sanr-tag-link-fail-s42
domain-fail,sanr-tag,42,sanr-tag-domain-fail-s42,redundant,auto-noncut,1,1.000000,26,1.000000,88,0.000000,5567d943144401ad,96f1df859df7bccd,70cae1d0468194f4,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/sanr-tag-domain-fail-s42
churn,sanr-tag,42,sanr-tag-churn-s42,redundant,auto-noncut,1,1.000000,26,1.000000,88,0.000000,5567d943144401ad,96f1df859df7bccd,2896e83e4ab97e5c,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/failure/sanr-tag-churn-s42
