time_slot,nodeId,clusterId,count,selected
4,0,domain0,4,1
4,0,domain1,4,1
4,0,domain7,4,0
4,0,domain2,3,0
4,0,domain3,3,0
4,0,domain6,3,0
4,0,domain4,2,0
4,0,domain5,1,0
5,0,domain3,7,1
5,0,domain1,6,1
5,0,domain5,5,0
5,0,domain6,4,0
5,0,domain2,2,0
5,0,domain4,1,0
6,0,domain5,6,1
6,0,domain2,4,1
6,0,domain3,4,0
6,0,domain6,4,0
6,0,domain0,3,0
6,0,domain1,3,0
6,0,domain7,1,0
7,0,domain5,10,1
7,0,domain1,3,1
7,0,domain6,3,0
7,0,domain7,3,0
7,0,domain0,2,0
7,0,domain4,2,0
7,0,domain2,1,0
7,0,domain3,1,0
8,0,domain7,1,1
