qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,sanr-tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain4,/domain4/data/doc/sl_000552,/domain4=0.5898,0,0,0.589776,20200.000000,20208.653576,20208.653576,20216.834376,16.834376,-1,2,-1,16,1,9584,1610,41,1112,0,0,1,1,0,DOMAIN_WRONG,domain-fail,domain3,redundant,8.653576,8.180800,20200000000,20208653576,20208653576,20216834376,0,0,0.000000,,domain1
24,sanr-tag,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain1,/d1/streetlight/sl_000101,/domain4=0.6328,0,0,0.403404,20400.000000,20409.018760,20409.018760,20409.018760,9.018760,-1,0,0,16,1,9600,1771,40,1111,0,0,1,1,0,,domain-fail,domain3,redundant,9.018760,0.000000,20400000000,20409018760,20409018760,20409018760,0,1,0.403404,/d1/streetlight/sl_000101,domain3
38,sanr-tag,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain1,/d1/streetlight/sl_000101,/domain4=0.5553,0,0,0.312236,20600.000000,20608.841808,20608.841808,20608.841808,8.841808,-1,0,0,16,1,9600,1640,43,1114,0,0,1,1,0,,domain-fail,domain3,redundant,8.841808,0.000000,20600000000,20608841808,20608841808,20608841808,0,1,0.312236,/d1/streetlight/sl_000101,domain0
39,sanr-tag,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain1,/d1/streetlight/sl_000101,/domain4=0.6139,0,0,0.303994,20800.000000,20808.633392,20808.633392,20808.633392,8.633392,-1,0,0,16,1,9595,1606,40,1111,0,0,1,1,0,,domain-fail,domain3,redundant,8.633392,0.000000,20800000000,20808633392,20808633392,20808633392,0,1,0.303994,/d1/streetlight/sl_000101,domain2
47,sanr-tag,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain1,/d1/streetlight/sl_000101,/domain4=0.6333,0,0,0.197503,21000.000000,21008.780784,21008.780784,21008.780784,8.780784,-1,0,0,16,1,9599,1629,42,1113,0,0,1,1,0,,domain-fail,domain3,redundant,8.780784,0.000000,21000000000,21008780784,21008780784,21008780784,0,1,0.197503,/d1/streetlight/sl_000101,domain7
53,sanr-tag,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain1,/d1/streetlight/sl_000101,/domain4=0.7649,0,0,0.254512,21200.000000,21208.826528,21208.826528,21208.826528,8.826528,-1,0,0,16,1,9599,1629,42,1113,0,0,1,1,0,,domain-fail,domain3,redundant,8.826528,0.000000,21200000000,21208826528,21208826528,21208826528,0,1,0.254512,/d1/streetlight/sl_000101,domain4
64,sanr-tag,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain1,/d1/streetlight/sl_000101,/domain4=0.6741,0,0,0.304438,21400.000000,21409.011336,21409.011336,21409.011336,9.011336,-1,0,0,16,1,9600,1449,40,1111,0,0,1,1,0,,domain-fail,domain3,redundant,9.011336,0.000000,21400000000,21409011336,21409011336,21409011336,0,1,0.304438,/d1/streetlight/sl_000101,domain6
72,sanr-tag,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/d1/streetlight/sl_000101,/domain2=0.5822;/domain4=0.5801;/domain5=0.4942,0,0,0.202370,21600.000000,21608.949672,21608.949672,21608.949672,8.949672,-1,0,0,16,1,9593,2453,43,1114,0,0,1,1,0,,domain-fail,domain3,redundant,8.949672,0.000000,21600000000,21608949672,21608949672,21608949672,0,1,0.202370,/d1/streetlight/sl_000101,domain3
73,sanr-tag,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain1,/d1/streetlight/sl_000101,/domain3=0.6232;/domain2=0.6115;/domain4=0.5967;/domain5=0.5795,0,0,0.178853,21800.000000,21808.664712,21808.664712,21808.664712,8.664712,-1,0,0,16,1,9600,2296,43,1114,0,0,1,1,0,,domain-fail,domain3,redundant,8.664712,0.000000,21800000000,21808664712,21808664712,21808664712,0,1,0.178853,/d1/streetlight/sl_000101,domain7
75,sanr-tag,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain1,/d1/streetlight/sl_000101,/domain2=0.7194;/domain7=0.7007;/domain4=0.6755;/domain5=0.6528,0,0,0.290361,22000.000000,22008.810432,22008.810432,22008.810432,8.810432,-1,0,0,16,1,9600,2576,40,1111,0,0,1,1,0,,domain-fail,domain3,redundant,8.810432,0.000000,22000000000,22008810432,22008810432,22008810432,0,1,0.290361,/d1/streetlight/sl_000101,domain3
