qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,central,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/d1/streetlight/sl_000101,,1,1,1.000000,20500.000000,20505.353744,20505.353744,20510.033064,10.033064,-1,-1,-1,2,2,140,306,36,1107,0,0,1,1,0,,none,,rocketfuel,5.353744,4.679320,20500000000,20505353744,20505353744,20510033064,0,0,0.000000,,
24,central,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain3,/d3/parking/p_000078,,1,1,1.000000,21000.000000,21006.118392,21006.118392,21011.098696,11.098696,-1,-1,-1,2,2,126,276,35,1106,0,0,1,1,0,,none,,rocketfuel,6.118392,4.980304,21000000000,21006118392,21006118392,21011098696,0,0,0.000000,,
38,central,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/d0/parking/p_000004,,1,1,1.000000,21500.000000,21505.715328,21505.715328,21510.357632,10.357632,-1,-1,-1,2,2,118,276,35,1106,0,0,1,1,0,,none,,rocketfuel,5.715328,4.642304,21500000000,21505715328,21505715328,21510357632,0,0,0.000000,,
39,central,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/d2/parking/p_000022,,1,1,1.000000,22000.000000,22005.607376,22005.607376,22010.504680,10.504680,-1,-1,-1,2,2,124,276,35,1106,0,0,1,1,0,,none,,rocketfuel,5.607376,4.897304,22000000000,22005607376,22005607376,22010504680,0,0,0.000000,,
47,central,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/d7/pollution/pol_000093,,1,1,1.000000,22500.000000,22505.722720,22505.722720,22509.732056,9.732056,-1,-1,-1,2,2,137,306,37,1108,0,0,1,1,0,,none,,rocketfuel,5.722720,4.009336,22500000000,22505722720,22505722720,22509732056,0,0,0.000000,,
53,central,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain4,/d4/pollution/pol_000065,,1,1,1.000000,23000.000000,23005.469712,23005.469712,23009.800048,9.800048,-1,-1,-1,2,2,136,306,37,1108,0,0,1,1,0,,none,,rocketfuel,5.469712,4.330336,23000000000,23005469712,23005469712,23009800048,0,0,0.000000,,
64,central,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/d6/parking/p_000032,,1,1,1.000000,23500.000000,23505.714416,23505.714416,23510.146720,10.146720,-1,-1,-1,2,2,129,276,35,1106,0,0,1,1,0,,none,,rocketfuel,5.714416,4.432304,23500000000,23505714416,23505714416,23510146720,0,0,0.000000,,
72,central,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain3,/d3/parking/p_000309,,1,1,1.000000,24000.000000,24005.335248,24005.335248,24009.344552,9.344552,-1,-1,-1,2,2,108,276,35,1106,0,0,1,1,0,,none,,rocketfuel,5.335248,4.009304,24000000000,24005335248,24005335248,24009344552,0,0,0.000000,,
73,central,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/d7/traffic/traf_000100,,1,1,1.000000,24500.000000,24505.993608,24505.993608,24510.002960,10.002960,-1,-1,-1,2,2,123,306,38,1109,0,0,1,1,0,,none,,rocketfuel,5.993608,4.009352,24500000000,24505993608,24505993608,24510002960,0,0,0.000000,,
75,central,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain3,/d3/parking/p_000001,,1,1,1.000000,25000.000000,25005.674352,25005.674352,25009.683656,9.683656,-1,-1,-1,2,2,121,276,35,1106,0,0,1,1,0,,none,,rocketfuel,5.674352,4.009304,25000000000,25005674352,25005674352,25009683656,0,0,0.000000,,
82,central,What parking readings are reported in Westside Heights?,1,p_000058;p_000082;p_000136;p_000244;p_000286;p_000298;p_000316;p_000322;p_000328;p_000352;p_000376;p_000484;p_000508;p_000538;p_000544,/domain1,/d1/parking/p_000058,,1,1,1.000000,25500.000000,25506.666376,25506.666376,25510.727680,10.727680,-1,-1,-1,2,2,124,276,35,1106,0,0,1,1,0,,none,,rocketfuel,6.666376,4.061304,25500000000,25506666376,25506666376,25510727680,0,0,0.000000,,
89,central,Show streetlight status for the Lakeside District Transit Hub zone,5,sl_000251;sl_000259;sl_000275;sl_000291;sl_000323;sl_000395;sl_000411;sl_000427;sl_000451;sl_000523;sl_000547,/domain5,/d5/streetlight/sl_000251,,1,1,1.000000,26000.000000,26005.240704,26005.240704,26009.551024,9.551024,-1,-1,-1,2,2,135,306,36,1107,0,0,1,1,0,,none,,rocketfuel,5.240704,4.310320,26000000000,26005240704,26005240704,26009551024,0,0,0.000000,,
96,central,Search for traffic devices in Westside Heights Commercial Strip,1,traf_000176;traf_000470;traf_000476,/domain1,/d1/traffic/traf_000176,,1,1,1.000000,26500.000000,26505.730992,26505.730992,26509.740344,9.740344,-1,-1,-1,2,2,132,224,38,1109,0,0,1,1,0,,none,,rocketfuel,5.730992,4.009352,26500000000,26505730992,26505730992,26509740344,0,0,0.000000,,
104,central,Locate every traffic unit across Greenfield Park,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/d7/traffic/traf_000100,,1,1,1.000000,27000.000000,27005.004560,27005.004560,27005.004560,5.004560,-1,-1,-1,2,2,117,306,38,1109,0,0,1,1,0,,none,,rocketfuel,5.004560,0.000000,27000000000,27005004560,27005004560,27005004560,0,0,0.000000,,
105,central,Locate every traffic unit across Westside Heights,1,traf_000027;traf_000039;traf_000099;traf_000105;traf_000111;traf_000135;traf_000201;traf_000237;traf_000291;traf_000351;traf_000357;traf_000363;traf_000429;traf_000465;traf_000501;traf_000513;traf_000549;traf_000591;traf_000597,/domain1,/d1/traffic/traf_000027,,1,1,1.000000,27500.000000,27506.403568,27506.403568,27510.412920,10.412920,-1,-1,-1,2,2,118,306,38,1109,0,0,1,1,0,,none,,rocketfuel,6.403568,4.009352,27500000000,27506403568,27506403568,27510412920,0,0,0.000000,,
107,central,Show traffic status for the Eastshore Quarter Industrial Zone zone,2,traf_000016;traf_000034;traf_000040;traf_000046;traf_000052;traf_000166;traf_000226;traf_000298,/domain2,/d2/traffic/traf_000016,,1,1,1.000000,28000.000000,28006.391704,28006.391704,28010.801056,10.801056,-1,-1,-1,2,2,135,306,38,1109,0,0,1,1,0,,none,,rocketfuel,6.391704,4.409352,28000000000,28006391704,28006391704,28010801056,0,0,0.000000,,
108,central,Locate every pollution unit across Midtown Center,4,pol_000011;pol_000035;pol_000065;pol_000221;pol_000365;pol_000383;pol_000395;pol_000521,/domain4,/d4/pollution/pol_000011,,1,1,1.000000,28500.000000,28505.638568,28505.638568,28510.088904,10.088904,-1,-1,-1,2,2,118,306,37,1108,0,0,1,1,0,,none,,rocketfuel,5.638568,4.450336,28500000000,28505638568,28505638568,28510088904,0,0,0.000000,,
