qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,flood,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain7,/domain7/data/doc/sl_000487,/domain7=0.7333;/domain5=0.6381,0,0,0.733269,20500.000000,20525.505512,20525.505512,20546.515272,46.515272,-1,4,-1,4,1,2412,600,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.505512,21.009760,20500000000,20525505512,20525505512,20546515272,0,0,0.000000,,
24,flood,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain3,/domain3/data/doc/p_000424,/domain3=0.7773;/domain1=0.6668;/domain0=0.6472;/domain2=0.6310,0,1,0.631044,21000.000000,21028.090798,21028.090798,21048.473488,48.473488,-1,5,-1,4,1,2412,672,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,28.090798,20.382690,21000000000,21028090798,21028090798,21048473488,0,0,0.000000,,
38,flood,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/domain0/data/doc/p_000204,/domain0=0.7125;/domain6=0.6171,0,1,0.617104,21500.000000,21525.451165,21525.451165,21548.824669,48.824669,-1,8,-1,4,1,2412,598,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.451165,23.373504,21500000000,21525451165,21525451165,21548824669,0,0,0.000000,,
39,flood,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/domain2/data/doc/p_000181,/domain2=0.7766;/domain1=0.6506;/domain7=0.6166;/domain0=0.6085,0,1,0.776563,22000.000000,22027.622290,22027.622290,22055.703918,55.703918,-1,6,-1,4,1,2412,672,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.622290,28.081628,22000000000,22027622290,22027622290,22055703918,0,0,0.000000,,
47,flood,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000038,/domain7=0.8328;/domain1=0.6982;/domain0=0.6405;/domain2=0.6123,0,1,0.612300,22500.000000,22527.622302,22527.622302,22548.759062,48.759062,-1,4,-1,4,1,2412,680,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.622302,21.136760,22500000000,22527622302,22527622302,22548759062,0,0,0.000000,,
53,flood,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain0,/domain0/data/doc/pol_000071,/domain0=0.6659;/domain6=0.6376,0,0,0.637571,23000.000000,23026.280667,23026.280667,23049.292187,49.292187,-1,8,-1,4,1,2412,602,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.280667,23.011520,23000000000,23026280667,23026280667,23049292187,0,0,0.000000,,
64,flood,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain2,/domain2/data/doc/p_000472,/domain2=0.7025;/domain1=0.6461;/domain3=0.6112;/domain0=0.6048,0,0,0.702463,23500.000000,23527.935798,23527.935798,23555.748426,55.748426,-1,6,-1,4,1,2412,672,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.935798,27.812628,23500000000,23527935798,23527935798,23555748426,0,0,0.000000,,
72,flood,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/domain1/data/doc/traf_000135,/domain1=0.6513;/domain3=0.6425,0,0,0.642519,24000.000000,24027.621624,24027.621624,24047.894334,47.894334,-1,5,-1,4,1,2412,604,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621624,20.272710,24000000000,24027621624,24027621624,24047894334,0,0,0.000000,,
73,flood,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain1,/domain1/data/doc/traf_000465,/domain1=0.6386;/domain3=0.6232;/domain2=0.6115,0,0,0.611480,24500.000000,24528.126816,24528.126816,24549.058526,49.058526,-1,5,-1,4,1,2412,644,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,28.126816,20.931710,24500000000,24528126816,24528126816,24549058526,0,0,0.000000,,
75,flood,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain6,/domain6/data/doc/p_000356,/domain6=0.7442;/domain3=0.7340;/domain4=0.6755;/domain5=0.6528,0,0,0.744203,25000.000000,25025.753149,25025.753149,25051.205839,51.205839,-1,5,-1,4,1,2412,672,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.753149,25.452690,25000000000,25025753149,25025753149,25051205839,0,0,0.000000,,
