qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.90381(0.70149);/domain7=2.1253(0.518064);/domain3=1.91613(0.566817);/domain5=1.87839(0.463184);/domain4=1.7241(0.502084),1,1,0.748806,20100.000000,20120.271170,20121.531536,20141.804241,41.804241,-1,5,-1,5,1,3015,169,43,1112,0,0,1,1,0,,none,,rocketfuel,20.271170,20.272705,20100000000,20120271170,20121531536,20141804241,0,0,0.000000,,
24,iroute,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain3,/domain3/data/doc/p_000424,/domain3=2.99377(0.8409);/domain1=2.91457(0.700749);/domain6=2.55235(0.651925);/domain7=2.52883(0.603415);/domain4=2.29276(0.649986),0,1,0.777258,20200.000000,20220.413165,20225.452149,20245.834844,45.834844,-1,5,-1,5,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,20.413165,20.382695,20200000000,20220413165,20225452149,20245834844,0,0,0.000000,,
38,iroute,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/domain0/data/doc/p_000204,/domain0=2.39988(0.675891);/domain6=2.20868(0.573719);/domain1=2.16143(0.537208);/domain7=2(0.488582);/domain2=1.8803(0.573602),0,1,0.712485,20300.000000,20323.009064,20327.622290,20350.633802,50.633802,-1,8,-1,5,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,23.009064,23.011512,20300000000,20323009064,20327622290,20350633802,0,0,0.000000,,
39,iroute,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/domain2/data/doc/p_000181,/domain2=2.63618(0.765849);/domain1=2.55451(0.622562);/domain5=2.50805(0.601542);/domain7=2.46008(0.588487);/domain6=2.39198(0.61543),0,1,0.776563,20400.000000,20428.588798,20428.588798,20456.212432,56.212432,-1,6,-1,5,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,28.588798,27.623634,20400000000,20428588798,20428588798,20456212432,0,0,0.000000,,
47,iroute,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000038,/domain7=2.95627(0.71611);/domain1=2.7899(0.675152);/domain5=2.48025(0.592865);/domain3=2.16266(0.639378);/domain0=2.13879(0.587882),0,1,0.832777,20500.000000,20521.954540,20523.009080,20544.018848,44.018848,-1,4,-1,5,1,3015,170,44,1113,0,0,1,1,0,,none,,rocketfuel,21.954540,21.009768,20500000000,20521954540,20523009080,20544018848,0,0,0.000000,,
53,iroute,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain4,/domain4/data/doc/pol_000221,/domain4=2.67678(0.723904);/domain1=2.47021(0.60558);/domain6=2.05635(0.569588);/domain7=2.04972(0.513636);/domain3=1.94333(0.582721),1,1,0.764916,20600.000000,20619.864540,20625.451667,20645.317435,45.317435,-1,4,-1,5,1,3015,170,44,1113,0,0,1,1,0,,none,,rocketfuel,19.864540,19.865768,20600000000,20619864540,20625451667,20645317435,0,0,0.000000,,
64,iroute,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/domain6/data/doc/p_000005,/domain6=2.97815(0.74882);/domain7=2.46751(0.590099);/domain1=2.38861(0.586539);/domain4=2.32428(0.658044);/domain3=2.13151(0.621597),0,1,0.769151,20700.000000,20726.376165,20726.376165,20751.828860,51.828860,-1,5,-1,5,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,26.376165,25.452695,20700000000,20726376165,20726376165,20751828860,0,0,0.000000,,
72,iroute,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/domain1/data/doc/traf_000135,/domain1=2.53495(0.606958);/domain3=2.42202(0.670631);/domain7=2.39491(0.584926);/domain6=1.915(0.515925);/domain4=1.8437(0.527342),0,0,0.651275,20800.000000,20820.271180,20825.452159,20845.724879,45.724879,-1,5,-1,5,1,3015,171,45,1114,0,0,1,1,0,,none,,rocketfuel,20.271180,20.272720,20800000000,20820271180,20825452159,20845724879,0,0,0.000000,,
73,iroute,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/domain7/data/doc/traf_000548,/domain7=3.33211(0.792189);/domain1=2.76511(0.656018);/domain3=2.46846(0.682019);/domain6=2.44822(0.639427);/domain0=2.33456(0.654522),0,1,0.749900,20900.000000,20921.008544,20925.452164,20946.461940,46.461940,-1,4,-1,5,1,3015,171,45,1114,0,0,1,1,0,,none,,rocketfuel,21.008544,21.009776,20900000000,20921008544,20925452164,20946461940,0,0,0.000000,,
75,iroute,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain1,/domain1/data/doc/p_000144,/domain1=2.67026(0.647699);/domain3=2.56637(0.732198);/domain5=2.53006(0.606342);/domain7=2.45382(0.587127);/domain6=2.3734(0.611202),0,0,0.763584,21000.000000,21021.112165,21025.452641,21045.725336,45.725336,-1,5,-1,5,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,21.112165,20.272695,21000000000,21021112165,21025452641,21045725336,0,0,0.000000,,
82,iroute,What parking readings are reported in Westside Heights?,1,p_000058;p_000082;p_000136;p_000244;p_000286;p_000298;p_000316;p_000322;p_000328;p_000352;p_000376;p_000484;p_000508;p_000538;p_000544,/domain1,/domain1/data/doc/p_000440,/domain1=2.95412(0.709339);/domain7=2.24537(0.551854);/domain3=2.1608(0.629046);/domain6=1.96977(0.519352);/domain4=1.88889(0.546747),0,1,0.751275,21100.000000,21120.413165,21125.452149,21145.724844,45.724844,-1,5,-1,5,1,3015,168,42,1111,0,0,1,1,0,,none,,rocketfuel,20.413165,20.272695,21100000000,21120413165,21125452149,21145724844,0,0,0.000000,,
89,iroute,Show streetlight status for the Lakeside District Transit Hub zone,5,sl_000251;sl_000259;sl_000275;sl_000291;sl_000323;sl_000395;sl_000411;sl_000427;sl_000451;sl_000523;sl_000547,/domain5,/domain5/data/doc/sl_000381,/domain5=2.64382(0.629759);/domain1=1.7819(0.456798);/domain7=1.58254(0.399684);/domain2=1.49039(0.474434);/domain4=1.46842(0.437055),0,1,0.684382,21200.000000,21220.435536,21227.622296,21247.960060,47.960060,-1,4,-1,5,1,3015,169,43,1112,0,0,1,1,0,,none,,rocketfuel,20.435536,20.337764,21200000000,21220435536,21227622296,21247960060,0,0,0.000000,,
96,iroute,Search for traffic devices in Westside Heights Commercial Strip,1,traf_000176;traf_000470;traf_000476,/domain1,/domain1/data/doc/traf_000121,/domain1=3.22414(0.753865);/domain7=2.62943(0.63679);/domain4=2.42981(0.674965);/domain0=2.29623(0.645671);/domain6=2.23242(0.589445),0,1,0.762810,21300.000000,21320.271180,21325.451672,21345.724392,45.724392,-1,5,-1,5,1,3015,171,45,1114,0,0,1,1,0,,none,,rocketfuel,20.271180,20.272720,21300000000,21320271180,21325451672,21345724392,0,0,0.000000,,
104,iroute,Locate every traffic unit across Greenfield Park,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/domain7/data/doc/traf_000182,/domain7=3.56627(0.843974);/domain1=2.94521(0.694407);/domain6=2.73932(0.70685);/domain4=2.48009(0.68763);/domain0=2.4027(0.670256),0,1,0.800433,21400.000000,21421.008544,21425.504672,21446.514448,46.514448,-1,4,-1,5,1,3015,171,45,1114,0,0,1,1,0,,none,,rocketfuel,21.008544,21.009776,21400000000,21421008544,21425504672,21446514448,0,0,0.000000,,
