run_id,scheme,seed,frequency,sim_time,topology,mean_hops,unique_hops_values,p50_ms,p95_ms,domain_acc,ctrl_bytes_per_sec,result_dir
central_freq1_s42,central,42,1,115,rocketfuel,0.000000,0,10.003000,11.098700,1.000000,406.630000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/central_freq1_s42
central_freq2_s42,central,42,2,65,rocketfuel,0.000000,0,10.003000,11.098700,1.000000,829.710000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/central_freq2_s42
central_freq5_s42,central,42,5,35,rocketfuel,0.000000,0,10.033100,11.150500,1.000000,2066.000000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/central_freq5_s42
central_freq10_s42,central,42,10,30,rocketfuel,0.000000,0,10.003000,11.098700,1.000000,3986.600000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/central_freq10_s42
iroute_freq1_s42,iroute,42,1,115,rocketfuel,5.000000,4,46.461900,55.332500,0.761400,3106.820000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/iroute_freq1_s42
iroute_freq2_s42,iroute,42,2,65,rocketfuel,5.010000,4,46.461900,53.948500,0.761400,6205.020000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/iroute_freq2_s42
iroute_freq5_s42,iroute,42,5,35,rocketfuel,4.990000,4,46.461900,55.332500,0.756800,15590.600000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/iroute_freq5_s42
iroute_freq10_s42,iroute,42,10,30,rocketfuel,5.030000,4,46.461900,55.332500,0.761400,31107.000000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/iroute_freq10_s42
tag_freq1_s42,tag,42,1,115,rocketfuel,5.020000,3,46.175400,51.018800,0.579500,12091.550000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/tag_freq1_s42
tag_freq2_s42,tag,42,2,65,rocketfuel,5.020000,3,45.973800,51.214800,0.579500,24139.160000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/tag_freq2_s42
tag_freq5_s42,tag,42,5,35,rocketfuel,5.030000,3,45.789900,51.131800,0.527000,59950.200000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/tag_freq5_s42
tag_freq10_s42,tag,42,10,30,rocketfuel,5.050000,3,45.836800,51.019400,0.534100,119892.700000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/tag_freq10_s42
sanr-tag_freq1_s42,sanr-tag,42,1,115,rocketfuel,0.050000,2,25.452100,26.246100,0.306800,12091.550000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/sanr-tag_freq1_s42
sanr-tag_freq2_s42,sanr-tag,42,2,65,rocketfuel,0.060000,2,25.452100,26.234600,0.284100,24139.160000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/sanr-tag_freq2_s42
sanr-tag_freq5_s42,sanr-tag,42,5,35,rocketfuel,0.070000,2,25.451600,26.213600,0.202700,59950.200000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/sanr-tag_freq5_s42
sanr-tag_freq10_s42,sanr-tag,42,10,30,rocketfuel,0.050000,2,25.451600,26.234600,0.215900,119892.700000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/sanr-tag_freq10_s42
flood_freq1_s42,flood,42,1,115,rocketfuel,5.030000,4,47.917600,55.748400,0.477300,3011.560000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/flood_freq1_s42
flood_freq2_s42,flood,42,2,65,rocketfuel,4.980000,4,47.894500,55.245400,0.477300,6022.180000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/flood_freq2_s42
flood_freq5_s42,flood,42,5,35,rocketfuel,5.010000,4,48.382500,55.567500,0.473000,15029.130000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/flood_freq5_s42
flood_freq10_s42,flood,42,10,30,rocketfuel,5.020000,4,47.894500,55.748400,0.477300,30108.200000,/Users/jiyuan/OrbStack/ndn-dev/home/jiyuan/ndnSIM/ns-3/results/sanr_baseline/load/flood_freq10_s42
