qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,sanr-tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=0.7488;/domain0=0.6305,1,1,0.630509,20100.000000,20123.976401,20123.976401,20144.249101,44.249101,-1,5,-1,16,1,9584,1932,41,1112,0,0,1,1,0,,none,,rocketfuel,23.976401,20.272700,20100000000,20123976401,20123976401,20144249101,0,0,0.000000,,domain1
24,sanr-tag,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain1,/d1/streetlight/sl_000101,/domain1=0.6668;/domain0=0.6472;/domain7=0.6296,0,0,0.403404,20200.000000,20223.845948,20223.845948,20223.845948,23.845948,-1,0,0,16,1,9600,2254,40,1111,0,0,1,1,0,,none,,rocketfuel,23.845948,0.000000,20200000000,20223845948,20223845948,20223845948,0,1,0.403404,/d1/streetlight/sl_000101,domain3
38,sanr-tag,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain1,/d1/streetlight/sl_000101,/domain0=0.7125;/domain1=0.5500;/domain7=0.5416,0,0,0.312236,20300.000000,20323.908438,20323.908438,20323.908438,23.908438,-1,0,0,16,1,9600,2093,40,1111,0,0,1,1,0,,none,,rocketfuel,23.908438,0.000000,20300000000,20323908438,20323908438,20323908438,0,1,0.312236,/d1/streetlight/sl_000101,domain0
39,sanr-tag,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain1,/d1/streetlight/sl_000101,/domain1=0.6506;/domain7=0.6166;/domain0=0.6085,0,0,0.303994,20400.000000,20423.954924,20423.954924,20423.954924,23.954924,-1,0,0,16,1,9595,2250,40,1111,0,0,1,1,0,,none,,rocketfuel,23.954924,0.000000,20400000000,20423954924,20423954924,20423954924,0,1,0.303994,/d1/streetlight/sl_000101,domain2
47,sanr-tag,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain1,/d1/streetlight/sl_000101,/domain7=0.8328;/domain1=0.6982;/domain0=0.6405,0,0,0.197503,20500.000000,20523.809000,20523.809000,20523.809000,23.809000,-1,0,0,16,1,9599,2281,42,1113,0,0,1,1,0,,none,,rocketfuel,23.809000,0.000000,20500000000,20523809000,20523809000,20523809000,0,1,0.197503,/d1/streetlight/sl_000101,domain7
53,sanr-tag,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain1,/d1/streetlight/sl_000101,/domain1=0.6899;/domain0=0.6659;/domain7=0.5818,0,0,0.254512,20600.000000,20624.009995,20624.009995,20624.009995,24.009995,-1,0,0,16,1,9599,2281,42,1113,0,0,1,1,0,,none,,rocketfuel,24.009995,0.000000,20600000000,20624009995,20624009995,20624009995,0,1,0.254512,/d1/streetlight/sl_000101,domain4
64,sanr-tag,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain1,/d1/streetlight/sl_000101,/domain7=0.6597;/domain1=0.6461;/domain0=0.6048,0,0,0.304438,20700.000000,20723.934988,20723.934988,20723.934988,23.934988,-1,0,0,16,1,9600,2093,40,1111,0,0,1,1,0,,none,,rocketfuel,23.934988,0.000000,20700000000,20723934988,20723934988,20723934988,0,1,0.304438,/d1/streetlight/sl_000101,domain6
72,sanr-tag,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/d1/streetlight/sl_000101,/domain1=0.6513;/domain7=0.6099;/domain0=0.5571,0,0,0.202370,20800.000000,20823.461514,20823.461514,20823.461514,23.461514,-1,0,0,16,1,9593,2291,43,1114,0,0,1,1,0,,none,,rocketfuel,23.461514,0.000000,20800000000,20823461514,20823461514,20823461514,0,1,0.202370,/d1/streetlight/sl_000101,domain3
73,sanr-tag,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain1,/d1/streetlight/sl_000101,/domain7=0.7499;/domain0=0.6753;/domain1=0.6386;/domain4=0.5967,0,0,0.178853,20900.000000,20923.982944,20923.982944,20923.982944,23.982944,-1,0,0,16,1,9600,2132,43,1114,0,0,1,1,0,,none,,rocketfuel,23.982944,0.000000,20900000000,20923982944,20923982944,20923982944,0,1,0.178853,/d1/streetlight/sl_000101,domain7
75,sanr-tag,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain1,/d1/streetlight/sl_000101,/domain1=0.7636;/domain7=0.7007;/domain0=0.6961,0,0,0.290361,21000.000000,21023.921458,21023.921458,21023.921458,23.921458,-1,0,0,16,1,9600,2254,40,1111,0,0,1,1,0,,none,,rocketfuel,23.921458,0.000000,21000000000,21023921458,21023921458,21023921458,0,1,0.290361,/d1/streetlight/sl_000101,domain3
