time_slot,nodeId,clusterId,count,selected
4,0,domain3,2,1
4,0,domain7,2,1
4,0,domain0,1,0
4,0,domain1,1,0
4,0,domain2,1,0
4,0,domain4,1,0
4,0,domain6,1,0
5,0,domain1,3,1
5,0,domain0,2,1
5,0,domain2,1,0
5,0,domain3,1,0
5,0,domain4,1,0
5,0,domain5,1,0
5,0,domain7,1,0
6,0,domain6,3,1
6,0,domain3,2,1
6,0,domain0,1,0
6,0,domain1,1,0
6,0,domain2,1,0
6,0,domain4,1,0
6,0,domain7,1,0
7,0,domain1,3,1
7,0,domain3,3,0
7,0,domain5,2,0
7,0,domain2,1,0
7,0,domain6,1,0
8,0,domain5,3,1
8,0,domain1,2,0
8,0,domain3,2,0
8,0,domain6,2,0
8,0,domain2,1,0
9,0,domain0,2,1
9,0,domain1,2,1
9,0,domain3,2,0
9,0,domain2,1,0
9,0,domain5,1,0
9,0,domain6,1,0
9,0,domain7,1,0
10,0,domain6,3,1
10,0,domain2,2,1
10,0,domain3,2,0
10,0,domain0,1,0
10,0,domain1,1,0
10,0,domain5,1,0
11,0,domain5,4,1
11,0,domain0,1,1
11,0,domain1,1,0
11,0,domain2,1,0
11,0,domain3,1,0
11,0,domain4,1,0
11,0,domain6,1,0
12,0,domain6,3,1
12,0,domain1,2,1
12,0,domain0,1,0
12,0,domain2,1,0
12,0,domain4,1,0
12,0,domain5,1,0
12,0,domain7,1,0
