qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=0.7488;/domain0=0.6305;/domain4=0.5898,1,1,0.630509,21000.000000,21023.976401,21023.976401,21044.249101,44.249101,-1,5,-1,16,1,9584,2093,41,1112,0,0,1,1,0,,none,,rocketfuel,23.976401,20.272700,21000000000,21023976401,21023976401,21044249101,0,0,0.000000,,
24,tag,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain1,/domain1/data/doc/p_000392,/domain1=0.6668;/domain0=0.6472;/domain7=0.6296,0,0,0.647228,22000.000000,22023.845948,22023.845948,22044.118638,44.118638,-1,5,-1,16,1,9600,2254,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.845948,20.272690,22000000000,22023845948,22023845948,22044118638,0,0,0.000000,,
38,tag,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/domain0/data/doc/p_000204,/domain0=0.7125;/domain6=0.6171;/domain1=0.5500;/domain7=0.5416;/domain5=0.5410,0,1,0.617104,23000.000000,23025.452110,23025.452110,23049.134614,49.134614,-1,8,-1,16,1,9600,2576,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.452110,23.682504,23000000000,23025452110,23025452110,23049134614,0,0,0.000000,,
39,tag,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain1,/domain1/data/doc/p_000144,/domain1=0.6506;/domain6=0.6370;/domain7=0.6166;/domain5=0.6146;/domain0=0.6085,0,0,0.637018,24000.000000,24025.452109,24025.452109,24045.988799,45.988799,-1,5,-1,16,1,9595,2571,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.452109,20.536690,24000000000,24025452109,24025452109,24045988799,0,0,0.000000,,
47,tag,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000038,/domain7=0.8328;/domain6=0.7143;/domain1=0.6982;/domain0=0.6405;/domain5=0.6260,0,1,0.714297,25000.000000,25025.565625,25025.565625,25046.575385,46.575385,-1,4,-1,16,1,9599,2607,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.565625,21.009760,25000000000,25025565625,25025565625,25046575385,0,0,0.000000,,
53,tag,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain1,/domain1/data/doc/pol_000191,/domain1=0.6899;/domain0=0.6659;/domain6=0.6376;/domain7=0.5818;/domain5=0.5569,0,0,0.637571,26000.000000,26026.251625,26026.251625,26046.524325,46.524325,-1,5,-1,16,1,9599,2607,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.251625,20.272700,26000000000,26026251625,26026251625,26046524325,0,0,0.000000,,
64,tag,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/domain6/data/doc/p_000005,/domain6=0.7692;/domain7=0.6597;/domain1=0.6461;/domain5=0.6303;/domain0=0.6048,0,1,0.769151,27000.000000,27025.451130,27025.451130,27050.903820,50.903820,-1,5,-1,16,1,9600,2576,40,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.451130,25.452690,27000000000,27025451130,27025451130,27050903820,0,0,0.000000,,
72,tag,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,/domain1,/domain1/data/doc/traf_000135,/domain1=0.6513;/domain7=0.6099;/domain0=0.5571;/domain5=0.4942,0,0,0.557064,28000.000000,28023.461514,28023.461514,28043.734224,43.734224,-1,5,-1,16,1,9593,2617,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.461514,20.272710,28000000000,28023461514,28023461514,28043734224,0,0,0.000000,,
73,tag,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,/domain7,/domain7/data/doc/traf_000548,/domain7=0.7499;/domain6=0.6755;/domain0=0.6753;/domain1=0.6386;/domain4=0.5967;/domain5=0.5795,0,1,0.675467,29000.000000,29025.650120,29025.650120,29046.794888,46.794888,-1,4,-1,16,1,9600,2624,43,1114,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.650120,21.144768,29000000000,29025650120,29025650120,29046794888,0,0,0.000000,,
75,tag,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,/domain1,/domain1/data/doc/p_000144,/domain1=0.7636;/domain7=0.7007;/domain0=0.6961;/domain5=0.6528,0,0,0.696068,30000.000000,30023.921458,30023.921458,30023.921458,23.921458,-1,5,-1,16,1,9600,2576,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.921458,0.000000,30000000000,30023921458,30023921458,30023921458,0,0,0.000000,,
