qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
4,flood,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain7,/domain7/data/doc/sl_000487,/domain7=0.7333;/domain5=0.6381,0,0,0.733269,20200.000000,20225.505512,20225.505512,20246.515272,46.515272,-1,4,-1,4,1,2412,600,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.505512,21.009760,20200000000,20225505512,20225505512,20246515272,0,0,0.000000,,
24,flood,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,,,,0,0,0.000000,20400.000000,0.000000,0.000000,0.000000,28.927624,-1,-1,-1,4,0,2414,526,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,20400000000,0,0,0,0,0,0.000000,,
38,flood,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain6,/domain6/data/doc/p_000347,/domain6=0.6171,0,0,0.617104,20600.000000,20629.532116,20629.532116,20654.984806,54.984806,-1,5,-1,4,1,2412,561,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,29.532116,25.452690,20600000000,20629532116,20629532116,20654984806,0,0,0.000000,,
39,flood,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain7,/domain7/data/doc/p_000060,/domain7=0.6166,0,0,0.616561,20800.000000,20828.859116,20828.859116,20849.995868,49.995868,-1,4,-1,4,1,2413,562,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,28.859116,21.136752,20800000000,20828859116,20828859116,20849995868,0,0,0.000000,,
47,flood,Give me pollution information near Greenfield Park University Campus,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain1,/domain1/data/doc/pol_000190,/domain1=0.6982;/domain0=0.6405;/domain2=0.6123,0,0,0.612300,21000.000000,21028.091303,21028.091303,21048.364003,48.364003,-1,5,-1,4,1,2413,642,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,28.091303,20.272700,21000000000,21028091303,21028091303,21048364003,0,0,0.000000,,
53,flood,Show pollution status for the Midtown Center Residential Block zone,4,pol_000065;pol_000097;pol_000221;pol_000265;pol_000301;pol_000365;pol_000385;pol_000429;pol_000493;pol_000501;pol_000521;pol_000525;pol_000561,/domain6,/domain6/data/doc/pol_000346,/domain6=0.6376,0,0,0.637571,21200.000000,21228.736116,21228.736116,21254.220816,54.220816,-1,5,-1,4,1,2412,563,42,1113,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,28.736116,25.484700,21200000000,21228736116,21228736116,21254220816,0,0,0.000000,,
64,flood,Show parking status for the Old Town Core Financial Row zone,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain2,/domain2/data/doc/p_000472,/domain2=0.7025;/domain1=0.6461;/domain3=0.6112;/domain0=0.6048,0,0,0.702463,21400.000000,21427.621798,21427.621798,21455.703426,55.703426,-1,6,-1,4,1,2412,672,40,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621798,28.081628,21400000000,21427621798,21427621798,21455703426,0,0,0.000000,,
72,flood,Find all parking sensors in South Hills,3,p_000309;p_000333;p_000339;p_000345;p_000369;p_000453;p_000507;p_000579,,,,0,0,0.000000,21600.000000,0.000000,0.000000,0.000000,29.183624,-1,-1,-1,4,0,2414,526,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,21600000000,0,0,0,0,0,0.000000,,
73,flood,What traffic readings are reported in Greenfield Park?,7,traf_000100;traf_000154;traf_000184;traf_000196;traf_000220;traf_000250;traf_000268;traf_000280;traf_000286;traf_000316;traf_000496;traf_000520;traf_000598,,,,0,0,0.000000,21800.000000,0.000000,0.000000,0.000000,23.140025,-1,-1,-1,4,0,2415,527,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,21800000000,0,0,0,0,0,0.000000,,
75,flood,Search for parking devices in South Hills Waterfront,3,p_000001;p_000013;p_000205;p_000247;p_000367;p_000373;p_000517;p_000577,,,,0,0,0.000000,22000.000000,0.000000,0.000000,0.000000,27.130728,-1,-1,-1,4,0,2416,528,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,22000000000,0,0,0,0,0,0.000000,,
