query_id,query_text,vector,target_docids,target_domains
q0000,Search for pollution devices in Westside Heights Transit Hub,"[0.008312,0.102086,-0.009247,0.088266,0.080793,0.053936,0.020438,-0.021450,-0.140409,-0.094092,0.050667,0.309167,0.055323,0.100893,-0.011488,-0.087394,0.052874,0.115083,0.054597,0.008528,-0.074102,-0.089189,-0.105123,-0.151157,-0.025560,-0.082069,0.030112,0.058137,-0.021575,0.006730,0.135341,0.035410,0.044917,0.100333,0.085464,0.022156,0.037374,-0.077443,-0.036056,-0.201599,0.035458,0.064879,0.084326,0.031531,0.069012,0.034960,-0.070804,-0.071656,0.077226,0.143543,-0.011615,-0.154273,-0.022645,0.031165,-0.081460,0.028801,0.050349,-0.145951,0.123604,-0.000939,0.002188,0.094900,-0.019786,0.049552,-0.128017,0.043743,-0.169336,0.027241,0.153226,0.042829,-0.184281,0.073182,-0.042859,-0.009411,0.047415,0.015590,-0.123278,-0.012693,0.069305,-0.024162,0.078145,0.125264,0.019572,-0.120626,0.018514,0.046165,0.089515,-0.105453,0.095773,0.102538,-0.011627,0.083857,-0.119564,-0.004236,0.020190,0.038401,0.044445,-0.000280,0.107338,0.077589,-0.074543,-0.034553,-0.215782,-0.032887,0.015735,0.190463,-0.001596,0.023154,-0.115287,0.204123,-0.125679,0.155593,0.048462,0.024500,0.036562,-0.015548,-0.059740,-0.080309,-0.087809,-0.100520,0.029396,0.087369,0.027480,0.067166,0.075325,-0.008200,-0.129418,0.051002]",pol_000279;pol_000303;pol_000585,1
q0000,Search for pollution devices in Westside Heights Transit Hub,"[0.008312,0.102086,-0.009247,0.088266,0.080793,0.053936,0.020438,-0.021450,-0.140409,-0.094092,0.050667,0.309167,0.055323,0.100893,-0.011488,-0.087394,0.052874,0.115083,0.054597,0.008528,-0.074102,-0.089189,-0.105123,-0.151157,-0.025560,-0.082069,0.030112,0.058137,-0.021575,0.006730,0.135341,0.035410,0.044917,0.100333,0.085464,0.022156,0.037374,-0.077443,-0.036056,-0.201599,0.035458,0.064879,0.084326,0.031531,0.069012,0.034960,-0.070804,-0.071656,0.077226,0.143543,-0.011615,-0.154273,-0.022645,0.031165,-0.081460,0.028801,0.050349,-0.145951,0.123604,-0.000939,0.002188,0.094900,-0.019786,0.049552,-0.128017,0.043743,-0.169336,0.027241,0.153226,0.042829,-0.184281,0.073182,-0.042859,-0.009411,0.047415,0.015590,-0.123278,-0.012693,0.069305,-0.024162,0.078145,0.125264,0.019572,-0.120626,0.018514,0.046165,0.089515,-0.105453,0.095773,0.102538,-0.011627,0.083857,-0.119564,-0.004236,0.020190,0.038401,0.044445,-0.000280,0.107338,0.077589,-0.074543,-0.034553,-0.215782,-0.032887,0.015735,0.190463,-0.001596,0.023154,-0.115287,0.204123,-0.125679,0.155593,0.048462,0.024500,0.036562,-0.015548,-0.059740,-0.080309,-0.087809,-0.100520,0.029396,0.087369,0.027480,0.067166,0.075325,-0.008200,-0.129418,0.051002]",pol_000279;pol_000303;pol_000585,1
q0000,Search for pollution devices in Westside Heights Transit Hub,"[0.008312,0.102086,-0.009247,0.088266,0.080793,0.053936,0.020438,-0.021450,-0.140409,-0.094092,0.050667,0.309167,0.055323,0.100893,-0.011488,-0.087394,0.052874,0.115083,0.054597,0.008528,-0.074102,-0.089189,-0.105123,-0.151157,-0.025560,-0.082069,0.030112,0.058137,-0.021575,0.006730,0.135341,0.035410,0.044917,0.100333,0.085464,0.022156,0.037374,-0.077443,-0.036056,-0.201599,0.035458,0.064879,0.084326,0.031531,0.069012,0.034960,-0.070804,-0.071656,0.077226,0.143543,-0.011615,-0.154273,-0.022645,0.031165,-0.081460,0.028801,0.050349,-0.145951,0.123604,-0.000939,0.002188,0.094900,-0.019786,0.049552,-0.128017,0.043743,-0.169336,0.027241,0.153226,0.042829,-0.184281,0.073182,-0.042859,-0.009411,0.047415,0.015590,-0.123278,-0.012693,0.069305,-0.024162,0.078145,0.125264,0.019572,-0.120626,0.018514,0.046165,0.089515,-0.105453,0.095773,0.102538,-0.011627,0.083857,-0.119564,-0.004236,0.020190,0.038401,0.044445,-0.000280,0.107338,0.077589,-0.074543,-0.034553,-0.215782,-0.032887,0.015735,0.190463,-0.001596,0.023154,-0.115287,0.204123,-0.125679,0.155593,0.048462,0.024500,0.036562,-0.015548,-0.059740,-0.080309,-0.087809,-0.100520,0.029396,0.087369,0.027480,0.067166,0.075325,-0.008200,-0.129418,0.051002]",pol_000279;pol_000303;pol_000585,1
q0000,Search for pollution devices in Westside Heights Transit Hub,"[0.008312,0.102086,-0.009247,0.088266,0.080793,0.053936,0.020438,-0.021450,-0.140409,-0.094092,0.050667,0.309167,0.055323,0.100893,-0.011488,-0.087394,0.052874,0.115083,0.054597,0.008528,-0.074102,-0.089189,-0.105123,-0.151157,-0.025560,-0.082069,0.030112,0.058137,-0.021575,0.006730,0.135341,0.035410,0.044917,0.100333,0.085464,0.022156,0.037374,-0.077443,-0.036056,-0.201599,0.035458,0.064879,0.084326,0.031531,0.069012,0.034960,-0.070804,-0.071656,0.077226,0.143543,-0.011615,-0.154273,-0.022645,0.031165,-0.081460,0.028801,0.050349,-0.145951,0.123604,-0.000939,0.002188,0.094900,-0.019786,0.049552,-0.128017,0.043743,-0.169336,0.027241,0.153226,0.042829,-0.184281,0.073182,-0.042859,-0.009411,0.047415,0.015590,-0.123278,-0.012693,0.069305,-0.024162,0.078145,0.125264,0.019572,-0.120626,0.018514,0.046165,0.089515,-0.105453,0.095773,0.102538,-0.011627,0.083857,-0.119564,-0.004236,0.020190,0.038401,0.044445,-0.000280,0.107338,0.077589,-0.074543,-0.034553,-0.215782,-0.032887,0.015735,0.190463,-0.001596,0.023154,-0.115287,0.204123,-0.125679,0.155593,0.048462,0.024500,0.036562,-0.015548,-0.059740,-0.080309,-0.087809,-0.100520,0.029396,0.087369,0.027480,0.067166,0.075325,-0.008200,-0.129418,0.051002]",pol_000279;pol_000303;pol_000585,1
q0001,Query traffic records from Old Town Core Civic Center,"[0.045431,0.046736,0.081839,0.055345,-0.076138,-0.012370,0.130124,-0.089966,0.023513,-0.002936,0.059279,0.075178,0.085385,0.148926,0.053510,0.085420,0.054104,0.061402,-0.089854,-0.073467,0.015879,-0.137375,-0.174164,0.015398,-0.156153,-0.001199,-0.017191,-0.019996,-0.093410,0.114520,-0.062361,0.034273,0.014276,-0.073752,-0.040580,0.008420,-0.062426,-0.059845,-0.162749,-0.208874,0.096469,0.085561,-0.055583,-0.052177,0.006302,0.034042,0.018962,-0.002043,-0.089043,-0.003695,-0.100519,-0.116044,-0.063028,0.134142,0.012982,-0.025619,0.028129,0.087522,-0.010141,-0.024697,-0.079674,-0.044132,-0.060368,0.052995,-0.073655,-0.119508,-0.063225,0.005643,-0.040182,-0.060585,-0.015517,0.081209,0.055559,0.097663,-0.070113,-0.009790,0.068265,-0.133773,-0.012501,-0.168279,0.051733,0.173281,-0.187468,-0.095764,0.044324,-0.017267,-0.148516,-0.088464,0.053481,-0.076736,-0.209173,0.072787,0.081336,-0.019173,0.031526,-0.002085,0.007407,-0.035609,-0.001611,0.135771,-0.131072,-0.074604,-0.186438,-0.054121,-0.055083,0.123437,-0.052448,0.198600,0.066381,0.121606,-0.042810,0.008624,0.119144,0.200635,0.018034,0.169502,-0.045234,-0.117590,-0.059897,-0.029759,0.092892,0.052969,0.115318,0.018151,0.118600,-0.032398,-0.097192,-0.044001]",traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,6
q0001,Query traffic records from Old Town Core Civic Center,"[0.045431,0.046736,0.081839,0.055345,-0.076138,-0.012370,0.130124,-0.089966,0.023513,-0.002936,0.059279,0.075178,0.085385,0.148926,0.053510,0.085420,0.054104,0.061402,-0.089854,-0.073467,0.015879,-0.137375,-0.174164,0.015398,-0.156153,-0.001199,-0.017191,-0.019996,-0.093410,0.114520,-0.062361,0.034273,0.014276,-0.073752,-0.040580,0.008420,-0.062426,-0.059845,-0.162749,-0.208874,0.096469,0.085561,-0.055583,-0.052177,0.006302,0.034042,0.018962,-0.002043,-0.089043,-0.003695,-0.100519,-0.116044,-0.063028,0.134142,0.012982,-0.025619,0.028129,0.087522,-0.010141,-0.024697,-0.079674,-0.044132,-0.060368,0.052995,-0.073655,-0.119508,-0.063225,0.005643,-0.040182,-0.060585,-0.015517,0.081209,0.055559,0.097663,-0.070113,-0.009790,0.068265,-0.133773,-0.012501,-0.168279,0.051733,0.173281,-0.187468,-0.095764,0.044324,-0.017267,-0.148516,-0.088464,0.053481,-0.076736,-0.209173,0.072787,0.081336,-0.019173,0.031526,-0.002085,0.007407,-0.035609,-0.001611,0.135771,-0.131072,-0.074604,-0.186438,-0.054121,-0.055083,0.123437,-0.052448,0.198600,0.066381,0.121606,-0.042810,0.008624,0.119144,0.200635,0.018034,0.169502,-0.045234,-0.117590,-0.059897,-0.029759,0.092892,0.052969,0.115318,0.018151,0.118600,-0.032398,-0.097192,-0.044001]",traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,6
q0001,Query traffic records from Old Town Core Civic Center,"[0.045431,0.046736,0.081839,0.055345,-0.076138,-0.012370,0.130124,-0.089966,0.023513,-0.002936,0.059279,0.075178,0.085385,0.148926,0.053510,0.085420,0.054104,0.061402,-0.089854,-0.073467,0.015879,-0.137375,-0.174164,0.015398,-0.156153,-0.001199,-0.017191,-0.019996,-0.093410,0.114520,-0.062361,0.034273,0.014276,-0.073752,-0.040580,0.008420,-0.062426,-0.059845,-0.162749,-0.208874,0.096469,0.085561,-0.055583,-0.052177,0.006302,0.034042,0.018962,-0.002043,-0.089043,-0.003695,-0.100519,-0.116044,-0.063028,0.134142,0.012982,-0.025619,0.028129,0.087522,-0.010141,-0.024697,-0.079674,-0.044132,-0.060368,0.052995,-0.073655,-0.119508,-0.063225,0.005643,-0.040182,-0.060585,-0.015517,0.081209,0.055559,0.097663,-0.070113,-0.009790,0.068265,-0.133773,-0.012501,-0.168279,0.051733,0.173281,-0.187468,-0.095764,0.044324,-0.017267,-0.148516,-0.088464,0.053481,-0.076736,-0.209173,0.072787,0.081336,-0.019173,0.031526,-0.002085,0.007407,-0.035609,-0.001611,0.135771,-0.131072,-0.074604,-0.186438,-0.054121,-0.055083,0.123437,-0.052448,0.198600,0.066381,0.121606,-0.042810,0.008624,0.119144,0.200635,0.018034,0.169502,-0.045234,-0.117590,-0.059897,-0.029759,0.092892,0.052969,0.115318,0.018151,0.118600,-0.032398,-0.097192,-0.044001]",traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,6
q0001,Query traffic records from Old Town Core Civic Center,"[0.045431,0.046736,0.081839,0.055345,-0.076138,-0.012370,0.130124,-0.089966,0.023513,-0.002936,0.059279,0.075178,0.085385,0.148926,0.053510,0.085420,0.054104,0.061402,-0.089854,-0.073467,0.015879,-0.137375,-0.174164,0.015398,-0.156153,-0.001199,-0.017191,-0.019996,-0.093410,0.114520,-0.062361,0.034273,0.014276,-0.073752,-0.040580,0.008420,-0.062426,-0.059845,-0.162749,-0.208874,0.096469,0.085561,-0.055583,-0.052177,0.006302,0.034042,0.018962,-0.002043,-0.089043,-0.003695,-0.100519,-0.116044,-0.063028,0.134142,0.012982,-0.025619,0.028129,0.087522,-0.010141,-0.024697,-0.079674,-0.044132,-0.060368,0.052995,-0.073655,-0.119508,-0.063225,0.005643,-0.040182,-0.060585,-0.015517,0.081209,0.055559,0.097663,-0.070113,-0.009790,0.068265,-0.133773,-0.012501,-0.168279,0.051733,0.173281,-0.187468,-0.095764,0.044324,-0.017267,-0.148516,-0.088464,0.053481,-0.076736,-0.209173,0.072787,0.081336,-0.019173,0.031526,-0.002085,0.007407,-0.035609,-0.001611,0.135771,-0.131072,-0.074604,-0.186438,-0.054121,-0.055083,0.123437,-0.052448,0.198600,0.066381,0.121606,-0.042810,0.008624,0.119144,0.200635,0.018034,0.169502,-0.045234,-0.117590,-0.059897,-0.029759,0.092892,0.052969,0.115318,0.018151,0.118600,-0.032398,-0.097192,-0.044001]",traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,6
q0002,List streetlight data around Westside Heights Riverside Park,"[-0.021758,0.040675,-0.017933,0.124404,-0.043178,-0.031566,-0.050668,-0.136794,-0.152724,-0.037919,-0.036345,0.154460,0.052829,0.029030,0.073753,0.017553,0.064002,-0.037240,0.015019,-0.111304,0.021902,-0.080746,0.021284,0.014015,0.094801,-0.284389,-0.031133,0.090229,-0.072358,0.088619,0.025487,0.019764,-0.131910,-0.227113,-0.080101,0.189492,-0.103015,-0.052468,-0.004041,-0.054148,0.334113,-0.018348,0.094873,-0.020242,-0.074171,0.079526,0.010239,-0.023710,-0.057223,-0.024685,-0.119013,-0.032896,0.030994,0.122356,-0.125129,0.039249,0.161523,-0.020125,-0.001361,-0.054906,-0.065646,0.071399,-0.002403,0.078717,-0.116046,0.061918,-0.045752,-0.040704,0.102476,0.030534,-0.101924,0.068066,-0.023381,-0.008512,-0.002853,0.121419,-0.064602,-0.146254,0.018990,0.046015,0.038789,0.122328,-0.064047,0.048099,0.074994,0.126014,-0.130983,-0.091668,-0.032679,0.070587,-0.031311,0.078054,-0.089075,-0.141110,-0.002562,0.077770,-0.033852,-0.132796,-0.041718,-0.008652,-0.061088,0.008736,-0.090627,-0.035044,-0.040296,0.121446,0.058342,-0.009098,-0.035852,0.028860,-0.010077,0.110747,0.144846,0.109302,0.025723,-0.112967,0.086162,-0.073377,-0.011807,-0.087239,0.024431,0.055125,-0.058290,0.108544,0.091201,0.111382,-0.130881,-0.035155]",sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,1
q0002,List streetlight data around Westside Heights Riverside Park,"[-0.021758,0.040675,-0.017933,0.124404,-0.043178,-0.031566,-0.050668,-0.136794,-0.152724,-0.037919,-0.036345,0.154460,0.052829,0.029030,0.073753,0.017553,0.064002,-0.037240,0.015019,-0.111304,0.021902,-0.080746,0.021284,0.014015,0.094801,-0.284389,-0.031133,0.090229,-0.072358,0.088619,0.025487,0.019764,-0.131910,-0.227113,-0.080101,0.189492,-0.103015,-0.052468,-0.004041,-0.054148,0.334113,-0.018348,0.094873,-0.020242,-0.074171,0.079526,0.010239,-0.023710,-0.057223,-0.024685,-0.119013,-0.032896,0.030994,0.122356,-0.125129,0.039249,0.161523,-0.020125,-0.001361,-0.054906,-0.065646,0.071399,-0.002403,0.078717,-0.116046,0.061918,-0.045752,-0.040704,0.102476,0.030534,-0.101924,0.068066,-0.023381,-0.008512,-0.002853,0.121419,-0.064602,-0.146254,0.018990,0.046015,0.038789,0.122328,-0.064047,0.048099,0.074994,0.126014,-0.130983,-0.091668,-0.032679,0.070587,-0.031311,0.078054,-0.089075,-0.141110,-0.002562,0.077770,-0.033852,-0.132796,-0.041718,-0.008652,-0.061088,0.008736,-0.090627,-0.035044,-0.040296,0.121446,0.058342,-0.009098,-0.035852,0.028860,-0.010077,0.110747,0.144846,0.109302,0.025723,-0.112967,0.086162,-0.073377,-0.011807,-0.087239,0.024431,0.055125,-0.058290,0.108544,0.091201,0.111382,-0.130881,-0.035155]",sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,1
