# Rocketfuel topology converted to ndnSIM format
# Nodes: 1200, Links: 860
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node0	T	0	111
Node1	Atlanta+GA	0	9
Node2	Relay+MD	0	78
Node3	Chicago+IL	0	21
Node4	New+York+NY	0	60
Node5	Atlanta+GA	2	9
Node6	Atlanta+GA	4	9
Node7	New+York+NY	2	60
Node8	Washington+DC	0	120
Node9	Tacoma+WA	0	114
Node10	Stockton+CA	0	105
Node11	Relay+MD	2	78
Node12	Dallas+TX	0	27
Node13	Pennsauken+NJ	0	72
Node14	Anaheim+CA	0	3
Node15	Pennsauken+NJ	2	72
Node16	Roachdale+IN	0	87
Node17	Pennsauken+NJ	4	72
Node18	Dallas+TX	2	27
Node19	Seattle+WA	0	93
Node20	Brussels+Belgium	0	15
Node21	Seattle+WA	2	93
Node22	Chicago+IL	2	21
Node23	Relay+MD	4	78
Node24	Pennsauken+NJ	6	72
Node25	Cheyenne+WY	0	18
Node26	Kansas+City+MO	0	42
Node27	Relay+MD	6	78
Node28	Anaheim+CA	2	3
Node29	Reston+VA	0	84
Node30	T	2	111
Node31	Relay+MD	8	78
Node32	Atlanta+GA	6	9
Node33	Pennsauken+NJ	8	72
Node34	Pennsauken+NJ	10	72
Node35	Orlando+FL	0	63
Node36	Atlanta+GA	8	9
Node37	Anaheim+CA	4	3
Node38	Atlanta+GA	10	9
Node39	Roachdale+IN	2	87
Node40	Atlanta+GA	12	9
Node41	Washington+DC	2	120
Node42	Pennsauken+NJ	12	72
Node43	T	4	111
Node44	New+York+NY	4	60
Node45	Dallas+TX	4	27
Node46	Stockton+CA	2	105
Node47	Anaheim+CA	6	3
Node48	Cheyenne+WY	2	18
Node49	Dallas+TX	6	27
Node50	Atlanta+GA	14	9
Node51	Atlanta+GA	16	9
Node52	Roachdale+IN	4	87
Node53	Dallas+TX	8	27
Node54	Atlanta+GA	18	9
Node55	Pennsauken+NJ	14	72
Node56	New+York+NY	6	60
Node57	Atlanta+GA	20	9
Node58	Dallas+TX	10	27
Node59	Roachdale+IN	6	87
Node60	Chicago+IL	4	21
Node61	Anaheim+CA	8	3
Node62	Chicago+IL	6	21
Node63	Pennsauken+NJ	16	72
Node64	Pennsauken+NJ	18	72
Node65	Stockton+CA	4	105
Node66	Seattle+WA	4	93
Node67	Atlanta+GA	22	9
Node68	Dallas+TX	12	27
Node69	Relay+MD	10	78
Node70	Chicago+IL	8	21
Node71	Chicago+IL	10	21
Node72	Chicago+IL	12	21
Node73	Dallas+TX	14	27
Node74	Pennsauken+NJ	20	72
Node75	Cheyenne+WY	4	18
Node76	New+York+NY	8	60
Node77	Cheyenne+WY	6	18
Node78	Orlando+FL	2	63
Node79	Pennsauken+NJ	22	72
Node80	Chicago+IL	14	21
Node81	Anaheim+CA	10	3
Node82	Pennsauken+NJ	24	72
Node83	Stockton+CA	6	105
Node84	Chicago+IL	16	21
Node85	Pennsauken+NJ	26	72
Node86	New+York+NY	10	60
Node87	Dallas+TX	16	27
Node88	Springfield+MA	0	99
Node89	Atlanta+GA	24	9
Node90	New+York+NY	12	60
Node91	Pennsauken+NJ	28	72
Node92	Kansas+City+MO	2	42
Node93	Orlando+FL	4	63
Node94	New+York+NY	14	60
Node95	Chicago+IL	18	21
Node96	Cheyenne+WY	8	18
Node97	Kansas+City+MO	4	42
