# Rocketfuel topology converted to ndnSIM format
# Nodes: 700, Links: 2279
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node0	Chicago+IL	0	21
Node1	Chicago+IL	2	21
Node2	Seattle+WA	0	105
Node3	Dallas+TX	0	27
Node4	T	0	123
Node5	Seattle+WA	2	105
Node6	Stockton+CA	0	117
Node7	Dallas+TX	2	27
Node8	Pennsauken+NJ	0	78
Node9	Atlanta+GA	0	9
Node10	Dallas+TX	4	27
Node11	Relay+MD	0	84
Node12	Dallas+TX	6	27
Node13	Seattle+WA	4	105
Node14	New+York+NY	0	66
Node15	New+York+NY	2	66
Node16	Pennsauken+NJ	2	78
Node17	Seattle+WA	6	105
Node18	Springfield+MA	0	111
Node19	New+York+NY	4	66
Node20	Seattle+WA	8	105
Node21	Springfield+MA	2	111
Node22	New+York+NY	6	66
Node23	New+York+NY	8	66
Node24	New+York+NY	10	66
Node25	Springfield+MA	4	111
Node26	Pennsauken+NJ	4	78
Node27	New+York+NY	12	66
Node28	Relay+MD	2	84
Node29	Amsterdam+Netherland	0	0
Node30	Anaheim+CA	0	3
Node31	Anaheim+CA	2	3
Node32	Atlanta+GA	2	9
Node33	Atlanta+GA	4	9
Node34	Brussels+Belgium	0	15
Node35	Cheyenne+WY	0	18
Node36	Cheyenne+WY	2	18
Node37	Chicago+IL	4	21
Node38	Chicago+IL	6	21
Node39	Chicago+IL	8	21
Node40	Chicago+IL	10	21
Node41	Copenhagen+Denmark	0	24
Node42	Copenhagen+Denmark	2	24
Node43	Dublin+Ireland	0	33
Node44	Frankfurt+Germany	0	36
Node45	Frankfurt+Germany	2	36
Node46	Dallas+TX	8	27
Node47	Hamburg+Germany	0	39
Node48	Hong+Kong	0	42
Node49	Hong+Kong	2	42
Node50	Kansas+City+MO	0	45
Node51	Kansas+City+MO	2	45
Node52	London+UnitedKingdom	0	51
Node53	London+UnitedKingdom	2	51
Node54	Milan+Italy	0	60
Node55	Manasquan+NJ	0	57
Node56	Manasquan+NJ	2	57
Node57	New+York+NY	14	66
Node58	New+York+NY	16	66
Node59	New+York+NY	18	66
Node60	New+York+NY	20	66
Node61	New+York+NY	22	66
Node62	Orlando+FL	0	69
Node63	Orlando+FL	2	69
Node64	Orlando+FL	4	69
Node65	Paris+France	0	72
Node66	Pennsauken+NJ	6	78
Node67	Pearl+Harbor+HI	0	75
Node68	Pearl+Harbor+HI	2	75
Node69	Pearl+Harbor+HI	4	75
Node70	Relay+MD	4	84
Node71	Relay+MD	6	84
Node72	Relay+MD	8	84
Node73	Roachdale+IN	0	96
Node74	Research+Triangle+Pa	0	87
Node75	Seattle+WA	10	105
Node76	Seattle+WA	12	105
Node77	Seattle+WA	14	105
Node78	Singapore	0	108
Node79	San+Jose+CA	0	99
Node80	San+Jose+CA	2	99
Node81	San+Jose+CA	4	99
Node82	Stockton+CA	2	117
Node83	Stockton+CA	4	117
Node84	Stockholm+Sweden	0	114
Node85	Sydney+Australia	0	120
Node86	Tacoma+WA	0	126
Node87	Tokyo+Japan	0	129
Node88	Tokyo+Japan	2	129
Node89	Tokyo+Japan	4	129
Node90	Amsterdam+Netherland	2	0
Node91	Anaheim+CA	4	3
Node92	Anaheim+CA	6	3
Node93	Atlanta+GA	6	9
Node94	Atlanta+GA	8	9
Node95	Brussels+Belgium	2	15
Node96	Cheyenne+WY	4	18
Node97	Cheyenne+WY	6	18
Node98	Chicago+IL	12	21
Node99	Chicago+IL	14	21
Node100	Chicago+IL	16	21
Node101	Copenhagen+Denmark	4	24
Node102	Copenhagen+Denmark	6	24
Node103	Dublin+Ireland	2	33
Node104	Frankfurt+Germany	4	36
Node105	Dallas+TX	10	27
Node106	Dallas+TX	12	27
Node107	Dallas+TX	14	27
Node108	Hamburg+Germany	2	39
Node109	Kansas+City+MO	4	45
Node110	London+UnitedKingdom	4	51
Node111	London+UnitedKingdom	6	51
Node112	Milan+Italy	2	60
Node113	Manasquan+NJ	4	57
Node114	Manasquan+NJ	6	57
Node115	Munich+Germany	0	63
Node116	New+York+NY	24	66
Node117	New+York+NY	26	66
Node118	New+York+NY	28	66
Node119	Orlando+FL	6	69
Node120	Orlando+FL	8	69
Node121	Paris+France	2	72
Node122	Pennsauken+NJ	8	78
Node123	Pearl+Harbor+HI	6	75
Node124	Relay+MD	10	84
Node125	Seattle+WA	16	105
Node126	Seattle+WA	18	105
Node127	Singapore	2	108
Node128	San+Jose+CA	6	99
Node129	San+Jose+CA	8	99
Node130	San+Jose+CA	10	99
Node131	Stockton+CA	6	117
Node132	Stockton+CA	8	117
Node133	Stockholm+Sweden	2	114
Node134	Sydney+Australia	2	120
Node135	Tacoma+WA	2	126
Node136	Tacoma+WA	4	126
Node137	Tacoma+WA	6	126
Node138	Tacoma+WA	8	126
Node139	Anaheim+CA	8	3
Node140	Anaheim+CA	10	3
Node141	Anaheim+CA	12	3
Node142	Atlanta+GA	10	9
Node143	Chicago+IL	18	21
Node144	Chicago+IL	20	21
Node145	Dallas+TX	16	27
Node146	Kansas+City+MO	6	45
Node147	Kansas+City+MO	8	45
Node148	Kansas+City+MO	10	45
Node149	New+York+NY	30	66
Node150	New+York+NY	32	66
Node151	Orlando+FL	10	69
Node152	Orlando+FL	12	69
Node153	Pennsauken+NJ	10	78
Node154	Relay+MD	12	84
Node155	Relay+MD	14	84
Node156	Relay+MD	16	84
Node157	Relay+MD	18	84
Node158	Roachdale+IN	2	96
Node159	San+Jose+CA	12	99
Node160	San+Jose+CA	14	99
Node161	Tacoma+WA	10	126
Node162	Tacoma+WA	12	126
Node163	Anaheim+CA	14	3
Node164	Anaheim+CA	16	3
Node165	Atlanta+GA	12	9
Node166	Chicago+IL	22	21
Node167	Chicago+IL	24	21
Node168	Chicago+IL	26	21
Node169	Dallas+TX	18	27
Node170	Dallas+TX	20	27
Node171	Dallas+TX	22	27
Node172	New+York+NY	34	66
Node173	New+York+NY	36	66
Node174	New+York+NY	38	66
Node175	New+York+NY	40	66
Node176	Pennsauken+NJ	12	78
Node177	Pennsauken+NJ	14	78
Node178	Relay+MD	20	84
Node179	San+Jose+CA	16	99
Node180	Anaheim+CA	18	3
Node181	Atlanta+GA	14	9
Node182	Chicago+IL	28	21
Node183	New+York+NY	42	66
Node184	Pennsauken+NJ	16	78
Node185	Relay+MD	22	84
Node186	San+Jose+CA	18	99
Node187	Chicago+IL	30	21
Node188	New+York+NY	44	66
Node189	Pennsauken+NJ	18	78
Node190	Pennsauken+NJ	20	78
Node191	Relay+MD	24	84
Node192	San+Jose+CA	20	99
Node193	San+Jose+CA	22	99
Node194	Dallas+TX	24	27
Node195	New+York+NY	46	66
Node196	New+York+NY	48	66
Node197	New+York+NY	50	66
Node198	Pennsauken+NJ	22	78
Node199	Pennsauken+NJ	24	78
Node200	Pennsauken+NJ	26	78
Node201	Relay+MD	26	84
Node202	New+York+NY	52	66
Node203	New+York+NY	54	66
Node204	Pennsauken+NJ	28	78
Node205	Relay+MD	28	84
Node206	Washington+DC	0	132
Node207	Washington+DC	2	132
Node208	Dallas+TX	26	27
Node209	Washington+DC	4	132
Node210	Reston+VA	0	90
Node211	Reston+VA	2	90
Node212	Atlanta+GA	16	9
Node213	Boston+MA	0	12
Node214	Richardson+TX	0	93
Node215	Denver+Colorado	0	30
Node216	Los+Angeles+CA	0	54
Node217	Lees+Summit+MO	0	48
Node218	New+York+NY	56	66
Node219	Rancho+Cordova+CA	0	81
Node220	Santa+Clara+CA	0	102
Node221	Boston+MA	2	12
Node222	Richardson+TX	2	93
Node223	Denver+Colorado	2	30
Node224	Lees+Summit+MO	2	48
Node225	New+York+NY	58	66
Node226	Rancho+Cordova+CA	2	81
Node227	Relay+MD	30	84
Node228	Atlanta+GA	18	9
Node229	Kansas+City+MO	12	45
Node230	New+York+NY	60	66
Node231	Stockton+CA	10	117
Node232	Tacoma+WA	14	126
Node233	Atlanta+GA	20	9
Node234	Atlanta+GA	22	9
Node235	Cheyenne+WY	8	18
Node236	Cheyenne+WY	10	18
Node237	Chicago+IL	32	21
Node238	Washington+DC	6	132
Node239	Washington+DC	8	132
Node240	Washington+DC	10	132
Node241	Frankfurt+Germany	6	36
Node242	Kansas+City+MO	14	45
Node243	Kansas+City+MO	16	45
Node244	Kansas+City+MO	18	45
Node245	London+UnitedKingdom	8	51
Node246	New+York+NY	62	66
Node247	New+York+NY	64	66
Node248	Orlando+FL	14	69
Node249	Pennsauken+NJ	30	78
Node250	Pennsauken+NJ	32	78
Node251	Pearl+Harbor+HI	8	75
Node252	Pearl+Harbor+HI	10	75
Node253	Relay+MD	32	84
Node254	Roachdale+IN	4	96
Node255	Roachdale+IN	6	96
Node256	Research+Triangle+Pa	2	87
Node257	Seattle+WA	20	105
Node258	San+Jose+CA	24	99
Node259	Springfield+MA	6	111
Node260	Springfield+MA	8	111
Node261	Stockton+CA	12	117
Node262	Tacoma+WA	16	126
Node263	Amsterdam+Netherland	4	0
Node264	Anaheim+CA	20	3
Node265	Atlanta+GA	24	9
Node266	Cheyenne+WY	12	18
Node267	Cheyenne+WY	14	18
Node268	Cheyenne+WY	16	18
Node269	Chicago+IL	34	21
Node270	Chicago+IL	36	21
Node271	Washington+DC	12	132
Node272	Frankfurt+Germany	8	36
Node273	Dallas+TX	28	27
Node274	Hong+Kong	4	42
Node275	Kansas+City+MO	20	45
Node276	London+UnitedKingdom	10	51
Node277	Milan+Italy	4	60
Node278	New+York+NY	66	66
Node279	New+York+NY	68	66
Node280	Orlando+FL	16	69
Node281	Pennsauken+NJ	34	78
Node282	Relay+MD	34	84
Node283	Relay+MD	36	84
Node284	Seattle+WA	22	105
Node285	Seattle+WA	24	105
Node286	Singapore	4	108
Node287	San+Jose+CA	26	99
Node288	Stockton+CA	14	117
Node289	Stockholm+Sweden	4	114
Node290	Sydney+Australia	4	120
Node291	Anaheim+CA	22	3
Node292	Atlanta+GA	26	9
Node293	Cheyenne+WY	18	18
Node294	Chicago+IL	38	21
Node295	Washington+DC	14	132
Node296	Dallas+TX	30	27
Node297	Kansas+City+MO	22	45
Node298	New+York+NY	70	66
Node299	New+York+NY	72	66
Node300	Orlando+FL	18	69
Node301	Pennsauken+NJ	36	78
Node302	Relay+MD	38	84
Node303	Seattle+WA	26	105
Node304	Seattle+WA	28	105
Node305	Seattle+WA	30	105
Node306	San+Jose+CA	28	99
Node307	Stockton+CA	16	117
Node308	Anaheim+CA	24	3
Node309	Atlanta+GA	28	9
Node310	Cheyenne+WY	20	18
Node311	Cheyenne+WY	22	18
Node312	Washington+DC	16	132
Node313	Dallas+TX	32	27
Node314	Kansas+City+MO	24	45
Node315	Kansas+City+MO	26	45
Node316	Orlando+FL	20	69
Node317	Orlando+FL	22	69
Node318	Pennsauken+NJ	38	78
Node319	Relay+MD	40	84
Node320	San+Jose+CA	30	99
Node321	Stockton+CA	18	117
Node322	Anaheim+CA	26	3
Node323	Atlanta+GA	30	9
Node324	Cheyenne+WY	24	18
Node325	Chicago+IL	40	21
Node326	Chicago+IL	42	21
Node327	Washington+DC	18	132
Node328	Dallas+TX	34	27
Node329	Kansas+City+MO	28	45
Node330	Orlando+FL	24	69
Node331	Pennsauken+NJ	40	78
Node332	Relay+MD	42	84
Node333	Seattle+WA	32	105
Node334	Seattle+WA	34	105
Node335	San+Jose+CA	32	99
Node336	San+Jose+CA	34	99
Node337	Stockton+CA	20	117
Node338	Stockton+CA	22	117
Node339	Anaheim+CA	28	3
Node340	Atlanta+GA	32	9
Node341	Cheyenne+WY	26	18
Node342	Dallas+TX	36	27
Node343	New+York+NY	74	66
Node344	Orlando+FL	26	69
Node345	Pennsauken+NJ	42	78
Node346	Pennsauken+NJ	44	78
Node347	Relay+MD	44	84
Node348	San+Jose+CA	36	99
Node349	Stockton+CA	24	117
Node350	Anaheim+CA	30	3
Node351	Anaheim+CA	32	3
Node352	Atlanta+GA	34	9
Node353	Chicago+IL	44	21
Node354	Chicago+IL	46	21
Node355	Chicago+IL	48	21
Node356	Dallas+TX	38	27
Node357	Dallas+TX	40	27
Node358	Dallas+TX	42	27
Node359	New+York+NY	76	66
Node360	New+York+NY	78	66
Node361	Pennsauken+NJ	46	78
Node362	Pennsauken+NJ	48	78
Node363	Relay+MD	46	84
Node364	San+Jose+CA	38	99
Node365	Stockton+CA	26	117
Node366	Anaheim+CA	34	3
Node367	Anaheim+CA	36	3
Node368	Atlanta+GA	36	9
Node369	Dallas+TX	44	27
Node370	Kansas+City+MO	30	45
Node371	New+York+NY	80	66
Node372	Pennsauken+NJ	50	78
Node373	Relay+MD	48	84
Node374	Stockton+CA	28	117
Node375	Stockton+CA	30	117
Node376	Anaheim+CA	38	3
Node377	Anaheim+CA	40	3
Node378	Atlanta+GA	38	9
Node379	Chicago+IL	50	21
Node380	New+York+NY	82	66
Node381	Pennsauken+NJ	52	78
Node382	Relay+MD	50	84
Node383	Stockton+CA	32	117
Node384	Anaheim+CA	42	3
Node385	Dallas+TX	46	27
Node386	New+York+NY	84	66
Node387	New+York+NY	86	66
Node388	New+York+NY	88	66
Node389	Pennsauken+NJ	54	78
Node390	Pennsauken+NJ	56	78
Node391	Relay+MD	52	84
Node392	Relay+MD	54	84
Node393	Atlanta+GA	40	9
Node394	Chicago+IL	52	21
Node395	New+York+NY	90	66
Node396	New+York+NY	92	66
Node397	Pennsauken+NJ	58	78
Node398	Relay+MD	56	84
Node399	Relay+MD	58	84
Node400	Stockton+CA	34	117
Node401	Amsterdam+Netherland	6	0
Node402	Anaheim+CA	44	3
Node403	Atlanta+GA	42	9
Node404	Atlanta+GA	44	9
Node405	Brussels+Belgium	4	15
Node406	Cheyenne+WY	28	18
Node407	Cheyenne+WY	30	18
Node408	Washington+DC	20	132
Node409	Kansas+City+MO	32	45
Node410	Kansas+City+MO	34	45
Node411	London+UnitedKingdom	12	51
Node412	New+York+NY	94	66
Node413	Orlando+FL	28	69
Node414	Paris+France	4	72
Node415	Pennsauken+NJ	60	78
Node416	Pearl+Harbor+HI	12	75
Node417	Relay+MD	60	84
Node418	Roachdale+IN	8	96
Node419	Roachdale+IN	10	96
Node420	Seattle+WA	36	105
Node421	San+Jose+CA	40	99
Node422	Tacoma+WA	18	126
Node423	Tacoma+WA	20	126
Node424	Anaheim+CA	46	3
Node425	Dallas+TX	48	27
Node426	Dallas+TX	50	27
Node427	New+York+NY	96	66
Node428	Pennsauken+NJ	62	78
Node429	Relay+MD	62	84
Node430	Relay+MD	64	84
Node431	Roachdale+IN	12	96
Node432	Stockton+CA	36	117
Node433	Stockton+CA	38	117
Node434	Anaheim+CA	48	3
Node435	Atlanta+GA	46	9
Node436	Dallas+TX	52	27
Node437	Pennsauken+NJ	64	78
Node438	Relay+MD	66	84
Node439	Relay+MD	68	84
Node440	Relay+MD	70	84
Node441	Stockton+CA	40	117
Node442	Stockton+CA	42	117
Node443	Anaheim+CA	50	3
Node444	Anaheim+CA	52	3
Node445	Anaheim+CA	54	3
Node446	Atlanta+GA	48	9
Node447	Chicago+IL	54	21
Node448	Chicago+IL	56	21
Node449	Dallas+TX	54	27
Node450	Dallas+TX	56	27
Node451	Pennsauken+NJ	66	78
Node452	Relay+MD	72	84
Node453	Relay+MD	74	84
Node454	Stockton+CA	44	117
Node455	Stockton+CA	46	117
Node456	Stockton+CA	48	117
Node457	Anaheim+CA	56	3
Node458	Atlanta+GA	50	9
Node459	Dallas+TX	58	27
Node460	Pennsauken+NJ	68	78
Node461	Relay+MD	76	84
Node462	Stockton+CA	50	117
Node463	Anaheim+CA	58	3
Node464	Anaheim+CA	60	3
Node465	Atlanta+GA	52	9
Node466	Chicago+IL	58	21
Node467	Chicago+IL	60	21
Node468	Dallas+TX	60	27
Node469	Dallas+TX	62	27
Node470	Pennsauken+NJ	70	78
Node471	Relay+MD	78	84
Node472	Stockton+CA	52	117
Node473	Stockton+CA	54	117
Node474	Anaheim+CA	62	3
Node475	Atlanta+GA	54	9
Node476	Chicago+IL	62	21
Node477	Stockton+CA	56	117
Node478	Stockton+CA	58	117
Node479	Chicago+IL	64	21
Node480	Chicago+IL	66	21
Node481	Dallas+TX	64	27
Node482	Dallas+TX	66	27
Node483	Pennsauken+NJ	72	78
Node484	Relay+MD	80	84
Node485	Stockton+CA	60	117
Node486	Chicago+IL	68	21
Node487	Chicago+IL	70	21
Node488	Dallas+TX	68	27
Node489	Dallas+TX	70	27
Node490	New+York+NY	98	66
Node491	New+York+NY	100	66
Node492	New+York+NY	102	66
Node493	New+York+NY	104	66
Node494	Pennsauken+NJ	74	78
Node495	Stockton+CA	62	117
Node496	Anaheim+CA	64	3
