run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir,source_result_dir,canonical_run_id,run_class,cache_mode,seed_provenance,paper_grade
iroute_M1_s42,iroute,42,M,1,0,0,11701.550000,0.741200,0.468235,0.736471,0.842353,0.249412,0.249412,0.249412,47.976900,55.559000,4.970000,500,425,25.315294,37,425,0.000000,253,results/runs/fig12-paper-grade-20260310a-iroute_M1_s42,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M1_s42,fig12-paper-grade-20260310a-iroute_M1_s42,paper_grade,disabled,native,true
iroute_M4_s42,iroute,42,M,4,1,0,14146.410000,0.830600,0.701176,0.927059,0.974118,0.289412,0.289412,0.289412,47.960100,56.503400,5.140000,500,425,25.315294,37,425,0.000000,272,results/runs/fig12-paper-grade-20260310a-iroute_M4_s42,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M4_s42,fig12-paper-grade-20260310a-iroute_M4_s42,paper_grade,disabled,native,true
iroute_M8_s42,iroute,42,M,8,0,0,14146.410000,0.830600,0.701176,0.927059,0.974118,0.289412,0.289412,0.289412,47.960100,56.503400,5.140000,500,425,25.315294,37,425,0.000000,272,results/runs/fig12-paper-grade-20260310a-iroute_M8_s42,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M8_s42,fig12-paper-grade-20260310a-iroute_M8_s42,paper_grade,disabled,native,true
flood_budget2_s42,flood,42,budget,2,0,0,6903.330000,0.251800,0.251765,0.261176,0.261176,0.072941,0.072941,0.072941,47.894300,56.536400,5.100000,500,425,25.315294,37,358,0.157647,289,results/runs/fig12-paper-grade-20260310a-flood_budget2_s42,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget2_s42,fig12-paper-grade-20260310a-flood_budget2_s42,paper_grade,disabled,native,true
flood_budget4_s42,flood,42,budget,4,0,0,13802.110000,0.475300,0.475294,0.510588,0.520000,0.164706,0.164706,0.164706,49.706500,57.099400,5.140000,500,425,25.315294,37,390,0.082353,310,results/runs/fig12-paper-grade-20260310a-flood_budget4_s42,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget4_s42,fig12-paper-grade-20260310a-flood_budget4_s42,paper_grade,disabled,native,true
flood_budget8_s42,flood,42,budget,8,1,0,27597.800000,0.814100,0.814118,0.922353,0.941176,0.284706,0.284706,0.284706,50.633100,57.265500,5.120000,500,425,25.315294,37,419,0.014118,322,results/runs/fig12-paper-grade-20260310a-flood_budget8_s42,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget8_s42,fig12-paper-grade-20260310a-flood_budget8_s42,paper_grade,disabled,native,true
tag_tagK8_s42,tag,42,tagK,8,0,0,27753.650000,0.534100,0.534118,0.555294,0.555294,0.157647,0.157647,0.157647,48.054000,53.024200,5.390000,500,425,25.315294,37,425,0.000000,394,results/runs/fig12-paper-grade-20260310a-tag_tagK8_s42,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK8_s42,fig12-paper-grade-20260310a-tag_tagK8_s42,paper_grade,disabled,native,true
tag_tagK16_s42,tag,42,tagK,16,0,0,55506.890000,0.581200,0.581176,0.632941,0.647059,0.181176,0.181176,0.181176,47.989400,53.295800,5.190000,500,425,25.315294,37,425,0.000000,392,results/runs/fig12-paper-grade-20260310a-tag_tagK16_s42,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK16_s42,fig12-paper-grade-20260310a-tag_tagK16_s42,paper_grade,disabled,native,true
tag_tagK32_s42,tag,42,tagK,32,1,0,110996.450000,0.604700,0.604706,0.663529,0.682353,0.188235,0.188235,0.188235,48.654400,53.635800,5.120000,500,425,25.315294,37,425,0.000000,408,results/runs/fig12-paper-grade-20260310a-tag_tagK32_s42,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK32_s42,fig12-paper-grade-20260310a-tag_tagK32_s42,paper_grade,disabled,native,true
central_proc2_s42,central,42,proc,2,1,1,1755.680000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,9.608100,13.933000,0.000000,500,425,25.315294,37,425,0.000000,390,results/runs/fig12-paper-grade-20260310a-central_proc2_s42,/private/tmp/fig12-paper-grade-20260310a-stage/central_proc2_s42,fig12-paper-grade-20260310a-central_proc2_s42,paper_grade,disabled,native,true
