run_id,run_class,workflow,cache_mode,seed_provenance,git_commit,scheme,totalQueries,measurableQueries,DomainAcc,Recall_at_1,Recall_at_k,DocHit_at_1_singleton,mean_relset_size,singleton_queries,meanSSR,P50_ms,P95_ms,mean_hops,ctrl_bytes_per_sec,ctrl_pkts_per_sec,avg_FIB_entries,avg_LSDB_entries,unique_hops_values,partition_detected,failure_effective,ssr_mean,ssr_p50,ssr_p95,cache_hit_exact_ratio,cache_hit_semantic_ratio,semantic_hit_ratio
fig12-paper-grade-20260310a-central_proc2_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,500,425,1.0000,1.0000,1.0000,1.0000,25.3153,37,0.850000,9.6081,13.9330,0.00,1755.68,8.41,19,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-flood_budget2_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.2518,0.0729,0.2612,0.0000,25.3153,37,0.532776,47.8943,56.5364,5.10,6903.33,9.09,18,0,4,0,0,0.568372,0.647228,0.781385,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-flood_budget4_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.4753,0.1647,0.5200,0.0000,25.3153,37,0.583315,49.7065,57.0994,5.14,13802.11,18.18,18,0,4,0,0,0.620119,0.657921,0.777672,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-flood_budget8_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.8141,0.2847,0.9412,0.0270,25.3153,37,0.630188,50.6331,57.2655,5.12,27597.80,36.36,18,0,4,0,0,0.668788,0.668708,0.783215,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-iroute_M1_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.7412,0.2494,0.8424,0.0270,25.3153,37,0.710467,47.9769,55.5590,4.97,11701.55,18.13,21,8,4,0,0,0.731609,0.741117,0.827807,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-iroute_M4_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.8306,0.2894,0.9741,0.0270,25.3153,37,0.721441,47.9601,56.5034,5.14,14146.41,22.18,21,32,4,0,0,0.740519,0.750330,0.830951,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-iroute_M8_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.8306,0.2894,0.9741,0.0270,25.3153,37,0.721441,47.9601,56.5034,5.14,14146.41,22.18,21,32,4,0,0,0.740519,0.750330,0.830951,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-tag_tagK16_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.5812,0.1812,0.6471,0.0270,25.3153,37,0.631816,47.9894,53.2958,5.19,55506.89,72.73,119,523,3,0,0,0.644003,0.642615,0.762917,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-tag_tagK32_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.6047,0.1882,0.6824,0.0270,25.3153,37,0.629172,48.6544,53.6358,5.12,110996.45,145.45,119,523,3,0,0,0.641280,0.638398,0.777672,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-tag_tagK8_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.5341,0.1576,0.5553,0.0270,25.3153,37,0.637059,48.0540,53.0242,5.39,27753.65,36.36,119,523,3,0,0,0.649513,0.642615,0.782932,0.000000,0.000000,0.000000
