qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,central,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain4,/d4/traffic/traf_000012,,1,1,1.000000,20200.000000,20202.183632,20202.183632,20207.562968,7.562968,-1,-1,-1,2,2,126,306,38,1107,0,0,1,1,0,,none,,rocketfuel,2.183632,5.379336,20200000000,20202183632,20202183632,20207562968,0,0,0.000000,,
436,central,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,,,,0,0,0.000000,20400.000000,20404.477256,0.000000,0.000000,4.000000,-1,-1,-1,1,0,160,104,0,0,0,0,0,0,0,DIR_EMPTY,none,,rocketfuel,4.477256,0.000000,20400000000,20404477256,0,0,0,0,0.000000,,
350,central,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/d0/traffic/traf_000019,,1,1,1.000000,20600.000000,20603.267408,20603.267408,20606.979744,6.979744,-1,-1,-1,2,2,139,144,38,1107,0,0,1,1,0,,none,,rocketfuel,3.267408,3.712336,20600000000,20603267408,20603267408,20606979744,0,0,0.000000,,
273,central,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain3,/d3/traffic/traf_000009,,1,1,1.000000,20800.000000,20802.946232,20802.946232,20809.415568,9.415568,-1,-1,-1,2,2,162,224,38,1107,0,0,1,1,0,,none,,rocketfuel,2.946232,6.469336,20800000000,20802946232,20802946232,20809415568,0,0,0.000000,,
110,central,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/d0/parking/p_000009,,1,1,1.000000,21000.000000,21003.290336,21003.290336,21005.744624,5.744624,-1,-1,-1,2,2,119,276,35,1104,0,0,1,1,0,,none,,rocketfuel,3.290336,2.454288,21000000000,21003290336,21003290336,21005744624,0,0,0.000000,,
76,central,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,/domain1,/d1/traffic/traf_000043,,1,1,1.000000,21200.000000,21202.532624,21202.532624,21211.290960,11.290960,-1,-1,-1,2,2,125,306,38,1107,0,0,1,1,0,,none,,rocketfuel,2.532624,8.758336,21200000000,21202532624,21202532624,21211290960,0,0,0.000000,,
194,central,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain7,/d7/pollution/pol_000202,,1,1,1.000000,21400.000000,21403.265408,21403.265408,21407.194728,7.194728,-1,-1,-1,2,2,184,224,37,1106,0,0,1,1,0,,none,,rocketfuel,3.265408,3.929320,21400000000,21403265408,21403265408,21407194728,0,0,0.000000,,
27,central,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain3,/d3/pollution/pol_000074,,1,1,1.000000,21600.000000,21602.133640,21602.133640,21605.690960,5.690960,-1,-1,-1,2,2,127,306,37,1106,0,0,1,1,0,,none,,rocketfuel,2.133640,3.557320,21600000000,21602133640,21602133640,21605690960,0,0,0.000000,,
4,central,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/d1/streetlight/sl_000101,,1,1,1.000000,21800.000000,21804.102744,21804.102744,21811.007048,11.007048,-1,-1,-1,2,2,140,306,36,1105,0,0,1,1,0,,none,,rocketfuel,4.102744,6.904304,21800000000,21804102744,21804102744,21811007048,0,0,0.000000,,
130,central,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain6,/d6/pollution/pol_000023,,1,1,1.000000,22000.000000,22003.147928,22003.147928,22010.442248,10.442248,-1,-1,-1,2,2,163,306,37,1106,0,0,1,1,0,,none,,rocketfuel,3.147928,7.294320,22000000000,22003147928,22003147928,22010442248,0,0,0.000000,,
