qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,iroute,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain4,/domain4/data/doc/traf_000426,/domain7=2.50417(0.609088);/domain4=2.01296(0.559716);/domain6=1.53545(0.444339);/domain2=1.49898(0.476618);/domain0=1.40173(0.443247),0,1,0.789788,20200.000000,20222.342544,20227.622308,20247.488080,47.488080,-1,4,-1,5,1,3015,171,45,1112,0,0,1,1,0,,none,,rocketfuel,22.342544,19.865772,20200000000,20222342544,20227622308,20247488080,0,0,0.000000,,
436,iroute,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,/domain3,/domain3/data/doc/pol_900153,/domain1=1.51323(0.397319);/domain6=1.18712(0.360584);/domain3=1.04366(0.35032);/domain4=0.711461(0.237806);/domain5=0.692445(0.205551),0,0,0.598957,20400.000000,20420.382159,20428.116667,20448.499372,48.499372,-1,5,-1,3,1,1809,170,44,1111,0,0,0,1,0,,none,,rocketfuel,20.382159,20.382705,20400000000,20420382159,20428116667,20448499372,0,0,0.000000,,
350,iroute,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/domain0/data/doc/traf_000488,/domain7=1.85681(0.465924);/domain0=1.35198(0.431651);/domain2=1.13669(0.384476);/domain4=0.763398(0.250652);/domain1=0.679277(0.215833),0,1,0.657474,20600.000000,20623.009088,20630.522308,20653.533852,53.533852,-1,8,-1,3,1,1809,171,45,1112,0,0,1,1,0,,none,,rocketfuel,23.009088,23.011544,20600000000,20623009088,20630522308,20653533852,0,0,0.000000,,
273,iroute,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain3,/domain3/data/doc/traf_000527,/domain7=1.89252(0.473821);/domain1=1.24212(0.338319);/domain3=1.22847(0.398059);/domain4=0.955213(0.298095);/domain6=0.511214(0.198061),0,1,0.677802,20800.000000,20820.478672,20822.738180,20843.120895,43.120895,-1,5,-1,3,1,1809,171,45,1112,0,0,1,1,0,,none,,rocketfuel,20.478672,20.382715,20800000000,20820478672,20822738180,20843120895,0,0,0.000000,,
110,iroute,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000193,/domain0=2.43275(0.683552);/domain5=2.3167(0.559807);/domain2=1.94067(0.588956);/domain7=1.89098(0.47348);/domain1=1.05406(0.297395),1,1,0.709934,21000.000000,21023.009064,21027.621798,21050.633294,50.633294,-1,8,-1,4,1,2412,168,42,1109,0,0,1,1,0,,none,,rocketfuel,23.009064,23.011496,21000000000,21023009064,21027621798,21050633294,0,0,0.000000,,
76,iroute,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,/domain1,/domain1/data/doc/traf_000121,/domain7=1.93776(0.483827);/domain1=1.4332(0.379904);/domain4=0.991726(0.307126);/domain2=0.933014(0.332674);/domain6=0.82993(0.274696),0,1,0.633645,21200.000000,21220.271180,21227.882308,21248.155023,48.155023,-1,5,-1,4,1,2412,171,45,1112,0,0,1,1,0,,none,,rocketfuel,20.271180,20.272715,21200000000,21220271180,21227882308,21248155023,0,0,0.000000,,
194,iroute,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain7,/domain7/data/doc/pol_000255,/domain1=3.0689(0.735867);/domain7=2.62321(0.635414);/domain4=2.42265(0.661048);/domain3=2.3854(0.696917);/domain6=2.36189(0.643056),0,1,0.822569,21400.000000,21421.184540,21425.509159,21446.518923,46.518923,-1,4,-1,5,1,3015,170,44,1111,0,0,1,1,0,,none,,rocketfuel,21.184540,21.009764,21400000000,21421184540,21425509159,21446518923,0,0,0.000000,,
27,iroute,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain1,/domain1/data/doc/pol_000142,/domain3=2.40289(0.701434);/domain1=2.37576(0.585025);/domain6=2.01829(0.560437);/domain4=1.91638(0.535829);/domain7=1.7576(0.443984),0,0,0.769664,21600.000000,21622.200667,21625.452159,21645.724864,45.724864,-1,5,-1,5,1,3015,170,44,1111,0,0,1,1,0,,none,,rocketfuel,22.200667,20.272705,21600000000,21622200667,21625452159,21645724864,0,0,0.000000,,
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=1.58955(0.413929);/domain4=0.58324(0.206092);/domain6=0.552004(0.207869);/domain7=0.541485(0.175038);/domain3=0.510124(0.212498),1,1,0.748806,21800.000000,21820.271170,21820.271170,21840.543865,40.543865,-1,5,-1,1,1,603,169,43,1110,0,0,1,1,0,,none,,rocketfuel,20.271170,20.272695,21800000000,21820271170,21820271170,21840543865,0,0,0.000000,,
130,iroute,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain6,/domain6/data/doc/pol_000571,/domain6=2.26053(0.618684);/domain1=2.10205(0.52546);/domain3=1.76767(0.537344);/domain4=1.73084(0.489938);/domain7=1.0764(0.293334),0,1,0.665456,22000.000000,22028.226175,22028.226175,22053.678880,53.678880,-1,5,-1,4,1,2412,170,44,1111,0,0,1,1,0,,none,,rocketfuel,28.226175,25.452705,22000000000,22028226175,22028226175,22053678880,0,0,0.000000,,
