qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,tag,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain0,/domain0/data/doc/traf_000506,/domain0=0.6540;/domain7=0.6521;/domain1=0.6321,0,0,0.653959,20200.000000,20225.902459,20225.902459,20250.927987,50.927987,-1,8,-1,32,1,19226,3956,43,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.902459,25.025528,20200000000,20225902459,20225902459,20250927987,0,0,0.000000,,
436,tag,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,/domain0,/domain0/data/doc/pol_900154,/domain0=0.5616;/domain1=0.5299;/domain7=0.4864,0,0,0.561558,20400.000000,20425.702451,20425.702451,20450.142963,50.142963,-1,8,-1,32,1,19232,3932,42,1111,0,0,0,1,0,DOMAIN_WRONG,none,,rocketfuel,25.702451,24.440512,20400000000,20425702451,20425702451,20450142963,0,0,0.000000,,
350,tag,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/domain0/data/doc/traf_000488,/domain0=0.6575;/domain7=0.5929;/domain1=0.5357,0,1,0.657474,20600.000000,20626.015892,20626.015892,20650.930420,50.930420,-1,8,-1,32,1,19225,4450,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,26.015892,24.914528,20600000000,20626015892,20626015892,20650930420,0,0,0.000000,,
273,tag,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain4,/domain4/data/doc/traf_000054,/domain4=0.6112;/domain1=0.6058;/domain0=0.5868;/domain7=0.5521,0,0,0.586829,20800.000000,20825.786986,20825.786986,20847.428750,47.428750,-1,4,-1,32,1,19232,4290,43,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.786986,21.641764,20800000000,20825786986,20825786986,20847428750,0,0,0.000000,,
110,tag,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000193,/domain0=0.7099;/domain7=0.5896;/domain1=0.5711;/domain4=0.5266,1,1,0.709934,21000.000000,21025.923417,21025.923417,21049.978905,49.978905,-1,8,-1,32,1,19232,3888,40,1109,0,0,1,1,0,,none,,rocketfuel,25.923417,24.055488,21000000000,21025923417,21025923417,21049978905,0,0,0.000000,,
76,tag,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,/domain1,/domain1/data/doc/traf_000121,/domain1=0.6336;/domain4=0.5829;/domain7=0.5271;/domain0=0.4899,0,1,0.489899,21200.000000,21225.770334,21225.770334,21246.043039,46.043039,-1,5,-1,32,1,19200,4264,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.770334,20.272705,21200000000,21225770334,21225770334,21246043039,0,0,0.000000,,
194,tag,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain7,/domain7/data/doc/pol_000255,/domain7=0.8226;/domain1=0.7877;/domain0=0.7627,0,1,0.762715,21400.000000,21425.857958,21425.857958,21446.867714,46.867714,-1,4,-1,32,1,19229,4262,42,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.857958,21.009756,21400000000,21425857958,21425857958,21446867714,0,0,0.000000,,
27,tag,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain1,/domain1/data/doc/pol_000142,/domain1=0.7697;/domain0=0.6845;/domain7=0.6809,0,0,0.684453,21600.000000,21625.971954,21625.971954,21646.244649,46.244649,-1,5,-1,32,1,19197,4236,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.971954,20.272695,21600000000,21625971954,21625971954,21646244649,0,0,0.000000,,
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=0.7488;/domain0=0.6305;/domain4=0.5898,1,1,0.630509,21800.000000,21825.832868,21825.832868,21846.897558,46.897558,-1,5,-1,32,1,19168,4025,41,1110,0,0,1,1,0,,none,,rocketfuel,25.832868,21.064690,21800000000,21825832868,21825832868,21846897558,0,0,0.000000,,
130,tag,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain7,/domain7/data/doc/pol_000567,/domain7=0.6133;/domain1=0.5949;/domain0=0.5664,0,0,0.566416,22000.000000,22025.748904,22025.748904,22047.163660,47.163660,-1,4,-1,32,1,19229,4262,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.748904,21.414756,22000000000,22025748904,22025748904,22047163660,0,0,0.000000,,
