qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,central,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain4,/d4/traffic/traf_000012,,1,1,1.000000,200.000000,205.353632,205.353632,209.683968,9.683968,-1,-1,-1,2,2,126,306,38,1107,0,0,1,1,0,,none,,rocketfuel,5.353632,4.330336,200000000,205353632,205353632,209683968,0,0,0.000000,,
436,central,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,,,,0,0,0.000000,400.000000,406.117256,0.000000,0.000000,6.000000,-1,-1,-1,1,0,160,104,0,0,0,0,0,0,0,DIR_EMPTY,none,,rocketfuel,6.117256,0.000000,400000000,406117256,0,0,0,0,0.000000,,
350,central,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/d0/traffic/traf_000019,,1,1,1.000000,600.000000,605.714408,605.714408,610.356744,10.356744,-1,-1,-1,2,2,139,144,38,1107,0,0,1,1,0,,none,,rocketfuel,5.714408,4.642336,600000000,605714408,605714408,610356744,0,0,0.000000,,
273,central,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain3,/d3/traffic/traf_000009,,1,1,1.000000,800.000000,805.607232,805.607232,810.587568,10.587568,-1,-1,-1,2,2,162,224,38,1107,0,0,1,1,0,,none,,rocketfuel,5.607232,4.980336,800000000,805607232,805607232,810587568,0,0,0.000000,,
110,central,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/d0/parking/p_000009,,1,1,1.000000,1000.000000,1005.722336,1005.722336,1009.945624,9.945624,-1,-1,-1,2,2,119,276,35,1104,0,0,1,1,0,,none,,rocketfuel,5.722336,4.223288,1000000000,1005722336,1005722336,1009945624,0,0,0.000000,,
76,central,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,/domain1,/d1/traffic/traf_000043,,1,1,1.000000,1200.000000,1205.469624,1205.469624,1210.148960,10.148960,-1,-1,-1,2,2,125,306,38,1107,0,0,1,1,0,,none,,rocketfuel,5.469624,4.679336,1200000000,1205469624,1205469624,1210148960,0,0,0.000000,,
194,central,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain7,/d7/pollution/pol_000202,,1,1,1.000000,1400.000000,1405.714408,1405.714408,1409.723728,9.723728,-1,-1,-1,2,2,184,224,37,1106,0,0,1,1,0,,none,,rocketfuel,5.714408,4.009320,1400000000,1405714408,1405714408,1409723728,0,0,0.000000,,
27,central,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain3,/d3/pollution/pol_000074,,1,1,1.000000,1600.000000,1605.335640,1605.335640,1609.344960,9.344960,-1,-1,-1,2,2,127,306,37,1106,0,0,1,1,0,,none,,rocketfuel,5.335640,4.009320,1600000000,1605335640,1605335640,1609344960,0,0,0.000000,,
4,central,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/d1/streetlight/sl_000101,,1,1,1.000000,1800.000000,1805.993744,1805.993744,1810.055048,10.055048,-1,-1,-1,2,2,140,306,36,1105,0,0,1,1,0,,none,,rocketfuel,5.993744,4.061304,1800000000,1805993744,1805993744,1810055048,0,0,0.000000,,
130,central,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain6,/d6/pollution/pol_000023,,1,1,1.000000,2000.000000,2005.674928,2005.674928,2010.107248,10.107248,-1,-1,-1,2,2,163,306,37,1106,0,0,1,1,0,,none,,rocketfuel,5.674928,4.432320,2000000000,2005674928,2005674928,2010107248,0,0,0.000000,,
476,central,Search for streetlights inside an active volcano at midnight (case 51),,,,,,0,0,0.000000,2200.000000,2206.665088,0.000000,0.000000,6.000000,-1,-1,-1,1,0,139,104,0,0,0,0,0,0,0,DIR_EMPTY,none,,rocketfuel,6.665088,0.000000,2200000000,2206665088,0,0,0,0,0.000000,,
225,central,"Show pollution where monitoringStation is satellite, pollutantType is O3 in Westside Heights Residential Block",1,pol_000078;pol_000228;pol_000321;pol_000489,/domain1,/d1/pollution/pol_000078,,1,1,1.000000,2400.000000,2405.240736,2405.240736,2409.250056,9.250056,-1,-1,-1,2,2,179,266,37,1106,0,0,1,1,0,,none,,rocketfuel,5.240736,4.009320,2400000000,2405240736,2405240736,2409250056,0,0,0.000000,,
342,central,List pollution that satisfy pollutantType O3 within North Harbor Downtown,0,pol_000172;pol_000178;pol_000226;pol_000304;pol_000406;pol_000496;pol_000502;pol_000538;pol_000550;pol_000574,/domain0,/d0/pollution/pol_000172,,1,1,1.000000,2600.000000,2605.731760,2605.731760,2609.741080,9.741080,-1,-1,-1,2,2,142,306,37,1106,0,0,1,1,0,,none,,rocketfuel,5.731760,4.009320,2600000000,2605731760,2605731760,2609741080,0,0,0.000000,,
471,central,Report on Parking spots on the surface of the Moon at dusk (case 46),,,,,,0,0,0.000000,2800.000000,2805.003072,0.000000,0.000000,5.000000,-1,-1,-1,1,0,137,104,0,0,0,0,0,0,0,DIR_EMPTY,none,,rocketfuel,5.003072,0.000000,2800000000,2805003072,0,0,0,0,0.000000,,
101,central,Query traffic records from Lakeside District Financial Row,5,traf_000126;traf_000162;traf_000192;traf_000252;traf_000282;traf_000324;traf_000360;traf_000390;traf_000414;traf_000432;traf_000444;traf_000468;traf_000564;traf_000570;traf_000594;traf_000600,/domain5,/d5/traffic/traf_000126,,1,1,1.000000,3000.000000,3006.403640,3006.403640,3010.713976,10.713976,-1,-1,-1,2,2,127,306,38,1107,0,0,1,1,0,,none,,rocketfuel,6.403640,4.310336,3000000000,3006403640,3006403640,3010713976,0,0,0.000000,,
387,central,Find streetlight and traffic sensors in South Hills,3,sl_000004;sl_000006;sl_000008;sl_000012;sl_000018;sl_000019;sl_000029;sl_000033;sl_000041;sl_000044;sl_000045;sl_000046;sl_000048;sl_000049;sl_000050;sl_000052;sl_000059;sl_000063;sl_000085;sl_000087;sl_000099;sl_000105;sl_000175;sl_000177;sl_000222;sl_000227;sl_000238;sl_000253;sl_000283;sl_000288;sl_000292;sl_000359;sl_000366;sl_000382;sl_000389;sl_000392;sl_000407;sl_000442;sl_000452;sl_000470;sl_000473;sl_000476;sl_000488;sl_000555;sl_000562;sl_000566;sl_000573;sl_000574;sl_000584;sl_000585;traf_000009;traf_000022;traf_000026;traf_000078;traf_000084;traf_000108;traf_000109;traf_000116;traf_000117;traf_000120;traf_000130;traf_000134;traf_000149;traf_000153;traf_000156;traf_000179;traf_000183;traf_000190;traf_000198;traf_000204;traf_000206;traf_000258;traf_000264;traf_000270;traf_000279;traf_000288;traf_000290;traf_000295;traf_000319;traf_000346;traf_000350;traf_000361;traf_000373;traf_000378;traf_000387;traf_000400;traf_000407;traf_000428;traf_000433;traf_000434;traf_000440;traf_000453;traf_000458;traf_000469;traf_000471;traf_000493;traf_000514;traf_000519;traf_000527;traf_000532;traf_000544;traf_000567;traf_000580;traf_000586;traf_000592,/domain3,/d3/streetlight/sl_000004,,1,1,1.000000,3200.000000,3206.391584,3206.391584,3210.400888,10.400888,-1,-1,-1,2,2,120,306,36,1105,0,0,1,1,0,,none,,rocketfuel,6.391584,4.009304,3200000000,3206391584,3206391584,3210400888,0,0,0.000000,,
115,central,List streetlight data around Westside Heights Riverside Park,1,sl_000554,/domain1,/d1/streetlight/sl_000554,,1,1,1.000000,3400.000000,3405.637328,3405.637328,3409.646632,9.646632,-1,-1,-1,2,2,129,144,36,1105,0,0,1,1,0,,none,,rocketfuel,5.637328,4.009304,3400000000,3405637328,3405637328,3409646632,0,0,0.000000,,
376,central,Show streetlight plus pollution data in Lakeside District Arts Quarter,5,sl_000090;sl_000096;sl_000106;sl_000117;sl_000138;sl_000140;sl_000142;sl_000158;sl_000165;sl_000173;sl_000174;sl_000189;sl_000190;sl_000191;sl_000197;sl_000200;sl_000208;sl_000214;sl_000215;sl_000221;sl_000232;sl_000237;sl_000251;sl_000252;sl_000255;sl_000259;sl_000260;sl_000262;sl_000264;sl_000270;sl_000275;sl_000279;sl_000280;sl_000287;sl_000291;sl_000294;sl_000300;sl_000304;sl_000305;sl_000311;sl_000318;sl_000323;sl_000328;sl_000329;sl_000365;sl_000368;sl_000374;sl_000375;sl_000376;sl_000380;sl_000381;sl_000388;sl_000390;sl_000391;sl_000393;sl_000394;sl_000395;sl_000396;sl_000397;sl_000398;sl_000406;sl_000411;sl_000412;sl_000415;sl_000416;sl_000423;sl_000424;sl_000427;sl_000430;sl_000432;sl_000446;sl_000448;sl_000449;sl_000451;sl_000453;sl_000456;sl_000462;sl_000466;sl_000469;sl_000481;sl_000490;sl_000495;sl_000497;sl_000502;sl_000510;sl_000514;sl_000522;sl_000523;sl_000525;sl_000533;sl_000538;sl_000547;sl_000551;sl_000572;sl_000576;sl_000582;sl_000592;pol_000073;pol_000077;pol_000080;pol_000082;pol_000085;pol_000098;pol_000101;pol_000104;pol_000106;pol_000110;pol_000113;pol_000116;pol_000128;pol_000130;pol_000135;pol_000136;pol_000138;pol_000150;pol_000163;pol_000168;pol_000180;pol_000185;pol_000193;pol_000194;pol_000196;pol_000197;pol_000200;pol_000204;pol_000211;pol_000213;pol_000225;pol_000227;pol_000230;pol_000231;pol_000234;pol_000240;pol_000243;pol_000245;pol_000246;pol_000249;pol_000257;pol_000263;pol_000264;pol_000272;pol_000278;pol_000291;pol_000295;pol_000297;pol_000298;pol_000302;pol_000306;pol_000307;pol_000311;pol_000315;pol_000317;pol_000322;pol_000336;pol_000337;pol_000339;pol_000341;pol_000353;pol_000356;pol_000359;pol_000362;pol_000374;pol_000384;pol_000386;pol_000393;pol_000394;pol_000413;pol_000427;pol_000438;pol_000441;pol_000442;pol_000443;pol_000448;pol_000453;pol_000485;pol_000492;pol_000497;pol_000500;pol_000505;pol_000510;pol_000512;pol_000518;pol_000526;pol_000531;pol_000532;pol_000537;pol_000541;pol_000542;pol_000558;pol_000559;pol_000566;pol_000576;pol_000580;pol_000581;pol_000586;pol_000596;pol_000599,/domain5,/d5/streetlight/sl_000090,,1,1,1.000000,3600.000000,3606.042736,3606.042736,3610.150040,10.150040,-1,-1,-1,2,2,139,306,36,1105,0,0,1,1,0,,none,,rocketfuel,6.042736,4.107304,3600000000,3606042736,3606042736,3610150040,0,0,0.000000,,
169,central,"Query pollution: pollutantType SO2, source_type naturalBackground, in Greenfield Park",7,pol_000048;pol_000096;pol_000108;pol_000132;pol_000144;pol_000192;pol_000288;pol_000348;pol_000372;pol_000444;pol_000540,/domain7,/d7/pollution/pol_000048,,1,1,1.000000,3800.000000,3806.479856,3806.479856,3810.489176,10.489176,-1,-1,-1,2,2,154,306,37,1106,0,0,1,1,0,,none,,rocketfuel,6.479856,4.009320,3800000000,3806479856,3806479856,3810489176,0,0,0.000000,,
149,central,Locate streetlight with locationCategory set to road near Midtown Center Cultural Center in Midtown Center Waterfront,4,sl_000014;sl_000022;sl_000086;sl_000598,/domain4,/d4/streetlight/sl_000014,,1,1,1.000000,4000.000000,4006.434792,4006.434792,4010.885096,10.885096,-1,-1,-1,2,2,186,266,36,1105,0,0,1,1,0,,none,,rocketfuel,6.434792,4.450304,4000000000,4006434792,4006434792,4010885096,0,0,0.000000,,
18,central,What streetlight readings are reported in Lakeside District?,5,sl_000582,/domain5,/d5/streetlight/sl_000582,,1,1,1.000000,4200.000000,4206.814328,4206.814328,4210.939632,10.939632,-1,-1,-1,2,2,129,144,36,1105,0,0,1,1,0,,none,,rocketfuel,6.814328,4.125304,4200000000,4206814328,4206814328,4210939632,0,0,0.000000,,
329,central,Find streetlight with locationCategory sidewalk around Lakeside District Cathedral,5,sl_000191;sl_000215;sl_000255;sl_000279;sl_000287;sl_000311;sl_000375;sl_000391;sl_000415;sl_000423;sl_000495;sl_000551,/domain5,/d5/streetlight/sl_000191,,1,1,1.000000,4400.000000,4405.502832,4405.502832,4409.685136,9.685136,-1,-1,-1,2,2,151,306,36,1105,0,0,1,1,0,,none,,rocketfuel,5.502832,4.182304,4400000000,4405502832,4405502832,4409685136,0,0,0.000000,,
279,central,List traffic that satisfy laneDirection inbound within Midtown Center Financial Row,4,traf_000028;traf_000058;traf_000076;traf_000343,/domain4,/d4/traffic/traf_000028,,1,1,1.000000,4600.000000,4605.552520,4605.552520,4609.561856,9.561856,-1,-1,-1,2,2,152,266,38,1107,0,0,1,1,0,,none,,rocketfuel,5.552520,4.009336,4600000000,4605552520,4605552520,4609561856,0,0,0.000000,,
366,central,List pollution that satisfy source_type industrial within Lakeside District Arts Quarter,5,pol_000073;pol_000505,/domain5,/d5/pollution/pol_000073,,1,1,1.000000,4800.000000,4806.854872,4806.854872,4810.914192,10.914192,-1,-1,-1,2,2,157,184,37,1106,0,0,1,1,0,,none,,rocketfuel,6.854872,4.059320,4800000000,4806854872,4806854872,4810914192,0,0,0.000000,,
437,central,Locate parking on Nebula Square floating in outer space during a blackout (case 12),,,,,,0,0,0.000000,5000.000000,5005.714192,0.000000,0.000000,5.000000,-1,-1,-1,1,0,152,104,0,0,0,0,0,0,0,DIR_EMPTY,none,,rocketfuel,5.714192,0.000000,5000000000,5005714192,0,0,0,0,0.000000,,
318,central,List streetlight that satisfy lanternModel HPS within Greenfield Park Civic Center,7,sl_000178;sl_000242;sl_000410;sl_000422,/domain7,/d7/streetlight/sl_000178,,1,1,1.000000,5200.000000,5206.763512,5206.763512,5210.772816,10.772816,-1,-1,-1,2,2,151,266,36,1105,0,0,1,1,0,,none,,rocketfuel,6.763512,4.009304,5200000000,5206763512,5206763512,5210772816,0,0,0.000000,,
411,central,Combined parking and pollution readings near Old Town Core Cultural Center,6,p_000003;p_000005;p_000023;p_000029;p_000032;p_000035;p_000043;p_000048;p_000051;p_000053;p_000070;p_000074;p_000087;p_000091;p_000114;p_000126;p_000140;p_000142;p_000149;p_000154;p_000156;p_000159;p_000162;p_000163;p_000172;p_000178;p_000180;p_000184;p_000216;p_000217;p_000223;p_000231;p_000269;p_000278;p_000281;p_000290;p_000295;p_000296;p_000301;p_000304;p_000310;p_000319;p_000330;p_000347;p_000351;p_000356;p_000357;p_000361;p_000388;p_000395;p_000409;p_000413;p_000416;p_000418;p_000428;p_000436;p_000441;p_000445;p_000463;p_000480;p_000481;p_000486;p_000488;p_000496;p_000501;p_000504;p_000509;p_000512;p_000524;p_000531;p_000532;p_000534;p_000540;p_000550;p_000556;p_000557;p_000564;p_000584;p_000585;p_000598;pol_000007;pol_000017;pol_000019;pol_000023;pol_000032;pol_000034;pol_000037;pol_000047;pol_000055;pol_000081;pol_000094;pol_000129;pol_000137;pol_000145;pol_000171;pol_000183;pol_000201;pol_000232;pol_000237;pol_000244;pol_000247;pol_000248;pol_000254;pol_000275;pol_000277;pol_000289;pol_000292;pol_000299;pol_000310;pol_000328;pol_000330;pol_000346;pol_000357;pol_000358;pol_000366;pol_000368;pol_000371;pol_000375;pol_000377;pol_000382;pol_000388;pol_000401;pol_000416;pol_000417;pol_000421;pol_000445;pol_000459;pol_000463;pol_000464;pol_000487;pol_000495;pol_000503;pol_000514;pol_000535;pol_000545;pol_000553;pol_000554;pol_000557;pol_000571;pol_000573;pol_000578;pol_000582;pol_000588;pol_000595,/domain6,/d6/parking/p_000003,,1,1,1.000000,5400.000000,5405.982528,5405.982528,5410.047816,10.047816,-1,-1,-1,2,2,143,276,35,1104,0,0,1,1,0,,none,,rocketfuel,5.982528,4.065288,5400000000,5405982528,5405982528,5410047816,0,0,0.000000,,
218,central,"Show parking where category is surface, allowedVehicleType is car in Lakeside District Downtown",5,p_000059;p_000071;p_000143;p_000215;p_000275;p_000305;p_000311;p_000335;p_000407;p_000449;p_000455;p_000533;p_000569,/domain5,/d5/parking/p_000059,,1,1,1.000000,5600.000000,5606.362696,5606.362696,5610.371984,10.371984,-1,-1,-1,2,2,164,276,35,1104,0,0,1,1,0,,none,,rocketfuel,6.362696,4.009288,5600000000,5606362696,5606362696,5610371984,0,0,0.000000,,
13,central,Give me streetlight information near North Harbor Cultural Center,0,sl_000113;sl_000121;sl_000129;sl_000137;sl_000181;sl_000185;sl_000229;sl_000261;sl_000281;sl_000289;sl_000301;sl_000425;sl_000465;sl_000517;sl_000553;sl_000565;sl_000569;sl_000581,/domain0,/d0/streetlight/sl_000113,,1,1,1.000000,5800.000000,5806.733696,5806.733696,5810.743000,10.743000,-1,-1,-1,2,2,134,306,36,1105,0,0,1,1,0,,none,,rocketfuel,6.733696,4.009304,5800000000,5806733696,5806733696,5810743000,0,0,0.000000,,
305,central,Find pollution with source_type naturalBackground around Midtown Center Main Station,4,pol_000084;pol_000112;pol_000120;pol_000216;pol_000252;pol_000256;pol_000352;pol_000396;pol_000424;pol_000432;pol_000440;pol_000504;pol_000560,/domain4,/d4/pollution/pol_000084,,1,1,1.000000,6000.000000,6006.466848,6006.466848,6010.476168,10.476168,-1,-1,-1,2,2,153,306,37,1106,0,0,1,1,0,,none,,rocketfuel,6.466848,4.009320,6000000000,6006466848,6006466848,6010476168,0,0,0.000000,,
190,central,Locate traffic with congestionLevel set to gridlock near South Hills City Library in South Hills Financial Row,3,traf_000120;traf_000270,/domain3,/d3/traffic/traf_000120,,1,1,1.000000,6200.000000,6206.661048,6206.661048,6210.670384,10.670384,-1,-1,-1,2,2,179,184,38,1107,0,0,1,1,0,,none,,rocketfuel,6.661048,4.009336,6200000000,6206661048,6206661048,6210670384,0,0,0.000000,,
490,central,List parking availability in Mars Colony Alpha during a blackout (case 65),,,,,,0,0,0.000000,6400.000000,6406.575120,0.000000,0.000000,6.000000,-1,-1,-1,1,0,143,104,0,0,0,0,0,0,0,DIR_EMPTY,none,,rocketfuel,6.575120,0.000000,6400000000,6406575120,0,0,0,0,0.000000,,
