qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,flood,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain6,/domain6/data/doc/traf_000221,/domain6=0.6811;/domain0=0.6540;/domain7=0.6521;/domain1=0.6321,0,0,0.681135,50.000000,75.505180,75.505180,100.957885,50.957885,-1,5,-1,4,1,2412,684,43,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.505180,25.452705,50000000,75505180,75505180,100957885,0,0,0.000000,,
436,flood,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,,,,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,25.451512,-1,-1,-1,4,0,2412,524,0,0,0,0,0,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,100000000,0,0,0,0,0,0.000000,,
350,flood,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/domain0/data/doc/traf_000488,/domain0=0.6575,0,1,0.657474,150.000000,176.280020,176.280020,199.653548,49.653548,-1,8,-1,4,1,2412,564,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,26.280020,23.373528,150000000,176280020,176280020,199653548,0,0,0.000000,,
273,flood,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain3,/domain3/data/doc/traf_000527,/domain3=0.6778;/domain4=0.6112;/domain1=0.6058,0,1,0.611195,200.000000,228.090624,228.090624,248.473329,48.473329,-1,5,-1,4,1,2412,644,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,28.090624,20.382705,200000000,228090624,228090624,248473329,0,0,0.000000,,
110,flood,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000193,/domain0=0.7099;/domain6=0.6084,1,1,0.608381,250.000000,275.752165,275.752165,298.763653,48.763653,-1,8,-1,4,1,2412,598,40,1109,0,0,1,1,0,,none,,rocketfuel,25.752165,23.011488,250000000,275752165,275752165,298763653,0,0,0.000000,,
76,flood,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,,,,0,0,0.000000,300.000000,0.000000,0.000000,0.000000,25.451512,-1,-1,-1,4,0,2412,524,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,300000000,0,0,0,0,0,0.000000,,
194,flood,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain5,/domain5/data/doc/pol_000393,/domain5=0.7196;/domain3=0.7154;/domain4=0.6708;/domain2=0.6575,0,0,0.657457,350.000000,377.621810,377.621810,397.959566,47.959566,-1,4,-1,4,1,2412,680,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621810,20.337756,350000000,377621810,377621810,397959566,0,0,0.000000,,
27,flood,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain3,/domain3/data/doc/pol_000360,/domain3=0.7686;/domain6=0.7669;/domain4=0.6786;/domain5=0.6262,0,1,0.766884,400.000000,426.441159,426.441159,447.645854,47.645854,-1,5,-1,4,1,2412,680,42,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,26.441159,21.204695,400000000,426441159,426441159,447645854,0,0,0.000000,,
4,flood,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain7,/domain7/data/doc/sl_000487,/domain7=0.7333;/domain5=0.6381,0,0,0.733269,450.000000,476.409512,476.409512,497.419264,47.419264,-1,4,-1,4,1,2412,600,41,1110,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.409512,21.009752,450000000,476409512,476409512,497419264,0,0,0.000000,,
130,flood,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain4,/domain4/data/doc/pol_000471,/domain4=0.6162;/domain3=0.6120,0,0,0.616225,500.000000,527.621624,527.621624,547.487380,47.487380,-1,4,-1,4,1,2412,602,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621624,19.865756,500000000,527621624,527621624,547487380,0,0,0.000000,,
