qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,tag,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,,,,0,0,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19226,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,50000000,0,0,0,0,0,0.000000,,
436,tag,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,,,,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19232,0,0,0,0,0,0,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,100000000,0,0,0,0,0,0.000000,,
350,tag,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,,,,0,0,0.000000,150.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19225,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,150000000,0,0,0,0,0,0.000000,,
273,tag,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,,,,0,0,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19232,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,200000000,0,0,0,0,0,0.000000,,
110,tag,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,,,,0,0,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19232,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,250000000,0,0,0,0,0,0.000000,,
76,tag,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,,,,0,0,0.000000,300.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19200,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,300000000,0,0,0,0,0,0.000000,,
194,tag,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,,,,0,0,0.000000,350.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19229,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,350000000,0,0,0,0,0,0.000000,,
27,tag,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,,,,0,0,0.000000,400.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19197,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,400000000,0,0,0,0,0,0.000000,,
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,,,,0,0,0.000000,450.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19168,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,450000000,0,0,0,0,0,0.000000,,
130,tag,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,,,,0,0,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,32,0,19229,0,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,500000000,0,0,0,0,0,0.000000,,
