qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,flood,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain6,/domain6/data/doc/traf_000221,/domain6=0.6811;/domain0=0.6540;/domain7=0.6521;/domain1=0.6321,0,0,0.681135,500.000000,525.505180,525.505180,550.957885,50.957885,-1,5,-1,4,1,2412,684,43,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.505180,25.452705,500000000,525505180,525505180,550957885,0,0,0.000000,,
436,flood,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,,,,0,0,0.000000,1000.000000,0.000000,0.000000,0.000000,25.451512,-1,-1,-1,4,0,2412,524,0,0,0,0,0,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,1000000000,0,0,0,0,0,0.000000,,
350,flood,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/domain0/data/doc/traf_000488,/domain0=0.6575,0,1,0.657474,1500.000000,1526.280020,1526.280020,1549.653548,49.653548,-1,8,-1,4,1,2412,564,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,26.280020,23.373528,1500000000,1526280020,1526280020,1549653548,0,0,0.000000,,
273,flood,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain3,/domain3/data/doc/traf_000527,/domain3=0.6778;/domain4=0.6112;/domain1=0.6058,0,1,0.611195,2000.000000,2028.090624,2028.090624,2048.473329,48.473329,-1,5,-1,4,1,2412,644,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,28.090624,20.382705,2000000000,2028090624,2028090624,2048473329,0,0,0.000000,,
110,flood,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000193,/domain0=0.7099;/domain6=0.6084,1,1,0.608381,2500.000000,2525.752165,2525.752165,2548.763653,48.763653,-1,8,-1,4,1,2412,598,40,1109,0,0,1,1,0,,none,,rocketfuel,25.752165,23.011488,2500000000,2525752165,2525752165,2548763653,0,0,0.000000,,
76,flood,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,,,,0,0,0.000000,3000.000000,0.000000,0.000000,0.000000,25.451512,-1,-1,-1,4,0,2412,524,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,3000000000,0,0,0,0,0,0.000000,,
194,flood,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain5,/domain5/data/doc/pol_000393,/domain5=0.7196;/domain3=0.7154;/domain4=0.6708;/domain2=0.6575,0,0,0.657457,3500.000000,3527.621810,3527.621810,3547.959566,47.959566,-1,4,-1,4,1,2412,680,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621810,20.337756,3500000000,3527621810,3527621810,3547959566,0,0,0.000000,,
27,flood,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain3,/domain3/data/doc/pol_000360,/domain3=0.7686;/domain6=0.7669;/domain4=0.6786;/domain5=0.6262,0,1,0.766884,4000.000000,4026.441159,4026.441159,4047.645854,47.645854,-1,5,-1,4,1,2412,680,42,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,26.441159,21.204695,4000000000,4026441159,4026441159,4047645854,0,0,0.000000,,
4,flood,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain7,/domain7/data/doc/sl_000487,/domain7=0.7333;/domain5=0.6381,0,0,0.733269,4500.000000,4526.409512,4526.409512,4547.419264,47.419264,-1,4,-1,4,1,2412,600,41,1110,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.409512,21.009752,4500000000,4526409512,4526409512,4547419264,0,0,0.000000,,
130,flood,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain4,/domain4/data/doc/pol_000471,/domain4=0.6162;/domain3=0.6120,0,0,0.616225,5000.000000,5027.621624,5027.621624,5047.487380,47.487380,-1,4,-1,4,1,2412,602,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621624,19.865756,5000000000,5027621624,5027621624,5047487380,0,0,0.000000,,
476,flood,Search for streetlights inside an active volcano at midnight (case 51),,,,,,0,0,0.000000,5500.000000,0.000000,0.000000,0.000000,26.070512,-1,-1,-1,4,0,2412,524,0,0,0,0,0,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,5500000000,0,0,0,0,0,0.000000,,
225,flood,"Show pollution where monitoringStation is satellite, pollutantType is O3 in Westside Heights Residential Block",1,pol_000078;pol_000228;pol_000321;pol_000489,/domain1,/domain1/data/doc/pol_000064,/domain1=0.7763;/domain2=0.6437;/domain4=0.6314;/domain3=0.6092,0,1,0.643700,6000.000000,6027.935810,6027.935810,6048.208505,48.208505,-1,5,-1,4,1,2412,680,42,1111,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.935810,20.272695,6000000000,6027935810,6027935810,6048208505,0,0,0.000000,,
342,flood,List pollution that satisfy pollutantType O3 within North Harbor Downtown,0,pol_000172;pol_000178;pol_000226;pol_000304;pol_000406;pol_000496;pol_000502;pol_000538;pol_000550;pol_000574,/domain0,/domain0/data/doc/pol_000178,/domain0=0.7507;/domain1=0.7424;/domain7=0.7234;/domain6=0.6931,1,1,0.693079,6500.000000,6525.451175,6525.451175,6549.163687,49.163687,-1,8,-1,4,1,2412,680,42,1111,0,0,1,1,0,,none,,rocketfuel,25.451175,23.712512,6500000000,6525451175,6525451175,6549163687,0,0,0.000000,,
471,flood,Report on Parking spots on the surface of the Moon at dusk (case 46),,,/domain1,/domain1/data/doc/p_900214,/domain1=0.7193;/domain7=0.7007;/domain2=0.6907;/domain0=0.6149,0,0,0.690682,7000.000000,7027.622290,7027.622290,7048.553970,48.553970,-1,5,-1,4,1,2412,672,40,1109,0,0,0,1,0,DOMAIN_WRONG,none,,rocketfuel,27.622290,20.931680,7000000000,7027622290,7027622290,7048553970,0,0,0.000000,,
101,flood,Query traffic records from Lakeside District Financial Row,5,traf_000126;traf_000162;traf_000192;traf_000252;traf_000282;traf_000324;traf_000360;traf_000390;traf_000414;traf_000432;traf_000444;traf_000468;traf_000564;traf_000570;traf_000594;traf_000600,/domain5,/domain5/data/doc/traf_000505,/domain5=0.6455,0,1,0.645483,7500.000000,7525.451512,7525.451512,7546.372276,46.372276,-1,4,-1,4,1,2412,564,43,1112,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.451512,20.920764,7500000000,7525451512,7525451512,7546372276,0,0,0.000000,,
387,flood,Find streetlight and traffic sensors in South Hills,3,sl_000004;sl_000006;sl_000008;sl_000012;sl_000018;sl_000019;sl_000029;sl_000033;sl_000041;sl_000044;sl_000045;sl_000046;sl_000048;sl_000049;sl_000050;sl_000052;sl_000059;sl_000063;sl_000085;sl_000087;sl_000099;sl_000105;sl_000175;sl_000177;sl_000222;sl_000227;sl_000238;sl_000253;sl_000283;sl_000288;sl_000292;sl_000359;sl_000366;sl_000382;sl_000389;sl_000392;sl_000407;sl_000442;sl_000452;sl_000470;sl_000473;sl_000476;sl_000488;sl_000555;sl_000562;sl_000566;sl_000573;sl_000574;sl_000584;sl_000585;traf_000009;traf_000022;traf_000026;traf_000078;traf_000084;traf_000108;traf_000109;traf_000116;traf_000117;traf_000120;traf_000130;traf_000134;traf_000149;traf_000153;traf_000156;traf_000179;traf_000183;traf_000190;traf_000198;traf_000204;traf_000206;traf_000258;traf_000264;traf_000270;traf_000279;traf_000288;traf_000290;traf_000295;traf_000319;traf_000346;traf_000350;traf_000361;traf_000373;traf_000378;traf_000387;traf_000400;traf_000407;traf_000428;traf_000433;traf_000434;traf_000440;traf_000453;traf_000458;traf_000469;traf_000471;traf_000493;traf_000514;traf_000519;traf_000527;traf_000532;traf_000544;traf_000567;traf_000580;traf_000586;traf_000592,/domain3,/domain3/data/doc/traf_000387,/domain3=0.7188;/domain4=0.6114;/domain6=0.6088,1,1,0.608832,8000.000000,8025.739164,8025.739164,8046.121869,46.121869,-1,5,-1,4,1,2412,644,43,1112,0,0,1,1,0,,none,,rocketfuel,25.739164,20.382705,8000000000,8025739164,8025739164,8046121869,0,0,0.000000,,
115,flood,List streetlight data around Westside Heights Riverside Park,1,sl_000554,/domain4,/domain4/data/doc/sl_000552,/domain4=0.6445;/domain5=0.6384;/domain3=0.6293;/domain6=0.6186,0,0,0.618556,8500.000000,8526.176154,8526.176154,8546.041906,46.041906,-1,4,-1,4,1,2412,678,41,1110,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,26.176154,19.865752,8500000000,8526176154,8526176154,8546041906,0,0,0.000000,,
376,flood,Show streetlight plus pollution data in Lakeside District Arts Quarter,5,sl_000090;sl_000096;sl_000106;sl_000117;sl_000138;sl_000140;sl_000142;sl_000158;sl_000165;sl_000173;sl_000174;sl_000189;sl_000190;sl_000191;sl_000197;sl_000200;sl_000208;sl_000214;sl_000215;sl_000221;sl_000232;sl_000237;sl_000251;sl_000252;sl_000255;sl_000259;sl_000260;sl_000262;sl_000264;sl_000270;sl_000275;sl_000279;sl_000280;sl_000287;sl_000291;sl_000294;sl_000300;sl_000304;sl_000305;sl_000311;sl_000318;sl_000323;sl_000328;sl_000329;sl_000365;sl_000368;sl_000374;sl_000375;sl_000376;sl_000380;sl_000381;sl_000388;sl_000390;sl_000391;sl_000393;sl_000394;sl_000395;sl_000396;sl_000397;sl_000398;sl_000406;sl_000411;sl_000412;sl_000415;sl_000416;sl_000423;sl_000424;sl_000427;sl_000430;sl_000432;sl_000446;sl_000448;sl_000449;sl_000451;sl_000453;sl_000456;sl_000462;sl_000466;sl_000469;sl_000481;sl_000490;sl_000495;sl_000497;sl_000502;sl_000510;sl_000514;sl_000522;sl_000523;sl_000525;sl_000533;sl_000538;sl_000547;sl_000551;sl_000572;sl_000576;sl_000582;sl_000592;pol_000073;pol_000077;pol_000080;pol_000082;pol_000085;pol_000098;pol_000101;pol_000104;pol_000106;pol_000110;pol_000113;pol_000116;pol_000128;pol_000130;pol_000135;pol_000136;pol_000138;pol_000150;pol_000163;pol_000168;pol_000180;pol_000185;pol_000193;pol_000194;pol_000196;pol_000197;pol_000200;pol_000204;pol_000211;pol_000213;pol_000225;pol_000227;pol_000230;pol_000231;pol_000234;pol_000240;pol_000243;pol_000245;pol_000246;pol_000249;pol_000257;pol_000263;pol_000264;pol_000272;pol_000278;pol_000291;pol_000295;pol_000297;pol_000298;pol_000302;pol_000306;pol_000307;pol_000311;pol_000315;pol_000317;pol_000322;pol_000336;pol_000337;pol_000339;pol_000341;pol_000353;pol_000356;pol_000359;pol_000362;pol_000374;pol_000384;pol_000386;pol_000393;pol_000394;pol_000413;pol_000427;pol_000438;pol_000441;pol_000442;pol_000443;pol_000448;pol_000453;pol_000485;pol_000492;pol_000497;pol_000500;pol_000505;pol_000510;pol_000512;pol_000518;pol_000526;pol_000531;pol_000532;pol_000537;pol_000541;pol_000542;pol_000558;pol_000559;pol_000566;pol_000576;pol_000580;pol_000581;pol_000586;pol_000596;pol_000599,,,,0,0,0.000000,9000.000000,0.000000,0.000000,0.000000,28.126624,-1,-1,-1,4,0,2412,524,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,9000000000,0,0,0,0,0,0.000000,,
169,flood,"Query pollution: pollutantType SO2, source_type naturalBackground, in Greenfield Park",7,pol_000048;pol_000096;pol_000108;pol_000132;pol_000144;pol_000192;pol_000288;pol_000348;pol_000372;pol_000444;pol_000540,/domain1,/domain1/data/doc/pol_000312,/domain1=0.6084,0,0,0.608445,9500.000000,9527.621624,9527.621624,9548.005319,48.005319,-1,5,-1,4,1,2412,563,42,1111,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,27.621624,20.383695,9500000000,9527621624,9527621624,9548005319,0,0,0.000000,,
149,flood,Locate streetlight with locationCategory set to road near Midtown Center Cultural Center in Midtown Center Waterfront,4,sl_000014;sl_000022;sl_000086;sl_000598,/domain5,/domain5/data/doc/sl_000280,/domain5=0.7041;/domain6=0.6794;/domain0=0.6716;/domain7=0.6693,0,0,0.679426,10000.000000,10025.451662,10025.451662,10045.789414,45.789414,-1,4,-1,4,1,2412,676,41,1110,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.451662,20.337752,10000000000,10025451662,10025451662,10045789414,0,0,0.000000,,
18,flood,What streetlight readings are reported in Lakeside District?,5,sl_000582,/domain5,/domain5/data/doc/sl_000279,/domain5=0.7112,0,1,0.711237,10500.000000,10527.621624,10527.621624,10547.959376,47.959376,-1,4,-1,4,1,2412,562,41,1110,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,27.621624,20.337752,10500000000,10527621624,10527621624,10547959376,0,0,0.000000,,
329,flood,Find streetlight with locationCategory sidewalk around Lakeside District Cathedral,5,sl_000191;sl_000215;sl_000255;sl_000279;sl_000287;sl_000311;sl_000375;sl_000391;sl_000415;sl_000423;sl_000495;sl_000551,,,,0,0,0.000000,11000.000000,0.000000,0.000000,0.000000,28.597624,-1,-1,-1,4,0,2412,524,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,11000000000,0,0,0,0,0,0.000000,,
279,flood,List traffic that satisfy laneDirection inbound within Midtown Center Financial Row,4,traf_000028;traf_000058;traf_000076;traf_000343,,,,0,0,0.000000,11500.000000,0.000000,0.000000,0.000000,27.622116,-1,-1,-1,4,0,2412,524,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,11500000000,0,0,0,0,0,0.000000,,
366,flood,List pollution that satisfy source_type industrial within Lakeside District Arts Quarter,5,pol_000073;pol_000505,,,,0,0,0.000000,12000.000000,0.000000,0.000000,0.000000,25.668020,-1,-1,-1,4,0,2412,524,0,0,0,0,1,0,0,ALL_DOMAINS_FAILED,none,,rocketfuel,0.000000,0.000000,12000000000,0,0,0,0,0,0.000000,,
437,flood,Locate parking on Nebula Square floating in outer space during a blackout (case 12),,,/domain0,/domain0/data/doc/p_900248,/domain0=0.8071;/domain6=0.7626;/domain7=0.7108;/domain5=0.6275,0,0,0.762615,12500.000000,12526.167657,12526.167657,12549.871145,49.871145,-1,8,-1,4,1,2412,675,40,1109,0,0,0,1,0,DOMAIN_WRONG,none,,rocketfuel,26.167657,23.703488,12500000000,12526167657,12526167657,12549871145,0,0,0.000000,,
318,flood,List streetlight that satisfy lanternModel HPS within Greenfield Park Civic Center,7,sl_000178;sl_000242;sl_000410;sl_000422,/domain7,/domain7/data/doc/sl_000371,/domain7=0.7086;/domain1=0.6466;/domain6=0.6290;/domain0=0.6160,0,1,0.629007,13000.000000,13025.451170,13025.451170,13046.587922,46.587922,-1,4,-1,4,1,2412,676,41,1110,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.451170,21.136752,13000000000,13025451170,13025451170,13046587922,0,0,0.000000,,
