qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
102,iroute,Search for traffic devices in Midtown Center Arts Quarter,4,traf_000012;traf_000157;traf_000167;traf_000272;traf_000367;traf_000397;traf_000477;traf_000492;traf_000582,/domain4,/domain4/data/doc/traf_000426,/domain4=2.86775(0.785271);/domain12=2.80525(0.785271);/domain6=2.6366(0.68306);/domain8=2.54632(0.674555);/domain14=2.5116(0.68306),0,1,0.789788,500.000000,520.690544,528.735654,548.601426,48.601426,-1,4,-1,2,1,3017,171,45,1112,0,0,1,1,0,,none,,rocketfuel,20.690544,19.865772,500000000,520690544,528735654,548601426,0,0,0.000000,,
436,iroute,Search for Atmospheric readings from Phantom Island's invisible shores in the fog (case 11),,,/domain1,/domain1/data/doc/p_900088,/domain5=1.92824(0.472999);/domain13=1.80324(0.472999);/domain10=1.5803(0.467866);/domain9=1.51323(0.397319);/domain1=1.51323(0.397319),0,0,0.529883,1000.000000,1020.271657,1020.336544,1040.609229,40.609229,-1,5,-1,2,1,3017,168,42,1109,0,0,0,1,0,,none,,rocketfuel,20.271657,20.272685,1000000000,1020271657,1020336544,1040609229,0,0,0.000000,,
350,iroute,Show traffic where laneDirection inbound in North Harbor Financial Row,0,traf_000019,/domain0,/domain0/data/doc/traf_000488,/domain8=2.45646(0.653806);/domain0=2.33146(0.653806);/domain9=2.08143(0.510286);/domain1=2.08143(0.510286);/domain10=1.94687(0.555996),0,1,0.657474,1500.000000,1523.009088,1528.735654,1551.747198,51.747198,-1,8,-1,2,1,3016,171,45,1112,0,0,1,1,0,,none,,rocketfuel,23.009088,23.011544,1500000000,1523009088,1528735654,1551747198,0,0,0.000000,,
273,iroute,"Show traffic where roadType is highway, congestionLevel is heavy in South Hills Financial Row",3,traf_000009;traf_000279;traf_000519,/domain3,/domain3/data/doc/traf_000527,/domain11=2.4232(0.640263);/domain3=2.2982(0.640263);/domain9=2.24759(0.545705);/domain1=2.24759(0.545705);/domain5=2.22124(0.527802),0,1,0.677802,2000.000000,2020.381180,2020.381180,2040.763895,40.763895,-1,5,-1,3,1,3016,171,45,1112,0,0,1,1,0,,none,,rocketfuel,20.381180,20.382715,2000000000,2020381180,2020381180,2040763895,0,0,0.000000,,
110,iroute,Query parking records from North Harbor Waterfront,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000193,/domain8=2.55775(0.683552);/domain0=2.43275(0.683552);/domain5=2.3167(0.559807);/domain7=2.2316(0.538873);/domain15=2.2316(0.538873),1,1,0.709934,2500.000000,2523.009064,2528.735654,2551.747150,51.747150,-1,8,-1,3,1,3016,168,42,1109,0,0,1,1,0,,none,,rocketfuel,23.009064,23.011496,2500000000,2523009064,2528735654,2551747150,0,0,0.000000,,
76,iroute,Query traffic records from Westside Heights Arts Quarter,1,traf_000043;traf_000143;traf_000148;traf_000188;traf_000223;traf_000238;traf_000263;traf_000308;traf_000353;traf_000363;traf_000438;traf_000443;traf_000463;traf_000508;traf_000513;traf_000523;traf_000553;traf_000568;traf_000593,/domain1,/domain1/data/doc/traf_000121,/domain1=2.46455(0.591951);/domain9=2.46455(0.591951);/domain6=1.99179(0.533711);/domain15=1.93776(0.483827);/domain7=1.93776(0.483827),0,1,0.633645,3000.000000,3020.271180,3026.339672,3046.612387,46.612387,-1,5,-1,3,1,3016,171,45,1112,0,0,1,1,0,,none,,rocketfuel,20.271180,20.272715,3000000000,3020271180,3026339672,3046612387,0,0,0.000000,,
194,iroute,"Search for pollution devices: monitoringStation=fixed, airQualityLevel=moderate, near Greenfield Park Harbor Bridge",7,pol_000202;pol_000472;pol_000592,/domain7,/domain7/data/doc/pol_000255,/domain7=3.17225(0.76435);/domain15=3.17225(0.76435);/domain9=3.0689(0.735867);/domain1=3.0689(0.735867);/domain8=3.02692(0.757896),0,1,0.822569,3500.000000,3521.008540,3529.318131,3550.327895,50.327895,-1,4,-1,2,1,3016,170,44,1111,0,0,1,1,0,,none,,rocketfuel,21.008540,21.009764,3500000000,3521008540,3529318131,3550327895,0,0,0.000000,,
27,iroute,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain1,/domain1/data/doc/pol_000142,/domain11=2.52789(0.701434);/domain3=2.40289(0.701434);/domain9=2.37576(0.585025);/domain1=2.37576(0.585025);/domain8=2.11217(0.554105),0,0,0.769664,4000.000000,4020.271667,4029.723639,4049.996344,49.996344,-1,5,-1,2,1,3016,170,44,1111,0,0,1,1,0,,none,,rocketfuel,20.271667,20.272705,4000000000,4020271667,4029723639,4049996344,0,0,0.000000,,
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.90381(0.70149);/domain9=2.90381(0.70149);/domain7=2.1253(0.518064);/domain15=2.1253(0.518064);/domain11=2.04113(0.566817),1,1,0.748806,4500.000000,4520.271170,4521.009028,4541.281723,41.281723,-1,5,-1,2,1,3017,169,43,1110,0,0,1,1,0,,none,,rocketfuel,20.271170,20.272695,4500000000,4520271170,4521009028,4541281723,0,0,0.000000,,
130,iroute,pollution with source_type=residential and pollutantType=CO close to Old Town Core Clock Tower,6,pol_000023;pol_000047;pol_000275;pol_000299;pol_000371;pol_000503,/domain6,/domain6/data/doc/pol_000571,/domain6=2.26053(0.618684);/domain14=2.13553(0.618684);/domain9=2.10205(0.52546);/domain1=2.10205(0.52546);/domain7=2.05315(0.514402),0,1,0.665456,5000.000000,5025.470175,5027.218277,5052.670982,52.670982,-1,5,-1,3,1,3016,170,44,1111,0,0,1,1,0,,none,,rocketfuel,25.470175,25.452705,5000000000,5025470175,5027218277,5052670982,0,0,0.000000,,
476,iroute,Search for streetlights inside an active volcano at midnight (case 51),,,/domain1,/domain1/data/doc/sl_000354,/domain1=1.76722(0.453596);/domain9=1.76722(0.453596);/domain7=1.71604(0.428802);/domain15=1.71604(0.428802);/domain8=1.67313(0.472929),0,0,0.573475,5500.000000,5520.271170,5528.737131,5549.009826,49.009826,-1,5,-1,2,1,3016,169,43,1110,0,0,0,1,0,,none,,rocketfuel,20.271170,20.272695,5500000000,5520271170,5528737131,5549009826,0,0,0.000000,,
225,iroute,"Show pollution where monitoringStation is satellite, pollutantType is O3 in Westside Heights Residential Block",1,pol_000078;pol_000228;pol_000321;pol_000489,/domain1,/domain1/data/doc/pol_000064,/domain1=3.16677(0.757166);/domain9=3.16677(0.757166);/domain7=2.50037(0.614287);/domain15=2.50037(0.614287);/domain5=2.47902(0.592598),0,1,0.776334,6000.000000,6021.112175,6021.112175,6041.384880,41.384880,-1,5,-1,3,1,3016,170,44,1111,0,0,1,1,0,,none,,rocketfuel,21.112175,20.272705,6000000000,6021112175,6021112175,6041384880,0,0,0.000000,,
